episode_id,seed,split,excited,true_power0_pu,true_ramp0_pu_per_s,true_delay0_s,power_covered,ramp_covered,delay_covered,all_dimensions_covered,false_optimism,excitation_sufficient,delay_width0_s,power_width0_pu,delay_candidate_count0,grid_model_count,grid_nonempty,grid_change_reset_seen,samples
A2-V-250,250,validation,True,0.0846549457477951,0.06448265344301467,0.8356999576998101,True,True,True,True,False,True,1.5,0.05500000000000001,31,14,True,False,480
A2-V-251,251,validation,True,0.0861659861204368,0.07322271666104463,0.6817471626362784,True,True,True,True,False,True,1.5,0.05500000000000001,31,12,True,False,480
A2-V-252,252,validation,True,0.08935535805588499,0.0491479798017654,0.9050347215363472,True,True,True,True,False,True,1.5,0.05500000000000001,31,14,True,False,480
A2-V-253,253,validation,True,0.053536268880424384,0.07111829095645034,1.0014416586177957,True,True,True,True,False,True,1.5,0.05500000000000001,31,14,True,False,480
A2-V-254,254,validation,True,0.07247284310825168,0.06672340395128587,0.6293475750968915,True,True,True,True,False,True,1.5,0.05500000000000001,31,14,True,False,480
A2-V-255,255,validation,True,0.06091913057072731,0.04529916321213294,1.2572626235420412,True,True,True,True,False,True,1.5,0.05500000000000001,31,14,True,False,480
A2-V-256,256,validation,True,0.06370922817162666,0.05052868264673674,0.8670801545436859,True,True,True,True,False,True,1.5,0.05500000000000001,31,14,True,False,480
A2-V-257,257,validation,True,0.08161482256766167,0.07884297882594607,0.8860657960679947,True,True,True,True,False,True,1.5,0.05500000000000001,31,12,True,False,480
A2-V-258,258,validation,True,0.08142748998390574,0.05918773894719581,0.5219646874072232,True,True,True,True,False,True,1.5,0.05500000000000001,31,14,True,False,480
A2-V-259,259,validation,True,0.07811948478480926,0.05238266493342623,0.3513866665158239,True,True,True,True,False,True,1.5,0.05500000000000001,31,14,True,False,480
A2-V-260,260,validation,True,0.07694615733765879,0.03408165170588329,0.914453515105369,True,True,True,True,False,True,1.5,0.05500000000000001,31,14,True,False,480
A2-V-261,261,validation,True,0.07894183276677352,0.03773904610517719,1.3359927153164537,True,True,True,True,False,True,1.5,0.05500000000000001,31,14,True,False,480
A2-V-262,262,validation,True,0.08919752196702647,0.06964347275358702,1.0488239149733527,True,True,True,True,False,True,1.5,0.05500000000000001,31,14,True,False,480
A2-V-263,263,validation,True,0.052895297141061386,0.06027375037586165,1.0182901245609417,True,True,True,True,False,True,1.5,0.05500000000000001,31,14,True,False,480
A2-V-264,264,validation,True,0.07835762161621795,0.03574732197888476,0.46996270535264173,True,True,True,True,False,True,1.5,0.05500000000000001,31,14,True,False,480
A2-V-265,265,validation,True,0.08676123123275233,0.061809318252640744,1.0943499512348238,True,True,True,True,False,True,1.5,0.05500000000000001,31,14,True,False,480
A2-V-266,266,validation,True,0.05478835727900725,0.05514568569921467,0.2550930694364482,True,True,True,True,False,True,1.5,0.05500000000000001,31,14,True,False,480
A2-V-267,267,validation,True,0.05166883467390616,0.05203742766252477,1.1618692659652659,True,True,True,True,False,True,1.5,0.05500000000000001,31,14,True,False,480
A2-V-268,268,validation,True,0.06023513585789453,0.05753647831070903,0.6371853778335992,True,True,True,True,False,True,1.5,0.05500000000000001,31,14,True,False,480
A2-V-269,269,validation,True,0.06877961707925216,0.07772045209778439,0.45718086439279404,True,True,True,True,False,True,1.5,0.05500000000000001,31,7,True,False,480
A2-V-270,270,validation,True,0.08085516911976105,0.03254937780753826,1.1845378901775534,True,True,True,True,False,True,1.5,0.05500000000000001,31,14,True,False,480
A2-V-271,271,validation,True,0.07212544738685353,0.06860962704024279,0.5901361233910333,True,True,True,True,False,True,1.5,0.05500000000000001,31,14,True,False,480
A2-V-272,272,validation,True,0.0680016590258404,0.0741092507726307,0.921326419645436,True,True,True,True,False,True,1.5,0.05500000000000001,31,12,True,False,480
A2-V-273,273,validation,True,0.0721481763118898,0.06645668251957382,0.804959523328451,True,True,True,True,False,True,1.5,0.05500000000000001,31,14,True,False,480
A2-V-274,274,validation,True,0.07139451682566024,0.07741945533033961,1.3865171314195766,True,True,True,True,False,True,1.5,0.05500000000000001,31,14,True,False,480
A2-V-275,275,validation,True,0.06909462105697474,0.061968965352076626,0.5014271173081766,True,True,True,True,False,True,1.5,0.05500000000000001,31,14,True,False,480
A2-V-276,276,validation,True,0.08211317794452852,0.06518463988828468,1.0790419784607281,True,True,True,True,False,True,1.5,0.05500000000000001,31,14,True,False,480
A2-V-277,277,validation,True,0.08516908865546845,0.047989553217379965,0.8324957365850034,True,True,True,True,False,True,1.5,0.05500000000000001,31,14,True,False,480
A2-V-278,278,validation,True,0.08349129025270491,0.03474228005798028,0.546173025088308,True,True,True,True,False,True,1.5,0.05500000000000001,31,14,True,False,480
A2-V-279,279,validation,True,0.05270094200612229,0.06764608515858767,1.2857495423981096,True,True,True,True,False,True,1.5,0.05500000000000001,31,14,True,False,480
A2-V-280,280,validation,True,0.06590553931262166,0.03675047774300495,0.4011628944846414,True,True,True,True,False,True,1.5,0.05500000000000001,31,14,True,False,480
A2-V-281,281,validation,True,0.07774844640354688,0.037709326960305545,1.2962556768291205,True,True,True,True,False,True,1.5,0.05500000000000001,31,14,True,False,480
A2-V-282,282,validation,True,0.08106568117318223,0.05183898270828323,1.059014168479724,True,True,True,True,False,True,1.5,0.05500000000000001,31,14,True,False,480
A2-V-283,283,validation,True,0.07150541388557896,0.045267189896017794,1.3042574687752362,True,True,True,True,False,True,1.5,0.05500000000000001,31,14,True,False,480
