split,episodes,proposed_success_rate,baseline_success_rate,both_success_episodes,frequency_iae_hz_s_improvement,frequency_iae_hz_s_ci_low,frequency_iae_hz_s_ci_high,ace_iae_pu_s_improvement,ace_iae_pu_s_ci_low,ace_iae_pu_s_ci_high,tie_iae_pu_s_improvement,tie_iae_pu_s_ci_low,tie_iae_pu_s_ci_high,core_metrics_passing
development,10,0.7,0.7,7,0.45496784593203277,0.2666877303578783,0.5839686629506348,0.36520352559483815,0.2564983464250001,0.47180204549031635,0.46642581679875006,0.3660024821956173,0.5876230102584257,3
validation,10,0.7,0.8,7,0.4091196264091216,0.0926265390425148,0.45739459367643676,0.32687126302643443,0.07030548869613437,0.3802868011356578,0.3912884975098482,0.06788018588437114,0.46658984503542195,3
