dt_s,nadir,freq_iae,ace_iae,peak_bess,nadir_relative_to_0p005,freq_iae_relative_to_0p005,ace_iae_relative_to_0p005
0.005,-0.10605125867049713,2.4364316416904748,1.216837475296159,0.0,0.0,0.0,0.0
0.01,-0.1067921933884907,2.4365586306580926,1.2179821724066042,0.0,0.0069865716567841536,5.212088262396733e-05,0.0009407148725153946
0.02,-0.10832658680177283,2.436539994622897,1.2205286020512736,0.0,0.021454984691366887,4.44719772015506e-05,0.0030333769546472536
0.05,-0.1133789321654837,2.4364011594732586,1.2333000003138874,0.0,0.06909558252159709,1.2511008597385793e-05,0.013528943143143797
