mechanism,sg_tension,scenario_count,period_count,mean_delta_ace_iae_pu_s,ci_lower_ace_iae_pu_s,ci_upper_ace_iae_pu_s,mean_delta_tie_iae_pu_s,ci_lower_tie_iae_pu_s,ci_upper_tie_iae_pu_s,mean_delta_sg_mechanical_mileage_pu,ci_lower_sg_mechanical_mileage_pu,ci_upper_sg_mechanical_mileage_pu,positive_metrics,materiality_positive
power_drop,high,6,2,0.015754228054910203,4.633255714684796e-06,0.03194347206107517,0.004772368598675386,-1.3197854633847003e-05,0.010335413752024672,0.00021315352600161574,-0.00531445241343669,0.005955040277933948,ace_iae_pu_s,True
power_drop,low,6,2,0.04005521335042783,5.416744431330223e-06,0.09990512767768893,0.011081476587568084,-9.793086666894565e-06,0.02828671471050108,0.0033230040727436024,-5.152171279003877e-06,0.008616273791998946,ace_iae_pu_s,True
ramp_drop,high,6,2,0.005265887691749516,-0.00567216310950693,0.021449377368568334,0.0034192780243353926,-1.0975430706383627e-05,0.008985618762259973,0.0014964595316874032,-0.002746309458185002,0.007236225938059092,,False
ramp_drop,low,6,2,0.041648224731570885,4.246413868610096e-06,0.09546120618649412,0.011524688445936068,-1.3492482869012501e-05,0.02560256228776225,0.009503475044298418,-3.5366445263150066e-06,0.01923469420699277,ace_iae_pu_s,True
