scenario_id,split,seed,plant,mechanism,sg_tension,period_s,duration_s,nominal_warmup_s,capability_change_time_s,load_event_time_s,timing_relation,load_area,load_sign,initial_soc,known_ood,contract_violation,factor_assignment,method,physical_success,hard_violation,terminal_recovery,frequency_peak_hz,ace_iae_pu_s,tie_iae_pu_s,sg_mechanical_mileage_pu,bess_energy_throughput_pu_s,controller_calls,attempted_optimization_calls,fallback_calls,restoration_calls,p99_solve_time_s,true_capability_read_by_ordinary_controller,evaluation_only_truth_used,full_rolling
A1-D-007,development,213,A_full_nonlinear,power_drop,high,2.0,300.0,60.0,123.65829276631412,123.65829276631412,simultaneous,area1,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,perfect_capability_oracle_mpc,True,False,True,0.2317171045354179,0.6584261170383267,0.1345148424934243,0.1674354166971343,1.281916502295098,151,151,0,0,0.0871968000001288,False,True,True
A1-D-008,development,214,A_full_nonlinear,power_drop,high,2.0,300.0,60.0,106.02884018618543,120.02884018618543,after,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,contract_only_rolling_mpc,True,False,True,0.2361664280160389,0.7209573552327719,0.1368314580268651,0.1710350740392349,1.2321583979096755,151,151,0,0,0.0865386499990563,False,False,True
A1-D-008,development,214,A_full_nonlinear,power_drop,high,2.0,300.0,60.0,106.02884018618543,120.02884018618543,after,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,perfect_capability_oracle_mpc,True,False,True,0.2361695921384092,0.7209820504116873,0.1368591492919085,0.1710580384067174,1.232157712804924,151,151,0,0,0.091304950000449,False,True,True
A1-D-009,development,215,A_full_nonlinear,power_drop,high,4.0,300.0,60.0,129.782274514827,115.782274514827,before,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,contract_only_rolling_mpc,True,False,True,0.2312472317129803,0.8045340182637534,0.165437770782986,0.2224609411428735,1.1009016014024045,76,76,0,0,0.083876175000114,False,False,True
A1-D-009,development,215,A_full_nonlinear,power_drop,high,4.0,300.0,60.0,129.782274514827,115.782274514827,before,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,perfect_capability_oracle_mpc,True,False,True,0.2168832688068868,0.758612793692117,0.1534257819756068,0.2383837053522525,1.3862311517264465,76,76,0,0,0.0867683250007758,False,True,True
A1-D-010,development,216,A_full_nonlinear,power_drop,high,4.0,300.0,60.0,125.2720988010176,125.2720988010176,simultaneous,area1,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,contract_only_rolling_mpc,True,False,True,0.2398412831602441,0.8574339462367624,0.1747410650190284,0.2613611037327791,1.0855147312061937,76,76,0,0,0.0845457499999611,False,False,True
A1-D-010,development,216,A_full_nonlinear,power_drop,high,4.0,300.0,60.0,125.2720988010176,125.2720988010176,simultaneous,area1,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,perfect_capability_oracle_mpc,True,False,True,0.239841309255533,0.8574209701202438,0.1747458576160978,0.2613565972191776,1.0855453991358188,76,76,0,0,0.0840397250008209,False,True,True
A1-D-011,development,217,A_full_nonlinear,power_drop,high,4.0,300.0,60.0,100.29475508873227,114.29475508873227,after,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,contract_only_rolling_mpc,True,False,True,0.2361512979725403,0.78994864234693,0.1661917851927737,0.2366424924783064,1.1284643632947176,76,76,0,0,0.0862168499998006,False,False,True
A1-D-011,development,217,A_full_nonlinear,power_drop,high,4.0,300.0,60.0,100.29475508873227,114.29475508873227,after,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,perfect_capability_oracle_mpc,True,False,True,0.2361463895299786,0.789915886152054,0.1661932770420257,0.2366401947534256,1.1284729762936765,76,76,0,0,0.0908740250006303,False,True,True
A1-D-012,development,218,A_full_nonlinear,ramp_drop,low,2.0,300.0,60.0,104.32450465012673,90.32450465012673,before,area0,1,0.5,known,False,EXPLICIT_FACTORIAL_NOT_SEED_MODULO,contract_only_rolling_mpc,True,False,True,0.3133160709743921,0.9627148820316552,0.1839574291390593,0.2268082175501478,2.372827002818251,151,151,0,0,0.0893794999992678,False,False,True
