seed,branch,period_s,rolling_horizon_s,load_event_time_s,load_magnitude_pu,load_sign,load_area,initial_soc,poi_noise_std_pu,probe_amplitude_pu,second_window_amplitude_pu,probe_window_duration_s,probe_cooldown_duration_s,maximum_probe_windows,certificate_validity_s,power_certified,power_certificate_time_s,probe_windows_started,futility_stopped,physical_success,hard_violation,solver_failure_calls,fallback_calls,total_grid_service_value_s,total_sg_mileage_value_pu,total_bess_throughput_value_pu_s,total_frequency_peak_value_hz,total_ace_iae_value_pu_s,total_tie_iae_value_pu_s,exploit_comparator_available,information_grid_service_value_s,information_sg_mileage_value_pu,information_bess_throughput_value_pu_s,information_ace_iae_value_pu_s,information_tie_iae_value_pu_s
8200,high,4.0,24.0,343.51814544515946,0.05959201495715992,1,area0,0.4497246818713286,0.0013467310581201568,0.003,0.004,,,2,240.0,False,,2,False,True,False,0,0,-0.33039006404536053,-0.04429042767641772,-0.10136675333627831,0.0,-0.0897514516950455,-0.043125939077476416,True,-0.08887070393673469,2.311830431367401e-06,-0.025309072521235265,-0.03031939240538306,-0.016307722736885077
8200,high,4.0,24.0,343.51814544515946,0.05959201495715992,1,area0,0.4497246818713286,0.0013467310581201568,0.003,0.005,,,2,240.0,True,404.0,2,False,True,False,0,0,-0.4321855740171827,-0.04051482451488714,-0.2099341943977464,0.0,-0.11003576434562179,-0.05608470302724111,True,-0.013979672320061809,0.011622607421285736,-0.12449984452291396,-0.0062628298912448255,-0.007668494913190438
8200,high,4.0,24.0,343.51814544515946,0.05959201495715992,1,area0,0.4497246818713286,0.0013467310581201568,0.003,0.004,,,2,240.0,False,,2,False,True,False,0,0,-0.24151936010862585,-0.04429273950684909,-0.07605768081504305,0.0,-0.05943205928966244,-0.02681821634059134,True,0.0,0.0,0.0,0.0,0.0
8238,high,4.0,24.0,253.99625768062492,0.06471090112469974,-1,both,0.47005668950048585,0.0006726622398870418,0.003,0.005,12.0,16.0,2,240.0,True,312.0,2,False,True,False,0,0,-0.15758555746025849,-0.0448506053157931,-0.1434431725504126,0.0,-0.0431480590493285,-0.04507122440916295,True,0.001977156722723805,0.006987971152099259,-0.4090684098972588,-0.0012424696142314673,-0.006666828766636157
8200,low,4.0,24.0,343.51814544515946,0.05959201495715992,1,area0,0.4497246818713286,0.0013467310581201568,0.003,0.004,,,2,240.0,False,,2,True,True,False,0,0,-0.05812156771506949,-0.01533070625414995,-0.09206370372809847,0.0,-0.024837547989134512,-0.013068372120670246,True,-0.010153829945309667,0.002424843022174328,-0.02019563607803221,-0.008579233584136148,-0.004858626811355959
8200,low,4.0,24.0,343.51814544515946,0.05959201495715992,1,area0,0.4497246818713286,0.0013467310581201568,0.003,0.005,,,2,240.0,False,,2,True,True,False,0,0,-0.06088424976142193,-0.016995469464574642,-0.07435367028009754,0.0,-0.02642038462897678,-0.01317537203729291,False,,,,,
8200,low,4.0,24.0,343.51814544515946,0.05959201495715992,1,area0,0.4497246818713286,0.0013467310581201568,0.003,0.004,,,2,240.0,False,,2,True,True,False,0,0,-0.04796773776975982,-0.01775554927632428,-0.07186806765006626,0.0,-0.016258314404998364,-0.008209745309314287,True,0.0,0.0,0.0,0.0,0.0
