method,bayes_correct,hardest_alternative,likelihood_information_insufficient,mean_pairwise_jsd,posterior_true_mode,predictive_log_likelihood_margin,run_id,scenario_id,schema_version,seed,sg_level,switch_time_s,true_mode,window_s
P_old,False,unavailable,True,0.051484100349203615,0.14762182472683313,-1.3945559067353521,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003006,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3006,A,50.0,sluggish,2.0
P_old,False,unavailable,True,0.03865585160839432,0.027003402989145855,-3.5682722996513405,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003006,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3006,A,50.0,sluggish,5.0
P_old,False,unavailable,True,0.035407973548454305,0.0006743069977356258,-7.3011505026058785,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003006,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3006,A,50.0,sluggish,10.0
P_old,True,derated,False,0.2697946283424212,1.0,52.108525713401235,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003006,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3006,A,50.0,sluggish,20.0
P_old,False,unavailable,True,0.034626534479616916,0.1784976687650553,-1.5220555409367869,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003007,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3007,A,50.0,sluggish,2.0
P_old,False,unavailable,True,0.03186648810876431,0.02449505414941904,-3.6840454947104604,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003007,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3007,A,50.0,sluggish,5.0
P_old,False,unavailable,True,0.03158035400045042,0.0006294280658156024,-7.370069245509683,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003007,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3007,A,50.0,sluggish,10.0
P_old,True,derated,False,0.2742113471771802,1.0,52.81932768799081,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003007,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3007,A,50.0,sluggish,20.0
P_old,False,unavailable,True,0.03155761305894768,0.17026392376964453,-1.4452728497141862,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003008,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3008,A,50.0,sluggish,2.0
P_old,False,unavailable,True,0.032119500108589556,0.024480228931691456,-3.685098245163772,phase-b1::final::sg-A::S2_sluggish_switch_050::P_old::seed-003008,S2_sluggish_switch_050,d5freq.phase_b1.compact_episode_audits.v1,3008,A,50.0,sluggish,5.0
