method,deadband_activation_fraction,delayed_command_differs_fraction,fixed_or_mean_delay_s,negative_saturation_fraction,positive_saturation_fraction,ramp_down_activation_fraction,ramp_up_activation_fraction,run_id,sample_count,scenario_id,schema_version,seed,sg_level,true_mode
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003026,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3026,A,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003027,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3027,A,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003028,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3028,A,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003029,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3029,A,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-B::S0_nominal_stochastic::B0::seed-003000,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3000,B,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-B::S0_nominal_stochastic::B0::seed-003001,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3001,B,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-B::S0_nominal_stochastic::B0::seed-003002,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3002,B,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-B::S0_nominal_stochastic::B0::seed-003003,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3003,B,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-B::S0_nominal_stochastic::B0::seed-003004,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3004,B,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-B::S0_nominal_stochastic::B0::seed-003005,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3005,B,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-B::S0_nominal_stochastic::B0::seed-003006,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3006,B,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-B::S0_nominal_stochastic::B0::seed-003007,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3007,B,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-B::S0_nominal_stochastic::B0::seed-003008,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3008,B,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-B::S0_nominal_stochastic::B0::seed-003009,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3009,B,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-B::S0_nominal_stochastic::B0::seed-003010,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3010,B,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-B::S0_nominal_stochastic::B0::seed-003011,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3011,B,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-B::S0_nominal_stochastic::B0::seed-003012,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3012,B,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-B::S0_nominal_stochastic::B0::seed-003013,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3013,B,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-B::S0_nominal_stochastic::B0::seed-003014,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3014,B,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-B::S0_nominal_stochastic::B0::seed-003015,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3015,B,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-B::S0_nominal_stochastic::B0::seed-003016,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3016,B,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-B::S0_nominal_stochastic::B0::seed-003017,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3017,B,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-B::S0_nominal_stochastic::B0::seed-003018,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3018,B,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-B::S0_nominal_stochastic::B0::seed-003019,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3019,B,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-B::S0_nominal_stochastic::B0::seed-003020,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3020,B,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-B::S0_nominal_stochastic::B0::seed-003021,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3021,B,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-B::S0_nominal_stochastic::B0::seed-003022,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3022,B,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-B::S0_nominal_stochastic::B0::seed-003023,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3023,B,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-B::S0_nominal_stochastic::B0::seed-003024,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3024,B,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-B::S0_nominal_stochastic::B0::seed-003025,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3025,B,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-B::S0_nominal_stochastic::B0::seed-003026,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3026,B,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-B::S0_nominal_stochastic::B0::seed-003027,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3027,B,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-B::S0_nominal_stochastic::B0::seed-003028,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3028,B,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-B::S0_nominal_stochastic::B0::seed-003029,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3029,B,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-C::S0_nominal_stochastic::B0::seed-003000,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3000,C,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-C::S0_nominal_stochastic::B0::seed-003001,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3001,C,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-C::S0_nominal_stochastic::B0::seed-003002,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3002,C,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-C::S0_nominal_stochastic::B0::seed-003003,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3003,C,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-C::S0_nominal_stochastic::B0::seed-003004,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3004,C,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-C::S0_nominal_stochastic::B0::seed-003005,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3005,C,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-C::S0_nominal_stochastic::B0::seed-003006,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3006,C,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-C::S0_nominal_stochastic::B0::seed-003007,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3007,C,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-C::S0_nominal_stochastic::B0::seed-003008,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3008,C,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-C::S0_nominal_stochastic::B0::seed-003009,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3009,C,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-C::S0_nominal_stochastic::B0::seed-003010,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3010,C,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-C::S0_nominal_stochastic::B0::seed-003011,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3011,C,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-C::S0_nominal_stochastic::B0::seed-003012,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3012,C,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-C::S0_nominal_stochastic::B0::seed-003013,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3013,C,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-C::S0_nominal_stochastic::B0::seed-003014,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3014,C,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-C::S0_nominal_stochastic::B0::seed-003015,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3015,C,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-C::S0_nominal_stochastic::B0::seed-003016,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3016,C,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-C::S0_nominal_stochastic::B0::seed-003017,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3017,C,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-C::S0_nominal_stochastic::B0::seed-003018,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3018,C,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-C::S0_nominal_stochastic::B0::seed-003019,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3019,C,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-C::S0_nominal_stochastic::B0::seed-003020,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3020,C,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-C::S0_nominal_stochastic::B0::seed-003021,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3021,C,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-C::S0_nominal_stochastic::B0::seed-003022,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3022,C,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-C::S0_nominal_stochastic::B0::seed-003023,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3023,C,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-C::S0_nominal_stochastic::B0::seed-003024,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3024,C,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-C::S0_nominal_stochastic::B0::seed-003025,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3025,C,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-C::S0_nominal_stochastic::B0::seed-003026,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3026,C,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-C::S0_nominal_stochastic::B0::seed-003027,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3027,C,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-C::S0_nominal_stochastic::B0::seed-003028,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3028,C,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-C::S0_nominal_stochastic::B0::seed-003029,361,S0_nominal_stochastic,d5freq.phase_b1.compact_episode_audits.v1,3029,C,nominal
B0,1.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,phase-b1::final::sg-A::S1_step_pos_002::B0::seed-003000,361,S1_step_pos_002,d5freq.phase_b1.compact_episode_audits.v1,3000,A,nominal
