run_id,scenario_id,method,seed,sg_level,scientific_success,failure_stage,solve_time_mean_s,solve_time_p95_s,solve_time_max_s,solver_attempt_count,solver_fail_count,solver_timeout_count,solver_infeasible_count,wall_time_s,max_exact_mirror_error,mean_ibr_authority_ratio,solver_status_counts_json,solver_outcome_counts_json
phase-b1::final::sg-A::S0_nominal_stochastic::B2::seed-003004,S0_nominal_stochastic,B2,3004,A,True,,0.030836736944567948,0.03771916500409134,0.04715980000037234,360,0,0,0,15.433045800004038,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B2::seed-003005,S0_nominal_stochastic,B2,3005,A,True,,0.03118466083340334,0.03707999500220467,0.04966950000380166,360,0,0,0,15.683563599995978,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B2::seed-003006,S0_nominal_stochastic,B2,3006,A,True,,0.034587701388813404,0.041948355005661145,0.053732700005639344,360,0,0,0,17.141030099999625,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B2::seed-003007,S0_nominal_stochastic,B2,3007,A,True,,0.03547390277787296,0.04262347500261967,0.05493170000409009,360,0,0,0,17.752159700001357,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B2::seed-003008,S0_nominal_stochastic,B2,3008,A,True,,0.03578239916666159,0.04427606999634008,0.05507340000622207,360,0,0,0,17.910283499993966,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B2::seed-003009,S0_nominal_stochastic,B2,3009,A,True,,0.03486456361109352,0.042552084998897045,0.05535750000126427,360,0,0,0,17.46736360000068,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B2::seed-003010,S0_nominal_stochastic,B2,3010,A,True,,0.03492836472210507,0.0418210900057602,0.051519299995561596,360,0,0,0,17.412857000002987,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B2::seed-003011,S0_nominal_stochastic,B2,3011,A,True,,0.03445284666664116,0.041481670005669005,0.05171960000006948,360,0,0,0,17.195344599997043,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B2::seed-003012,S0_nominal_stochastic,B2,3012,A,True,,0.03474512388861007,0.04251083500021195,0.04698820000339765,360,0,0,0,17.44911349999893,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B2::seed-003013,S0_nominal_stochastic,B2,3013,A,True,,0.034381646388687334,0.040989715000614525,0.048802400000568014,360,0,0,0,17.16177990000142,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B2::seed-003014,S0_nominal_stochastic,B2,3014,A,True,,0.034974545277752137,0.04237890999902448,0.052141200001642574,360,0,0,0,17.443527800001903,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B2::seed-003015,S0_nominal_stochastic,B2,3015,A,True,,0.03487125805586402,0.04110264499977347,0.05378190000192262,360,0,0,0,17.39291499999672,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B2::seed-003016,S0_nominal_stochastic,B2,3016,A,True,,0.03443700916664562,0.04051667999701749,0.04591449999861652,360,0,0,0,17.248701799995615,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B2::seed-003017,S0_nominal_stochastic,B2,3017,A,True,,0.03457029611126927,0.04194135499528784,0.05144550000113668,360,0,0,0,17.30186539999704,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B2::seed-003018,S0_nominal_stochastic,B2,3018,A,True,,0.03436847333337533,0.04134231500283932,0.05094250000547618,360,0,0,0,17.191844499997387,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B2::seed-003019,S0_nominal_stochastic,B2,3019,A,True,,0.03453701277766312,0.04102837500249735,0.05063709999376442,360,0,0,0,17.318286299996544,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B2::seed-003020,S0_nominal_stochastic,B2,3020,A,True,,0.03488377333317961,0.04284305500368646,0.05340589999832446,360,0,0,0,17.46937770000659,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B2::seed-003021,S0_nominal_stochastic,B2,3021,A,True,,0.03473591249997601,0.04243876500331681,0.05427880000206642,360,0,0,0,17.37832630000048,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B2::seed-003022,S0_nominal_stochastic,B2,3022,A,True,,0.03516823333326708,0.04276173499711149,0.054606500001682434,360,0,0,0,17.579453099999228,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B2::seed-003023,S0_nominal_stochastic,B2,3023,A,True,,0.034826615555620166,0.04280056499774219,0.0524786000023596,360,0,0,0,17.475098800001433,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B2::seed-003024,S0_nominal_stochastic,B2,3024,A,True,,0.03382847416675456,0.040315670001655236,0.05378799999743933,360,0,0,0,16.916208199996618,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B2::seed-003025,S0_nominal_stochastic,B2,3025,A,True,,0.033930686389026556,0.041613689998121116,0.05265180000424152,360,0,0,0,16.965385899995454,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B2::seed-003026,S0_nominal_stochastic,B2,3026,A,True,,0.03365453277781651,0.03929490000045917,0.04414019999967422,360,0,0,0,16.920133499996155,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B2::seed-003027,S0_nominal_stochastic,B2,3027,A,True,,0.03305834583307943,0.037381265000294664,0.04244520000065677,360,0,0,0,16.599472299996705,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B2::seed-003028,S0_nominal_stochastic,B2,3028,A,True,,0.03451696805532265,0.04195412000153738,0.05441860000428278,360,0,0,0,17.37113409999438,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B2::seed-003029,S0_nominal_stochastic,B2,3029,A,True,,0.0350876800002071,0.04366586000069219,0.053130799999053124,360,0,0,0,17.54837960000441,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B4::seed-003000,S0_nominal_stochastic,B4,3000,A,True,,0.030754179722316623,0.03614396499870054,0.050103400004445575,360,0,0,0,14.734721299995726,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B4::seed-003001,S0_nominal_stochastic,B4,3001,A,True,,0.031093706666959205,0.03753247999666201,0.06128829999943264,360,0,0,0,14.912223199993605,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B4::seed-003002,S0_nominal_stochastic,B4,3002,A,True,,0.03174033527757274,0.038636070005304654,0.05558079999900656,360,0,0,0,15.125054600001022,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B4::seed-003003,S0_nominal_stochastic,B4,3003,A,True,,0.031890708611050894,0.03860312500473811,0.05634699999791337,360,0,0,0,15.21847240000352,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B4::seed-003004,S0_nominal_stochastic,B4,3004,A,True,,0.03145914222210801,0.039690009997866586,0.07935029999498511,360,0,0,0,14.991899400003604,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B4::seed-003005,S0_nominal_stochastic,B4,3005,A,True,,0.031630452777729565,0.038655919994562284,0.09859560000040801,360,0,0,0,14.996041900005366,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B4::seed-003006,S0_nominal_stochastic,B4,3006,A,True,,0.035027405000012855,0.04324479999850155,0.05218800000147894,360,0,0,0,16.77103039999929,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B4::seed-003007,S0_nominal_stochastic,B4,3007,A,True,,0.035634416111234815,0.04358613999829686,0.054096499996376224,360,0,0,0,17.229765600000974,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B4::seed-003008,S0_nominal_stochastic,B4,3008,A,True,,0.035235964999830886,0.04446416000464524,0.053449999999429565,360,0,0,0,16.967876499998965,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B4::seed-003009,S0_nominal_stochastic,B4,3009,A,True,,0.035086645833305535,0.04332352500350681,0.05413849999604281,360,0,0,0,16.855703900000663,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B4::seed-003010,S0_nominal_stochastic,B4,3010,A,True,,0.03450510499996098,0.041355854998255386,0.050076700004865415,360,0,0,0,16.50095760000113,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B4::seed-003011,S0_nominal_stochastic,B4,3011,A,True,,0.03408454638912291,0.040418620005220875,0.05041229999915231,360,0,0,0,16.314275999997335,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B4::seed-003012,S0_nominal_stochastic,B4,3012,A,True,,0.035298938888910114,0.043395349997808814,0.11513310000009369,360,0,0,0,16.787267300001986,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B4::seed-003013,S0_nominal_stochastic,B4,3013,A,True,,0.034392534444466744,0.04240320000499196,0.046157400000083726,360,0,0,0,16.431451099997503,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B4::seed-003014,S0_nominal_stochastic,B4,3014,A,True,,0.034876903055495255,0.04225722999799473,0.04983610000635963,360,0,0,0,16.710403299999598,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B4::seed-003015,S0_nominal_stochastic,B4,3015,A,True,,0.034619940833524904,0.04152383000036935,0.04999620000307914,360,0,0,0,16.522333599998092,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B4::seed-003016,S0_nominal_stochastic,B4,3016,A,True,,0.034625850555554887,0.04203905000249506,0.051057299999229144,360,0,0,0,16.569192699993437,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B4::seed-003017,S0_nominal_stochastic,B4,3017,A,True,,0.03461161249999552,0.04112761500364286,0.05195619999722112,360,0,0,0,16.47413040000538,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B4::seed-003018,S0_nominal_stochastic,B4,3018,A,True,,0.03414662055547524,0.041248784996423635,0.05704149999655783,360,0,0,0,16.368258499998774,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B4::seed-003019,S0_nominal_stochastic,B4,3019,A,True,,0.03469549972216757,0.0406418600010511,0.11058390000107465,360,0,0,0,16.5109655999986,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B4::seed-003020,S0_nominal_stochastic,B4,3020,A,True,,0.03489936555575292,0.042930030005300074,0.05343449999782024,360,0,0,0,16.69604149999941,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B4::seed-003021,S0_nominal_stochastic,B4,3021,A,True,,0.035442268055319595,0.04384797999991861,0.10674460000154795,360,0,0,0,16.921760999997787,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B4::seed-003022,S0_nominal_stochastic,B4,3022,A,True,,0.03500434250007756,0.04367507000351907,0.0502310999945621,360,0,0,0,16.81909770000493,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B4::seed-003023,S0_nominal_stochastic,B4,3023,A,True,,0.03478688861133479,0.04382884500046203,0.05203179999807617,360,0,0,0,16.589739299997746,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B4::seed-003024,S0_nominal_stochastic,B4,3024,A,True,,0.033743167777902275,0.040112465001948296,0.04580759999953443,360,0,0,0,16.181680399997276,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B4::seed-003025,S0_nominal_stochastic,B4,3025,A,True,,0.034164614999887516,0.04094644999458979,0.05259669999941252,360,0,0,0,16.37023490000138,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B4::seed-003026,S0_nominal_stochastic,B4,3026,A,True,,0.03385281055569875,0.04094519999962359,0.05050219999975525,360,0,0,0,16.1586457999947,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B4::seed-003027,S0_nominal_stochastic,B4,3027,A,True,,0.0331127455553643,0.037713284998972085,0.0512213999973028,360,0,0,0,15.797642400000768,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B4::seed-003028,S0_nominal_stochastic,B4,3028,A,True,,0.034823101666451195,0.04330748000320455,0.05387940000218805,360,0,0,0,16.595521500006726,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B4::seed-003029,S0_nominal_stochastic,B4,3029,A,True,,0.03491048472222044,0.04366492000299332,0.05626679999841144,360,0,0,0,16.804069000005256,,,"{""optimal"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B5::seed-003000,S0_nominal_stochastic,B5,3000,A,True,,0.006731222499992227,0.008170365000114546,0.053398800002469216,360,0,0,0,5.128064299999096,0.0,,"{""optimal_idle_equilibrium_hold"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B5::seed-003001,S0_nominal_stochastic,B5,3001,A,True,,0.006966959166412481,0.00965148999785015,0.014268099999753758,360,0,0,0,5.390178699999524,0.0,,"{""optimal_idle_equilibrium_hold"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B5::seed-003002,S0_nominal_stochastic,B5,3002,A,True,,0.006850070555790606,0.007864834997963045,0.012093900004401803,360,0,0,0,5.274119299996528,0.0,,"{""optimal_idle_equilibrium_hold"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B5::seed-003003,S0_nominal_stochastic,B5,3003,A,True,,0.006988253611072853,0.009576960003687419,0.01323450000199955,360,0,0,0,5.335042200000316,0.0,,"{""optimal_idle_equilibrium_hold"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B5::seed-003004,S0_nominal_stochastic,B5,3004,A,True,,0.006999149722267046,0.010563775001719478,0.01350300000194693,360,0,0,0,5.373379999997269,0.0,,"{""optimal_idle_equilibrium_hold"": 360}","{""success"": 360}"
phase-b1::final::sg-A::S0_nominal_stochastic::B5::seed-003005,S0_nominal_stochastic,B5,3005,A,True,,0.006989990000268638,0.009476820004056209,0.014560900002834387,360,0,0,0,5.3861493000003975,0.0,,"{""optimal_idle_equilibrium_hold"": 360}","{""success"": 360}"
