scope,scenario_id,sg_level,metric,attempted_pair_union_count,finite_pair_count,mean_method,mean_reference,mean_difference,mean_relative_difference,relative_ci95_low,relative_ci95_high,sign_flip_pvalue,wilcoxon_pvalue
overall,ALL,ALL,freq_iae,2070,2070,1.173824717985567,1.1574126995755976,0.016412018409969562,0.08129160662074356,0.05700990781851522,0.10499541579891554,0.17278272172782722,2.7792781639594606e-05
overall,ALL,A,freq_iae,690,690,1.0499474417380108,1.0031600693046792,0.04678737243333162,0.14485807681903093,0.10366891701215311,0.18694653602905198,0.0164983501649835,0.5951289751154023
overall,ALL,B,freq_iae,690,690,1.1354092522039385,1.171696741202356,-0.03628748899841758,0.03374182981493771,-0.0069178710879868295,0.07405062565010191,0.07999200079992001,0.0003240692700475855
overall,ALL,C,freq_iae,690,690,1.336117460014752,1.2973812882197577,0.03873617179499466,0.06527491322826208,0.024060531692885457,0.10839546274852153,0.06359364063593641,3.108919014309986e-05
scenario,S0_nominal_stochastic,ALL,freq_iae,90,90,0.4994497555601483,0.5625900011908648,-0.06314024563071646,-0.07694230618828993,-0.11095335053194721,-0.044217888533720454,9.999000099990002e-05,0.0011907721132488561
scenario,S0_nominal_stochastic,A,freq_iae,30,30,0.5034444394301919,0.5828633398249491,-0.07941890039475732,-0.08095030055470259,-0.1499834868783154,-0.016600591692226205,0.007699230076992301,0.10039735585451126
scenario,S0_nominal_stochastic,B,freq_iae,30,30,0.5001213497019577,0.5533915858270541,-0.05327023612509644,-0.07082319823134066,-0.1241344981077708,-0.018537065461116855,0.004899510048995101,0.0635564886033535
scenario,S0_nominal_stochastic,C,freq_iae,30,30,0.4947834775482955,0.5515150779205911,-0.05673160037229559,-0.07905341977882657,-0.13014206030716283,-0.02839501751763226,0.0024997500249975004,0.04048972204327583
scenario,S1_step_neg_002,ALL,freq_iae,90,90,0.321102415363086,0.719767810478638,-0.39866539511555205,-0.4675129552573779,-0.5155886504116821,-0.4182294082979423,9.999000099990002e-05,1.7437900167092118e-16
scenario,S1_step_neg_002,A,freq_iae,30,30,0.31922890075386684,0.37218060581512696,-0.0529517050612601,-0.141802777951122,-0.151497781126762,-0.13174597756183434,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_neg_002,B,freq_iae,30,30,0.3213178632807531,1.0142894380051175,-0.6929715747243641,-0.6831852882925465,-0.6856412921009686,-0.6808493097997308,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_neg_002,C,freq_iae,30,30,0.32276048205463787,0.77283338761567,-0.45007290556103213,-0.5775507995284652,-0.5938200631192955,-0.5619936240825106,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_neg_004,ALL,freq_iae,90,90,0.5665958863555556,0.8436614026737381,-0.2770655163181823,-0.26070994175065115,-0.3072518804131413,-0.21608021732956478,9.999000099990002e-05,3.185815833664887e-16
scenario,S1_step_neg_004,A,freq_iae,30,30,0.5608655762980955,0.5688539876174493,-0.007988411319353624,-0.014047831790087947,-0.018048936969808967,-0.010108114044201913,9.999000099990002e-05,4.7124922275543213e-07
scenario,S1_step_neg_004,B,freq_iae,30,30,0.5683040322316129,1.1172427072484665,-0.5489386750168539,-0.45619792761445893,-0.51697265312243,-0.3932881819754524,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_neg_004,C,freq_iae,30,30,0.5706180505369585,0.844887513155298,-0.2742694626183396,-0.3118840658474068,-0.3483065109657144,-0.27132126928837413,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_neg_006,ALL,freq_iae,90,90,0.8114771344252948,0.8781529351225598,-0.06667580069726482,-0.04933160655908564,-0.08146562637351766,-0.017693350697812298,9.999000099990002e-05,0.4701394739985667
