run_id,scenario_id,method,seed,schema_version,run_completed,metrics_complete,scientific_success,success,failure_stage,failure_type,failure_message,catastrophic_failure,catastrophic_safety_boundary,catastrophic_solver_without_fallback,catastrophic_nan_detected,catastrophic_persistent_command_violation,catastrophic_not_recovered,max_abs_freq_hz,nadir_delta_hz,zenith_delta_hz,nadir_hz,zenith_hz,max_abs_rocof_hz_s,freq_iae,freq_ise,settling_time_s,settling_censored,settling_censoring_time_s,freq_violation_duration_s,rocof_violation_duration_s,constraint_violation_count,violation_duration_s,sg_mileage,ibr_mileage,ibr_tracking_error,sg_abs_energy_pu_s,ibr_abs_energy_pu_s,peak_abs_sg_command_pu,peak_abs_ibr_command_pu,responsibility_transfer_time_s,responsibility_transfer_censored,responsibility_transfer_censoring_time_s,fallback_duration_s,sg_command_violation_count,sg_command_violation_duration_s,max_contiguous_sg_command_violation_s,ibr_command_violation_count,ibr_command_violation_duration_s,max_contiguous_ibr_command_violation_s,solver_attempt_count,solve_time_mean_s,solve_time_p95_s,solve_time_max_s,solver_fail_count,solver_timeout_count,solver_timeout_rate,solver_infeasible_count,solver_infeasible_rate,solver_inaccurate_count,solver_inaccurate_rate,max_freq_slack_hz,max_rocof_slack_hz_s,max_power_slack_pu,mode_accuracy,macro_f1,detection_delay_s,detection_event_count,detection_censored_count,detection_censoring_time_s,false_alarm_rate,brier,nll,ece,ood_auroc,ood_auprc,ood_detected,ood_detection_delay_s,ood_detection_event_count,ood_detection_censored_count,ood_detection_censoring_time_s,diagnostic_risk_iae,oracle_regret,wall_time_s,stage,sg_level,truth_class,oracle_candidate_id,oracle_horizon_s,solver_tier,evidence_status
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003000,S0_nominal_stochastic,B0,3000,d5freq.episode-result.v2,True,True,True,True,,,,False,False,False,False,False,False,0.011970520627597235,-0.01073666481337399,0.011970520627597235,49.98926333518663,50.0119705206276,0.025436347704330706,0.5396986627710207,0.0024649796867685266,0.0,False,180.0,0.0,0.0,0,0.0,0.10225943504686928,0.0,0.03859780859305508,0.1457421791288375,0.03859780859305508,0.003670440827313974,0.0,,,,180.0,0,0.0,0.0,0,0.0,0.0,0,,,,0,0,,0,,0,,,,,,,,0,0,,,,,,,,,,0,0,,,,3.1026143999988562,final,A,known,,,FINAL,canonical_episode
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003001,S0_nominal_stochastic,B0,3001,d5freq.episode-result.v2,True,True,True,True,,,,False,False,False,False,False,False,0.011405595227195203,-0.011405595227195203,0.010428966222558175,49.988594404772805,50.010428966222555,0.026507488342665607,0.5167922246624155,0.0024320316655828417,0.0,False,180.0,0.0,0.0,0,0.0,0.09505583822334936,0.0,0.03814239975583071,0.20212923631826213,0.03814239975583071,0.00408390030373933,0.0,,,,180.0,0,0.0,0.0,0,0.0,0.0,0,,,,0,0,,0,,0,,,,,,,,0,0,,,,,,,,,,0,0,,,,3.064853600000788,final,A,known,,,FINAL,canonical_episode
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003002,S0_nominal_stochastic,B0,3002,d5freq.episode-result.v2,True,True,True,True,,,,False,False,False,False,False,False,0.012247076144542617,-0.012247076144542617,0.01157481518292246,49.98775292385546,50.011574815182925,0.026493423850009155,0.48073452584439846,0.002129538009267066,0.0,False,180.0,0.0,0.0,0,0.0,0.09243080657784344,0.0,0.03497292909302094,0.09982604879236828,0.03497292909302094,0.002281504838674619,0.0,,,,180.0,0,0.0,0.0,0,0.0,0.0,0,,,,0,0,,0,,0,,,,,,,,0,0,,,,,,,,,,0,0,,,,3.243870300000708,final,A,known,,,FINAL,canonical_episode
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003003,S0_nominal_stochastic,B0,3003,d5freq.episode-result.v2,True,True,True,True,,,,False,False,False,False,False,False,0.014101788615231542,-0.014101788615231542,0.011374984442204883,49.98589821138477,50.011374984442206,0.03201333787303991,0.49783584815534,0.0022302982943284903,0.0,False,180.0,0.0,0.0,0,0.0,0.098333974676739,0.0,0.036333225451208546,0.10140505504166335,0.036333225451208546,0.002701743600260471,0.0,,,,180.0,0,0.0,0.0,0,0.0,0.0,0,,,,0,0,,0,,0,,,,,,,,0,0,,,,,,,,,,0,0,,,,3.0253905999998096,final,A,known,,,FINAL,canonical_episode
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003004,S0_nominal_stochastic,B0,3004,d5freq.episode-result.v2,True,True,True,True,,,,False,False,False,False,False,False,0.011649873732029014,-0.011649873732029014,0.008281374378575075,49.988350126267974,50.008281374378576,0.026756783755157,0.4851743986521436,0.002079100047358988,0.0,False,180.0,0.0,0.0,0,0.0,0.08421477388181645,0.0,0.035308763046497216,0.12929762446474766,0.035308763046497216,0.002140089267486667,0.0,,,,180.0,0,0.0,0.0,0,0.0,0.0,0,,,,0,0,,0,,0,,,,,,,,0,0,,,,,,,,,,0,0,,,,3.185501599997224,final,A,known,,,FINAL,canonical_episode
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003005,S0_nominal_stochastic,B0,3005,d5freq.episode-result.v2,True,True,True,True,,,,False,False,False,False,False,False,0.011576278638370345,-0.010469655301463217,0.011576278638370345,49.98953034469854,50.01157627863837,0.030887676949823816,0.533716379689342,0.00243337585909454,0.0,False,180.0,0.0,0.0,0,0.0,0.09538679990636025,0.0,0.03883608877407377,0.11938632430414475,0.03883608877407377,0.0022013381185922733,0.0,,,,180.0,0,0.0,0.0,0,0.0,0.0,0,,,,0,0,,0,,0,,,,,,,,0,0,,,,,,,,,,0,0,,,,3.1748800999994273,final,A,known,,,FINAL,canonical_episode
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003006,S0_nominal_stochastic,B0,3006,d5freq.episode-result.v2,True,True,True,True,,,,False,False,False,False,False,False,0.012013171829976578,-0.011198620616175107,0.012013171829976578,49.98880137938382,50.01201317182998,0.027472557497966937,0.5571277364381635,0.0026487202931297143,0.0,False,180.0,0.0,0.0,0,0.0,0.09238250069185706,0.0,0.04080846884985101,0.21042035378824703,0.04080846884985101,0.0030855519403367717,0.0,,,,180.0,0,0.0,0.0,0,0.0,0.0,0,,,,0,0,,0,,0,,,,,,,,0,0,,,,,,,,,,0,0,,,,3.1031501999968896,final,A,known,,,FINAL,canonical_episode
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003007,S0_nominal_stochastic,B0,3007,d5freq.episode-result.v2,True,True,True,True,,,,False,False,False,False,False,False,0.011393932185174281,-0.011393932185174281,0.010605020833880227,49.98860606781483,50.01060502083388,0.030360780750588828,0.4762087789935352,0.0020482210874573415,0.0,False,180.0,0.0,0.0,0,0.0,0.09205354862763665,0.0,0.03439654408186702,0.1140176591648055,0.03439654408186702,0.0018032492337254047,0.0,,,,180.0,0,0.0,0.0,0,0.0,0.0,0,,,,0,0,,0,,0,,,,,,,,0,0,,,,,,,,,,0,0,,,,3.588966499999515,final,A,known,,,FINAL,canonical_episode
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003008,S0_nominal_stochastic,B0,3008,d5freq.episode-result.v2,True,True,True,True,,,,False,False,False,False,False,False,0.011367209764679838,-0.011367209764679838,0.009781471828240471,49.98863279023532,50.00978147182824,0.027812833805509883,0.5094288959951274,0.002265139302016272,0.0,False,180.0,0.0,0.0,0,0.0,0.10381381010897464,0.0,0.03732269620122851,0.10332827574430865,0.03732269620122851,0.003716900502727985,0.0,,,,180.0,0,0.0,0.0,0,0.0,0.0,0,,,,0,0,,0,,0,,,,,,,,0,0,,,,,,,,,,0,0,,,,3.537111099998583,final,A,known,,,FINAL,canonical_episode
phase-b1::final::sg-A::S0_nominal_stochastic::B0::seed-003009,S0_nominal_stochastic,B0,3009,d5freq.episode-result.v2,True,True,True,True,,,,False,False,False,False,False,False,0.010553312794719794,-0.010553312794719794,0.008982852258146674,49.98944668720528,50.00898285225815,0.024825917505809092,0.48238838007651186,0.001999921308275556,0.0,False,180.0,0.0,0.0,0,0.0,0.10609444054664426,0.0,0.03498212359829449,0.17317679271591535,0.03498212359829449,0.004620592783879228,0.0,,,,180.0,0,0.0,0.0,0,0.0,0.0,0,,,,0,0,,0,,0,,,,,,,,0,0,,,,,,,,,,0,0,,,,3.4824351999995997,final,A,known,,,FINAL,canonical_episode
