scope,scenario_id,sg_level,factor,method,reference_method,metric,attempted_pair_union_count,finite_pair_count,mean_method,mean_reference,mean_difference,mean_relative_difference,relative_ci95_low,relative_ci95_high,sign_flip_pvalue,wilcoxon_pvalue
scenario,S1_step_pos_004,B,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,0,0,,,,,,,,
scenario,S1_step_pos_004,C,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,0,0,,,,,,,,
scenario,S1_step_pos_006,ALL,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,90,90,0.899106432264775,0.9773928783429263,-0.07828644607815136,-0.03965586297968279,-0.09412408956643668,0.01764212184985722,0.0098990100989901,0.027314527528322117
scenario,S1_step_pos_006,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,30,30,0.9262425272770685,0.9833860306019186,-0.05714350332485021,-0.008208861698722654,-0.12075550811498073,0.11717534238375807,0.3087691230876912,0.11417667381465435
scenario,S1_step_pos_006,B,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,30,30,0.8589498740212397,0.9860263045400265,-0.127076430518787,-0.08729707979990899,-0.16869826920837186,0.0020982103055929295,0.017698230176982303,0.22064675763249397
scenario,S1_step_pos_006,C,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,30,30,0.9121268954960176,0.9627662998868344,-0.050639404390816774,-0.023461647440416757,-0.10476823857920892,0.06126165177504883,0.31956804319568044,0.40449450351297855
scenario,S1_step_pos_008,ALL,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,0,0,,,,,,,,
scenario,S1_step_pos_008,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,0,0,,,,,,,,
scenario,S1_step_pos_008,B,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,0,0,,,,,,,,
scenario,S1_step_pos_008,C,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,0,0,,,,,,,,
scenario,S2_sluggish_switch_050,ALL,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,90,90,0.9998499839065802,1.7448109317747724,-0.7449609478681918,-0.357655870316886,-0.3937896589071426,-0.32309476875609516,9.999000099990002e-05,1.7437900167092118e-16
scenario,S2_sluggish_switch_050,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,30,30,0.9009829093461994,1.1216537347324929,-0.22067082538629332,-0.19586686750295884,-0.20683440866619798,-0.18726028543760254,9.999000099990002e-05,1.862645149230957e-09
scenario,S2_sluggish_switch_050,B,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,30,30,0.9902923571358098,1.3812762391701143,-0.39098388203430473,-0.28286290623170157,-0.2903164313312935,-0.27557509093727045,9.999000099990002e-05,1.862645149230957e-09
scenario,S2_sluggish_switch_050,C,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,30,30,1.1082746852377316,2.731502821421709,-1.6232281361839778,-0.5942378372159977,-0.5986959900920663,-0.589454967380768,9.999000099990002e-05,1.862645149230957e-09
scenario,S2_sluggish_switch_060,ALL,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,90,89,1.0142925413870854,1.747289894333679,-0.7329973529465937,-0.3409929017419811,-0.3832522450858972,-0.2977099638885384,9.999000099990002e-05,5.091170972388935e-15
scenario,S2_sluggish_switch_060,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,30,30,0.9316703172569671,1.110581375617818,-0.17891105836085072,-0.1602591479027761,-0.19349699061337278,-0.11439626105182453,9.999000099990002e-05,0.00012333691120147705
scenario,S2_sluggish_switch_060,B,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,30,29,1.013264077405899,1.3668979151852312,-0.3536338377793323,-0.2590110948193426,-0.28221878671725986,-0.22220701530654768,9.999000099990002e-05,1.1175870895385742e-08
scenario,S2_sluggish_switch_060,C,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,30,30,1.0979089473656836,2.751710659559706,-1.6538017121940234,-0.6009757356064033,-0.6053477402254364,-0.5967452637530701,9.999000099990002e-05,1.862645149230957e-09
scenario,S2_sluggish_switch_090,ALL,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,0,0,,,,,,,,
scenario,S2_sluggish_switch_090,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,0,0,,,,,,,,
scenario,S2_sluggish_switch_090,B,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,0,0,,,,,,,,
scenario,S2_sluggish_switch_090,C,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,0,0,,,,,,,,
scenario,S3_derated_coincident,ALL,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,90,89,2.2917083725080736,1.7455701142774522,0.546138258230621,0.5450521174804157,0.41085991537012284,0.685241846660293,9.999000099990002e-05,2.4259158571611823e-08
scenario,S3_derated_coincident,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,30,30,2.106174058441641,1.61397422067219,0.4921998377694509,0.5655436877353843,0.3322339682225976,0.7990461089405769,0.0008999100089991,0.0018640067428350449
scenario,S3_derated_coincident,B,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,30,29,2.2882527827645958,2.1723324049201325,0.11592037784446346,0.15581676079012552,0.007365877956573283,0.3423920004366692,0.2054794520547945,0.5792817249894142
scenario,S3_derated_coincident,C,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,30,30,2.480583089993201,1.4646291269281242,1.015953963065077,0.9008213920260608,0.6716428931216758,1.1325555587818381,9.999000099990002e-05,1.862645149230957e-09
scenario,S4_unavailable_coincident,ALL,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,90,90,1.191755315009631,1.1810548456090504,0.010700469400580542,0.03784486072287713,-0.012552671974143123,0.08953887240777787,0.7130286971302869,0.9823440258049242
scenario,S4_unavailable_coincident,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,30,30,1.0293328443783554,0.9990956644874558,0.030237179890899614,0.05752029279521609,-0.03248730613401767,0.14925443041299585,0.5114488551144886,0.3284698575735092
scenario,S4_unavailable_coincident,B,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,30,30,1.1414287824917622,1.1239952908435014,0.017433491648261103,0.0657720325334092,-0.0493555013568585,0.1856770442898136,0.764023597640236,0.9515264742076397
scenario,S4_unavailable_coincident,C,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,30,30,1.404504318158775,1.4200735814961944,-0.015569263337419089,-0.009757743159993967,-0.027584773879876835,0.0080974158227878,0.20567943205679431,0.19092952087521553
scenario,S5_multi_switch_stochastic,ALL,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,90,90,0.703524805924884,0.8169977142599055,-0.11347290833502165,-0.1312117527364404,-0.15176138607039366,-0.1087844020531625,9.999000099990002e-05,7.544749926635245e-14
scenario,S5_multi_switch_stochastic,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,30,30,0.7075153789855823,0.8687397154289235,-0.16122433644334136,-0.18219192038999496,-0.20714140797841532,-0.15605444658649528,9.999000099990002e-05,3.725290298461914e-09
scenario,S5_multi_switch_stochastic,B,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,30,30,0.7390715270748649,0.8165308591541616,-0.0774593320792967,-0.08525060836480555,-0.12382376822559088,-0.04652021920065978,0.00029997000299970003,0.0003800932317972183
scenario,S5_multi_switch_stochastic,C,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,30,30,0.6639875117142047,0.7657225681966315,-0.1017350564824269,-0.12619272945452079,-0.16247009214185065,-0.08436223772019592,9.999000099990002e-05,3.7904828786849976e-06
scenario,S6_sluggish_coincident_high_noise,ALL,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,90,90,1.590881333948667,1.9130168559539606,-0.3221355220052932,-0.06348343174532405,-0.12942455233960576,-0.0006338796648356625,9.999000099990002e-05,0.19441119634658965
scenario,S6_sluggish_coincident_high_noise,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,30,30,1.6661709699118739,1.3268497118914153,0.3393212580204584,0.2565621598457976,0.23373993455672118,0.2803871759535484,9.999000099990002e-05,1.862645149230957e-09
scenario,S6_sluggish_coincident_high_noise,B,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,30,30,1.6303259058499282,1.5837135325551777,0.04661237329475031,0.0310314000030721,0.010508335318694844,0.050294442801320415,0.008599140085991401,0.007612137123942375
