event,scenario,Tcritical_s,right_censored,threshold_cause,final_frequency_iae_gap,final_control_cost_abs_gap,seed,sg_level
nominal_to_headroom_or_current_limited,coincident_regime_and_load,3.2000000000000015,False,control_cost_difference,0.0,0.4479999999999936,800,scarce
nominal_to_energy_limited,coincident_regime_and_load,3.2000000000000015,False,control_cost_difference,0.0,0.25600000000000356,800,scarce
nominal_to_communication_degraded,coincident_regime_and_load,8.799999999999985,False,control_cost_difference,-0.09192816565063064,0.16179999999999828,800,scarce
nominal_to_service_disabled,coincident_regime_and_load,1.8000000000000005,False,control_cost_difference,-0.01576115966719005,0.8889999999999969,800,scarce
nominal_to_recovery,coincident_regime_and_load,7.499999999999989,False,control_cost_difference,-0.06610547738625894,0.10419999999999574,800,scarce
nominal_to_structural_ood,coincident_regime_and_load,1.8000000000000005,False,control_cost_difference,-0.3163623557853592,0.7499999999999967,800,scarce
