time_s,reduced_f0_hz,reduced_f1_hz,nonlinear_f0_hz,nonlinear_f1_hz,max_abs_frequency_difference_hz
0.0,-0.09805011689595008,-0.1973874651291041,-0.011986170463405875,-1.9527053952068477e-06,0.1973855124237089
2.0,-0.07989829118645787,-0.18723798743574244,-0.303024869036505,-0.49904733102018317,0.31180934358444073
4.0,-0.0961417812342255,-0.15178167871210269,-0.40989422051346724,-0.3478437723128794,0.31375243927924173
6.0,-0.12415347417396883,-0.1313705380971407,-0.2228873795590391,-0.1349893255805405,0.09873390538507026
8.0,-0.1358568151832474,-0.11669448052933128,-0.055530782435330765,-0.09947576965630318,0.08032603274791664
10.0,-0.1389933684755398,-0.11536488147419265,-0.12099849729264626,-0.1856228981409123,0.07025801666671964
12.0,-0.13535845135696653,-0.11985138433494537,-0.11172070068394385,-0.12787500092929815,0.02363775067302268
14.0,-0.1303109198614711,-0.12538945570631121,-0.13643813910368022,-0.12334861198065493,0.006127219242209131
16.0,-0.1267535136376832,-0.1290371691820511,-0.13806737458863985,-0.11297587230781013,0.016061296874240974
18.0,-0.1254339091039645,-0.13018327352141057,-0.1396517349856631,-0.11536367858775928,0.014819594933651287
