model,native_network,converged,samples,max_abs_frequency_hz,max_abs_tie_pu,algebraic_power_balance_p99_pu
native_ANDES_Kundur_DAE,True,True,405,0.041435983320941006,0.048661670017289535,2.0567703948870525e-08
H7_native_residual_calibrated_reduced_label,False,True,0,,,
