method,episodes,truth_coverage,false_optimism,mean_diameter_reduction,certificate_coverage
PASSIVE_SET_MEMBERSHIP_MHE,50,1.0,0.0,0.0,0.0
SAFE_ACTIVE_STAIRCASE_5,20,1.0,0.0,0.632857142857143,1.0
