plant,condition,episodes,success,frequency_peak_hz,ace_iae_pu_s,tie_iae_pu_s
A_full_nonlinear,OOD,8,1.0,0.23625973914226792,1.6155025764424988,0.48042272079400944
A_full_nonlinear,known,8,1.0,0.237078212429769,1.6522887601077223,0.44845654377392086
B_native_ANDES_Kundur,OOD,2,1.0,0.05007236053112315,2.192542651746204,0.977964843801902
B_native_ANDES_Kundur,known,2,1.0,0.050497258949191395,0.6583050246483457,0.24299670560848616
