metric,subset,scenario_count,scenario_balanced_aggregate_improvement,ci_lower,ci_upper,value_recovery_count,scenario_balanced_aggregate_value_recovery,value_recovery_ci_lower,value_recovery_ci_upper
ace_iae_pu_s,PROBE_WORTHWHILE_PREREGISTERED,30,-0.00016338843920543904,-0.0026338512647316407,0.002280610573028608,8,-0.13613758195994605,-0.5902860008401678,0.5319741678871079
tie_iae_pu_s,PROBE_WORTHWHILE_PREREGISTERED,30,-0.0005258001964391868,-0.006227739481897122,0.005911963445253803,13,-0.01745021164373165,-0.3467788427483582,0.4142108298334138
