evidence_source,member_path,bytes,declared_sha256,actual_sha256,hash_match,retention
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,00_README/governing_direction1_phase_d_spec/reference/audit_checks.py,953,34970d59ab580907fac8ed37a6b7c08bfbd77077523299dd68ef0da4bae7418e,34970d59ab580907fac8ed37a6b7c08bfbd77077523299dd68ef0da4bae7418e,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,00_README/governing_direction1_phase_d_spec/reference/config_template.yaml,1053,73aac962c94e9f2da52582e6174f7a3123ef6b9e2112a3f8ec243eee5f67f344,73aac962c94e9f2da52582e6174f7a3123ef6b9e2112a3f8ec243eee5f67f344,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,00_README/governing_direction1_phase_d_spec/reference/controller_interface.py,755,85795f15442964884ade304af1a5d8b77415544da8e969d529b82227f7fad290,85795f15442964884ade304af1a5d8b77415544da8e969d529b82227f7fad290,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,00_README/governing_direction1_phase_d_spec/reference/experiment_matrix_template.csv,184,e27bd91e0720f9eb4c2c902fb0c2d68979a99e549fb9ea1587c699f2b86a7c74,e27bd91e0720f9eb4c2c902fb0c2d68979a99e549fb9ea1587c699f2b86a7c74,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,00_README/governing_direction1_phase_d_spec/reference/failure_ledger_template.csv,127,6c9ca092857c34003c19472fe802f4fd51ff0416d56ffef0a3d9bf3a4dd20bcf,6c9ca092857c34003c19472fe802f4fd51ff0416d56ffef0a3d9bf3a4dd20bcf,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,00_README/governing_direction1_phase_d_spec/reference/formula_code_map_template.csv,90,296b0e3a79db97bafa6f47e57d5a3a76119f0d5b39efc80592d537de751a5084,296b0e3a79db97bafa6f47e57d5a3a76119f0d5b39efc80592d537de751a5084,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,00_README/governing_direction1_phase_d_spec/reference/literature_matrix_template.csv,224,a73b50db3380af219a6844595a97ed2a04eb978762b9736d1d34ca68fbdecdf4,a73b50db3380af219a6844595a97ed2a04eb978762b9736d1d34ca68fbdecdf4,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,00_README/governing_direction1_phase_d_spec/reference/result_schema.json,986,97522c149872f11cc4d0a3c8431f78a3beb26423fc29de5a1f2a9b9679608f06,97522c149872f11cc4d0a3c8431f78a3beb26423fc29de5a1f2a9b9679608f06,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,00_README/HOW_TO_REVIEW.md,533,12164f1370f394426dcd1f0949555dc7f0284963bfccdf4e7075feee139ad76b,12164f1370f394426dcd1f0949555dc7f0284963bfccdf4e7075feee139ad76b,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,00_README/README_FIRST.md,553,0c1216d5e478787de02d44af013454a284b3cbd0183774f04161bc39ffb048dc,0c1216d5e478787de02d44af013454a284b3cbd0183774f04161bc39ffb048dc,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,01_SCIENCE/CODEX_GOAL.md,3489,5ae82a649527a73d6f3b30021827831b56477e4e46cc0888ceda42b79902159c,5ae82a649527a73d6f3b30021827831b56477e4e46cc0888ceda42b79902159c,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,01_SCIENCE/D0_BASELINE_FREEZE/BASELINE_FREEZE.md,1555,eb7ab3d1458d8793a1f37fd160e3ad5f00b7f1b42760addd8f833cd98f4b600c,eb7ab3d1458d8793a1f37fd160e3ad5f00b7f1b42760addd8f833cd98f4b600c,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,01_SCIENCE/D0_BASELINE_FREEZE/CURRENT_CODE_AUDIT.csv,1862,44cb451b8d33dd8188a5137fc7b58fc444ea0cafc247bc13b4dd797381581621,44cb451b8d33dd8188a5137fc7b58fc444ea0cafc247bc13b4dd797381581621,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,01_SCIENCE/D0_BASELINE_FREEZE/INVALIDATED_CLAIMS.json,1074,5d3d7175ace5e5fd430eab7a9ef192a80f570caf027bee5087f9f6b32de73a8b,5d3d7175ace5e5fd430eab7a9ef192a80f570caf027bee5087f9f6b32de73a8b,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,01_SCIENCE/DECISION_LOG.md,673,53ad0bf932d32b8422b881ae77b09a4f5885bf6f077c86ac21aff278a625a7aa,53ad0bf932d32b8422b881ae77b09a4f5885bf6f077c86ac21aff278a625a7aa,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,01_SCIENCE/HYPOTHESES_AND_GATES.csv,960,5f44f4d54a387671250f9bc5afe9a7984879055b7739f9762c594a6b4bfc5b8c,5f44f4d54a387671250f9bc5afe9a7984879055b7739f9762c594a6b4bfc5b8c,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,01_SCIENCE/LOCKED_SCIENCE_AND_DECISIONS.md,700,514d25197d167031299812806193a49eb15af9e2aca32e19ebfd3f9020289bad,514d25197d167031299812806193a49eb15af9e2aca32e19ebfd3f9020289bad,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,01_SCIENCE/LOCKED_SCIENTIFIC_QUESTION_AND_HYPOTHESES.md,4461,d9a22abfaaa13e5df9c232295ae66075bca2be2746d9d9f4ea5ccc1dcf4a7e4c,d9a22abfaaa13e5df9c232295ae66075bca2be2746d9d9f4ea5ccc1dcf4a7e4c,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,01_SCIENCE/SUPPORTED_AND_UNSUPPORTED_CLAIMS.md,609,bd2e0ae71f6fb3b3fefe193b69b815451620d3d4b8c7afbb73d5a6912107ebfd,bd2e0ae71f6fb3b3fefe193b69b815451620d3d4b8c7afbb73d5a6912107ebfd,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,02_LITERATURE/LITERATURE_MATRIX.csv,48172,75cdc0eb12e8ae998841ff3f8fca7605644281528262366c2a6182e2b2d71e47,75cdc0eb12e8ae998841ff3f8fca7605644281528262366c2a6182e2b2d71e47,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,02_LITERATURE/LITERATURE_REVIEW.md,1741,52855b1e3bad3a6dde7d94ba2545d91d14efac16cc9324af979ea50576a8ff02,52855b1e3bad3a6dde7d94ba2545d91d14efac16cc9324af979ea50576a8ff02,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,02_LITERATURE/METADATA_VERIFICATION.json,729,8ff270ea4cf14c4eaf1b87d7ef241e90edfa6411741e2aae75990b33336d0023,8ff270ea4cf14c4eaf1b87d7ef241e90edfa6411741e2aae75990b33336d0023,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,02_LITERATURE/NOVELTY_COMPARISON_TABLE.md,875,fdd33b9db8f3bd89b959c401687122cfb10e79b534afb306578b788ec8f56749,fdd33b9db8f3bd89b959c401687122cfb10e79b534afb306578b788ec8f56749,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,02_LITERATURE/SEARCH_LOG.md,1068,73fd71e9ac16f022333bd75bf540be55172aef44c5b8e78bcfde21107d2cf7c4,73fd71e9ac16f022333bd75bf540be55172aef44c5b8e78bcfde21107d2cf7c4,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,02_LITERATURE/SOURCE_BIBLIOGRAPHY.bib,17721,1a2ab6c8e59dbaafb791c244acf4230594c2f2ef732b5040bf76cd293fa675e4,1a2ab6c8e59dbaafb791c244acf4230594c2f2ef732b5040bf76cd293fa675e4,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,03_MODEL_AND_THEORY/CAPABILITY_SET_MODEL.md,858,e7c545f2fc0eb5f87c4a4f5e04a1fc16503b6b443efb916433dc3da15f75650a,e7c545f2fc0eb5f87c4a4f5e04a1fc16503b6b443efb916433dc3da15f75650a,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,03_MODEL_AND_THEORY/model/ASSUMPTIONS_AND_LIMITATIONS.md,564,e309a4e1746b8ba15bcaec2ab52c53dfd6ddd473ab95e1f89da3704eb8d486bc,e309a4e1746b8ba15bcaec2ab52c53dfd6ddd473ab95e1f89da3704eb8d486bc,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,03_MODEL_AND_THEORY/model/FORMULA_CODE_MAP.csv,1246,d0777c04ba4f0981a8d9c9d9ddb75c12aa59d361b947ed158cf64bfcaee19fa3,d0777c04ba4f0981a8d9c9d9ddb75c12aa59d361b947ed158cf64bfcaee19fa3,True,read_only_phase_d_archive
DIRECTION1_PHASE_D_CRCS_TUBE_MPC_SINGLE_REVIEW_PACKAGE.zip,03_MODEL_AND_THEORY/model/FULL_MATHEMATICAL_MODEL.md,925,568a8067f0565ac0d3ffc5ca337e9d4b88e8da22c7892cc9af944a66f8b644b8,568a8067f0565ac0d3ffc5ca337e9d4b88e8da22c7892cc9af944a66f8b644b8,True,read_only_phase_d_archive
