scenario_id,time_s,certificate_issue,false_optimism
D5-M1R1-000,114.0,1,False
D5-M1R1-002,140.0,1,False
D5-M1R1-004,150.0,1,False
D5-M1R1-006,124.0,1,True
D5-M1R1-008,136.0,1,False
D5-M1R1-010,160.0,1,False
D5-M1R1-012,124.0,1,False
D5-M1R1-014,136.0,1,False
