period_s,horizon_s,objective,relative_sg_penalty,load_pu,contract_status,high_status,first_bess_action_difference_pu,contract_first_bess_pu,high_first_bess_pu
4.0,32.0,grid_service,1.0,0.06,optimal_inaccurate,optimal_inaccurate,2.8601856608828635e-08,0.01787986671593155,0.01787988559524446
4.0,32.0,grid_service,1.0,0.065,optimal,optimal,4.876273784065743e-09,0.019369851383527977,0.01936985625980176
4.0,32.0,grid_service,1.0,0.07,optimal,optimal,2.883598843039792e-08,0.020859816783222733,0.020859845619211163
4.0,32.0,sg_conserving_4,4.0,0.0,optimal_inaccurate,optimal,6.193522762485449e-09,7.91224368497345e-09,1.2873907767877848e-08
4.0,32.0,sg_conserving_4,4.0,0.005,optimal_inaccurate,optimal_inaccurate,4.831375701374804e-08,0.002614418551458567,0.0026144483707815818
4.0,32.0,sg_conserving_4,4.0,0.01,optimal_inaccurate,optimal_inaccurate,9.777527291282562e-08,0.0052288484729766955,0.005228914162100846
4.0,32.0,sg_conserving_4,4.0,0.015,optimal_inaccurate,optimal_inaccurate,8.058809041443238e-08,0.007843234854111496,0.00784331544220191
4.0,32.0,sg_conserving_4,4.0,0.02,optimal_inaccurate,optimal_inaccurate,1.2701323996375247e-07,0.010457719742988904,0.01045759272974894
4.0,32.0,sg_conserving_4,4.0,0.025,optimal_inaccurate,optimal_inaccurate,4.8899785923608996e-08,0.013072163847241396,0.01307221274702732
4.0,32.0,sg_conserving_4,4.0,0.03,optimal_inaccurate,optimal_inaccurate,5.4372816981479444e-08,0.015686569759675608,0.015686613762225344
4.0,32.0,sg_conserving_4,4.0,0.035,optimal_inaccurate,optimal_inaccurate,3.118132146234798e-08,0.018300997429160092,0.018301028610481555
4.0,32.0,sg_conserving_4,4.0,0.04,optimal_inaccurate,optimal_inaccurate,2.39160523260451e-08,0.020915449949552516,0.02091544317019892
4.0,32.0,sg_conserving_4,4.0,0.045,optimal_inaccurate,optimal_inaccurate,5.7436461285004237e-08,0.023529838842373654,0.02352989539424362
4.0,32.0,sg_conserving_4,4.0,0.05,optimal_inaccurate,optimal,6.740238960370459e-08,0.0261442463448865,0.026144313747276104
4.0,32.0,sg_conserving_4,4.0,0.055,optimal_inaccurate,optimal_inaccurate,4.3948675684801763e-08,0.028758769055485772,0.028758725106810087
4.0,32.0,sg_conserving_4,4.0,0.06,optimal_inaccurate,optimal_inaccurate,0.00023464948793580978,0.031290132443061544,0.03137312262808076
4.0,32.0,sg_conserving_4,4.0,0.065,optimal,optimal_inaccurate,0.0011976853236001575,0.03312654593719501,0.03398752565697384
4.0,32.0,sg_conserving_4,4.0,0.07,optimal,optimal,0.002328292370263531,0.03479217718152127,0.03660199188423916
4.0,32.0,sg_conserving_16,16.0,0.0,optimal,optimal,1.1600304693144078e-08,3.7816295443879325e-09,1.5264306304523656e-08
4.0,32.0,sg_conserving_16,16.0,0.005,optimal_inaccurate,optimal_inaccurate,5.489738472749112e-07,0.0038430312653261606,0.003843560885769542
4.0,32.0,sg_conserving_16,16.0,0.01,optimal_inaccurate,optimal_inaccurate,1.3672149520686794e-07,0.007686476921938961,0.007686340200443754
4.0,32.0,sg_conserving_16,16.0,0.015,optimal_inaccurate,optimal_inaccurate,1.1368246257380255e-07,0.011528719821413033,0.011528801308898285
4.0,32.0,sg_conserving_16,16.0,0.02,optimal_inaccurate,optimal_inaccurate,1.0298224027011083e-08,0.01537172620107838,0.015371735493809435
4.0,32.0,sg_conserving_16,16.0,0.025,optimal_inaccurate,optimal_inaccurate,1.168969113795465e-06,0.019214691493635083,0.019213764359069248
4.0,32.0,sg_conserving_16,16.0,0.03,optimal_inaccurate,optimal_inaccurate,1.159760788932429e-07,0.02305760010632975,0.023057716082408645
4.0,32.0,sg_conserving_16,16.0,0.035,optimal_inaccurate,optimal_inaccurate,2.6594359468085083e-08,0.026900597708561454,0.026900571114201986
4.0,32.0,sg_conserving_16,16.0,0.04,optimal_inaccurate,optimal_inaccurate,2.53704647176084e-07,0.030743728364011992,0.030743474659364816
4.0,32.0,sg_conserving_16,16.0,0.045,optimal_inaccurate,optimal_inaccurate,4.2295831165911624e-07,0.034586264534074984,0.03458586628996279
4.0,32.0,sg_conserving_16,16.0,0.05,optimal_inaccurate,optimal_inaccurate,0.00035967428216321373,0.03822480110783892,0.03842828995643861
4.0,32.0,sg_conserving_16,16.0,0.055,optimal,optimal_inaccurate,0.0019606318026140004,0.04077423674006692,0.042271986874235334
4.0,32.0,sg_conserving_16,16.0,0.06,optimal_inaccurate,optimal_inaccurate,0.0037121667987896415,0.04302979125673862,0.04611518805939634
4.0,32.0,sg_conserving_16,16.0,0.065,optimal,optimal_inaccurate,0.005573097590118578,0.0450000000020297,0.04995787594659589
4.0,32.0,sg_conserving_16,16.0,0.07,optimal,optimal_inaccurate,0.00880089684272304,0.04500000006245601,0.05380089690517905
4.0,32.0,sg_conserving_64,64.0,0.0,optimal_inaccurate,optimal_inaccurate,4.830173608998826e-07,6.409400446576005e-07,1.579226837577179e-07
4.0,32.0,sg_conserving_64,64.0,0.005,optimal_inaccurate,optimal_inaccurate,7.018996426005203e-08,0.004683647355638767,0.004683717545603027
4.0,32.0,sg_conserving_64,64.0,0.01,optimal_inaccurate,optimal_inaccurate,2.2132746176593832e-07,0.009367678127921065,0.0093674568004593
4.0,32.0,sg_conserving_64,64.0,0.015,optimal_inaccurate,optimal_inaccurate,1.4950963307842902e-07,0.014051146977759284,0.014051050024978678
4.0,32.0,sg_conserving_64,64.0,0.02,optimal_inaccurate,optimal_inaccurate,3.7701661277991794e-07,0.018735166336721294,0.01873486901544513
4.0,32.0,sg_conserving_64,64.0,0.025,optimal_inaccurate,optimal_inaccurate,5.172464592403947e-08,0.02341838751132428,0.023418439235970204
4.0,32.0,sg_conserving_64,64.0,0.03,optimal_inaccurate,optimal_inaccurate,4.3255809526951405e-07,0.0281023604486955,0.028101961371004167
4.0,32.0,sg_conserving_64,64.0,0.035,optimal_inaccurate,optimal_inaccurate,1.0761242429102591e-07,0.03278601220397406,0.032786119816398354
4.0,32.0,sg_conserving_64,64.0,0.04,optimal_inaccurate,optimal_inaccurate,1.1006171464489345e-07,0.03746943467024859,0.03746942847107121
4.0,32.0,sg_conserving_64,64.0,0.045,optimal_inaccurate,optimal_inaccurate,1.1490162565852557e-07,0.04215316688974407,0.0421531903407806
4.0,32.0,sg_conserving_64,64.0,0.05,optimal,optimal_inaccurate,0.001530903445173877,0.045305961654225096,0.046836865099398974
4.0,32.0,sg_conserving_64,64.0,0.055,optimal_inaccurate,optimal_inaccurate,0.0059264739691715085,0.04635583339871984,0.05152016897830787
4.0,32.0,sg_conserving_64,64.0,0.06,optimal_inaccurate,optimal,0.00953407665076475,0.04736842502989558,0.056204136603221974
4.0,32.0,sg_conserving_64,64.0,0.065,optimal,optimal_inaccurate,0.01351935580161688,0.0473684210555956,0.06088777685721248
4.0,32.0,sg_conserving_64,64.0,0.07,optimal,optimal,0.018027429795004678,0.04736842107761761,0.06539585087262229
