period_s,horizon_s,objective,relative_sg_penalty,load_pu,contract_status,high_status,first_bess_action_difference_pu,contract_first_bess_pu,high_first_bess_pu
2.0,24.0,sg_conserving_16,16.0,0.065,optimal,optimal_inaccurate,0.003175812350314701,0.040811302070355576,0.04303157217284789
2.0,24.0,sg_conserving_16,16.0,0.07,optimal,optimal_inaccurate,0.004976632929769201,0.04260419559715338,0.04634143920147255
2.0,24.0,sg_conserving_64,64.0,0.0,optimal,optimal_inaccurate,1.1822979384497179e-08,5.546331229708857e-09,1.708315333537362e-08
2.0,24.0,sg_conserving_64,64.0,0.005,optimal_inaccurate,optimal_inaccurate,7.315414728859687e-07,0.0041645634605035715,0.0041652950019764575
2.0,24.0,sg_conserving_64,64.0,0.01,optimal_inaccurate,optimal_inaccurate,2.5147636526987038e-08,0.008330550947435324,0.008330530269966186
2.0,24.0,sg_conserving_64,64.0,0.015,optimal_inaccurate,optimal_inaccurate,2.861686623084614e-08,0.0124958024213463,0.01249577380448007
2.0,24.0,sg_conserving_64,64.0,0.02,optimal_inaccurate,optimal_inaccurate,3.095103673703137e-08,0.016661094311461195,0.01666106911852851
2.0,24.0,sg_conserving_64,64.0,0.025,optimal_inaccurate,optimal_inaccurate,4.1823693310710786e-08,0.020826388923175433,0.020826347099482122
2.0,24.0,sg_conserving_64,64.0,0.03,optimal_inaccurate,optimal_inaccurate,4.5606165812242527e-07,0.024991212344922444,0.024991668406580566
2.0,24.0,sg_conserving_64,64.0,0.035,optimal_inaccurate,optimal_inaccurate,1.9259909587315827e-08,0.02915694581702259,0.029156965076932176
2.0,24.0,sg_conserving_64,64.0,0.04,optimal,optimal_inaccurate,1.5323143787160376e-06,0.03332220115103611,0.033323733465414826
2.0,24.0,sg_conserving_64,64.0,0.045,optimal_inaccurate,optimal_inaccurate,2.559299889931532e-07,0.03748747647940945,0.03748773240939844
2.0,24.0,sg_conserving_64,64.0,0.05,optimal_inaccurate,optimal_inaccurate,0.0006485749950294536,0.04127784723416408,0.041652811243404635
2.0,24.0,sg_conserving_64,64.0,0.055,optimal,optimal,0.001974292476846308,0.04419145558335193,0.045818031232245926
2.0,24.0,sg_conserving_64,64.0,0.06,optimal,optimal,0.00498324409520625,0.04500007288282535,0.04998331697792543
2.0,24.0,sg_conserving_64,64.0,0.065,optimal,optimal_inaccurate,0.009148539829775662,0.045000072882272014,0.05414861271194369
2.0,24.0,sg_conserving_64,64.0,0.07,optimal,optimal,0.01055557263872902,0.04500007290316212,0.05555564554091354
2.0,32.0,grid_service,1.0,0.0,optimal,optimal,4.30451763887671e-09,1.6726117651236637e-09,2.6319058737530465e-09
2.0,32.0,grid_service,1.0,0.005,optimal_inaccurate,optimal_inaccurate,1.0845079324319461e-07,0.0010410697773442755,0.0010409613265510323
2.0,32.0,grid_service,1.0,0.01,optimal_inaccurate,optimal_inaccurate,2.7782865865853476e-07,0.002080285053701652,0.0020805286681944784
2.0,32.0,grid_service,1.0,0.015,optimal_inaccurate,optimal_inaccurate,1.2444194262333994e-07,0.003120650524226644,0.003120774966169267
2.0,32.0,grid_service,1.0,0.02,optimal_inaccurate,optimal_inaccurate,1.788957420612372e-07,0.00416102675679065,0.004160881587684882
2.0,32.0,grid_service,1.0,0.025,optimal_inaccurate,optimal_inaccurate,2.3950601081047795e-07,0.005201182297189364,0.005201291604439604
2.0,32.0,grid_service,1.0,0.03,optimal_inaccurate,optimal_inaccurate,6.002352390989396e-08,0.006241517215235937,0.006241457191712027
2.0,32.0,grid_service,1.0,0.035,optimal_inaccurate,optimal_inaccurate,5.628306633514296e-08,0.007281762723304542,0.0072817685935844
2.0,32.0,grid_service,1.0,0.04,optimal_inaccurate,optimal_inaccurate,4.6459643810933815e-08,0.008322009017298217,0.008321962557654406
2.0,32.0,grid_service,1.0,0.045,optimal_inaccurate,optimal_inaccurate,7.45542541712857e-08,0.009362225173917535,0.009362150619663364
2.0,32.0,grid_service,1.0,0.05,optimal_inaccurate,optimal_inaccurate,3.048594926502446e-08,0.010402464214234998,0.010402433728285733
2.0,32.0,grid_service,1.0,0.055,optimal_inaccurate,optimal_inaccurate,3.2545174085199524e-08,0.011442724789316528,0.011442692244142443
2.0,32.0,grid_service,1.0,0.06,optimal_inaccurate,optimal_inaccurate,3.2547687515635526e-08,0.012482982605697126,0.012482966788909302
2.0,32.0,grid_service,1.0,0.065,optimal_inaccurate,optimal_inaccurate,1.364427637852439e-07,0.013523131515545024,0.013523248429616068
2.0,32.0,grid_service,1.0,0.07,optimal_inaccurate,optimal_inaccurate,6.982274444386483e-08,0.014563439827317339,0.014563481437229383
2.0,32.0,sg_conserving_4,4.0,0.0,optimal,optimal,1.5820908908308408e-09,3.5166516689185896e-09,1.934560778087749e-09
2.0,32.0,sg_conserving_4,4.0,0.005,optimal_inaccurate,optimal_inaccurate,4.504904848076467e-07,0.002104305404635148,0.0021047453176729837
2.0,32.0,sg_conserving_4,4.0,0.01,optimal_inaccurate,optimal_inaccurate,6.184670143030702e-08,0.004208564476535442,0.004208625313460972
2.0,32.0,sg_conserving_4,4.0,0.015,optimal_inaccurate,optimal_inaccurate,1.3578542924601311e-08,0.006312952388949263,0.006312965967492187
2.0,32.0,sg_conserving_4,4.0,0.02,optimal_inaccurate,optimal_inaccurate,4.404351030065645e-08,0.008417298142387458,0.008417258667572815
