scope,calls,active_calls,active_fraction,mean_surplus_norm_pu,active_mean_surplus_norm_pu,maximum_surplus_norm_pu,active_duration_s,performance_envelope_used_fraction
ALL,22392,2,8.931761343336905e-05,1.0168171303680672e-06,0.011384283789535769,0.02160162780373773,6.0,8.931761343336905e-05
A_full_nonlinear|power_drop|high|4.0|known|SUSTAINABLE,228,0,0.0,8.425930842638355e-15,0.0,1.885254187554253e-13,0.0,0.0
A_full_nonlinear|power_drop|low|2.0|OOD|BRIDGE,151,0,0.0,1.0795248266415052e-14,0.0,2.0812422757047836e-13,0.0,0.0
A_full_nonlinear|power_drop|low|2.0|OOD|PHYSICALLY_INFEASIBLE,151,0,0.0,4.568141652628019e-16,0.0,1.577588388572802e-14,0.0,0.0
A_full_nonlinear|power_drop|low|2.0|OOD|SUSTAINABLE,452,0,0.0,2.666202257154499e-15,0.0,7.613428129893979e-14,0.0,0.0
A_full_nonlinear|power_drop|low|2.0|contract_violation|BRIDGE,151,0,0.0,8.595112723371996e-15,0.0,4.0976576831939525e-13,0.0,0.0
A_full_nonlinear|power_drop|low|2.0|known|PHYSICALLY_INFEASIBLE,453,0,0.0,5.975278325914658e-13,0.0,2.6845243468530863e-10,0.0,0.0
A_full_nonlinear|power_drop|low|2.0|known|SUSTAINABLE,301,0,0.0,3.652926651798155e-15,0.0,3.804062705239094e-14,0.0,0.0
A_full_nonlinear|power_drop|low|4.0|OOD|PHYSICALLY_INFEASIBLE,151,0,0.0,1.4472636262769277e-15,0.0,2.400074258770067e-14,0.0,0.0
A_full_nonlinear|power_drop|low|4.0|OOD|SUSTAINABLE,1128,0,0.0,2.9925034139675706e-15,0.0,2.1060187438921547e-13,0.0,0.0
A_full_nonlinear|power_drop|low|4.0|contract_violation|BRIDGE,76,0,0.0,8.814695811762602e-15,0.0,5.944604958239966e-14,0.0,0.0
A_full_nonlinear|power_drop|low|4.0|known|BRIDGE,228,0,0.0,1.0226033329127146e-14,0.0,2.585657967796199e-13,0.0,0.0
A_full_nonlinear|power_drop|low|4.0|known|SUSTAINABLE,1051,0,0.0,2.647669758151888e-15,0.0,3.0481136698147856e-14,0.0,0.0
A_full_nonlinear|ramp_drop|high|2.0|OOD|BRIDGE,301,0,0.0,7.097101841996307e-15,0.0,1.5725053997804762e-13,0.0,0.0
A_full_nonlinear|ramp_drop|high|2.0|OOD|SUSTAINABLE,453,0,0.0,4.0736969640300676e-15,0.0,2.236870664150521e-13,0.0,0.0
A_full_nonlinear|ramp_drop|high|2.0|known|PHYSICALLY_INFEASIBLE,452,0,0.0,5.746043205100437e-15,0.0,1.8979549183714952e-12,0.0,0.0
A_full_nonlinear|ramp_drop|high|2.0|known|SUSTAINABLE,302,0,0.0,2.939973311273166e-15,0.0,4.1136136718871976e-14,0.0,0.0
A_full_nonlinear|ramp_drop|high|4.0|OOD|PHYSICALLY_INFEASIBLE,151,0,0.0,1.1487618537434103e-15,0.0,2.635361404934207e-14,0.0,0.0
A_full_nonlinear|ramp_drop|high|4.0|OOD|SUSTAINABLE,227,0,0.0,3.326320745817879e-15,0.0,2.0719044721109628e-14,0.0,0.0
A_full_nonlinear|ramp_drop|high|4.0|known|BRIDGE,152,0,0.0,8.752338380989223e-15,0.0,9.619809121389646e-14,0.0,0.0
A_full_nonlinear|ramp_drop|high|4.0|known|PHYSICALLY_INFEASIBLE,76,0,0.0,2.8969748744922044e-15,0.0,2.1902430894575143e-14,0.0,0.0
A_full_nonlinear|ramp_drop|high|4.0|known|SUSTAINABLE,152,0,0.0,2.2963064127103264e-15,0.0,3.488140514141397e-14,0.0,0.0
A_full_nonlinear|ramp_drop|low|2.0|OOD|BRIDGE,151,0,0.0,5.972302900816216e-15,0.0,6.016299863829059e-14,0.0,0.0
A_full_nonlinear|ramp_drop|low|2.0|OOD|PHYSICALLY_INFEASIBLE,302,0,0.0,1.0784518454789112e-15,0.0,1.135318640820444e-14,0.0,0.0
A_full_nonlinear|ramp_drop|low|2.0|OOD|SUSTAINABLE,302,0,0.0,3.629574211064645e-15,0.0,1.1024580963086747e-13,0.0,0.0
A_full_nonlinear|ramp_drop|low|2.0|contract_violation|BRIDGE,151,0,0.0,8.139733766060641e-15,0.0,1.3401717738258486e-13,0.0,0.0
A_full_nonlinear|ramp_drop|low|2.0|known|BRIDGE,301,0,0.0,5.778629011331124e-15,0.0,1.957930612246686e-13,0.0,0.0
A_full_nonlinear|ramp_drop|low|2.0|known|SUSTAINABLE,451,0,0.0,2.6970161576549777e-15,0.0,2.9772535909492614e-13,0.0,0.0
A_full_nonlinear|ramp_drop|low|4.0|OOD|BRIDGE,76,0,0.0,1.022348418950262e-14,0.0,8.161777977201272e-14,0.0,0.0
A_full_nonlinear|ramp_drop|low|4.0|OOD|SUSTAINABLE,1205,0,0.0,3.5228308667458347e-15,0.0,3.9353035703192725e-13,0.0,0.0
A_full_nonlinear|ramp_drop|low|4.0|contract_violation|BRIDGE,76,0,0.0,1.1457164469010551e-14,0.0,9.528089090809003e-14,0.0,0.0
A_full_nonlinear|ramp_drop|low|4.0|known|BRIDGE,76,0,0.0,1.6652283455831996e-14,0.0,9.05233496232493e-14,0.0,0.0
A_full_nonlinear|ramp_drop|low|4.0|known|PHYSICALLY_INFEASIBLE,227,0,0.0,7.598099116207244e-13,0.0,1.283170432112924e-10,0.0,0.0
A_full_nonlinear|ramp_drop|low|4.0|known|SUSTAINABLE,975,0,0.0,2.083411146947916e-15,0.0,3.016162242335312e-14,0.0,0.0
B_native_ANDES_Kundur|delay_increase|base|2.0|known|SUSTAINABLE,151,0,0.0,8.713783418969393e-16,0.0,1.8054689136713594e-14,0.0,0.0
B_native_ANDES_Kundur|delay_increase|base|4.0|OOD|SUSTAINABLE,151,0,0.0,1.9052923265236957e-15,0.0,4.4305293228110223e-14,0.0,0.0
B_native_ANDES_Kundur|delay_increase|base|4.0|known|SUSTAINABLE,75,0,0.0,2.2913847737539036e-15,0.0,1.4659300165350488e-14,0.0,0.0
B_native_ANDES_Kundur|delay_increase|stressed|2.0|OOD|SUSTAINABLE,151,0,0.0,3.685582892524042e-15,0.0,1.2938979154657407e-14,0.0,0.0
