metric,scenarios,perfect_information_improvement,causal_online_improvement,model_adaptive_improvement,perfect_minus_online_value_gap,perfect_information_improvement_relative_to_contract,causal_online_improvement_relative_to_contract,model_adaptive_improvement_relative_to_contract,perfect_minus_online_value_gap_relative_to_contract
ace_iae_pu_s,24,1.6544475223319957,-9.72470752311863,0.23231121555424128,11.379155045450625,0.06675222544935985,-0.39236413379694823,0.009373093087433523,0.4591163592463081
frequency_peak_hz,24,-0.012564080459896052,-0.16838207699084043,-4.344917949872009e-05,0.15581799653094439,-0.013979779357214239,-0.18735507875447693,-4.8344958039939884e-05,0.1733752993972627
tie_rms_pu,24,0.00457366423552942,-0.02020467898581291,0.00036465879421832903,0.02477834322134233,0.11772910952832925,-0.5200816550605751,0.00938655592413174,0.6378107645889044
