plant,mechanism,sg_tension,period_s,condition,method,episodes,evaluated,success_rate,frequency_peak_hz,ace_iae_pu_s,tie_rms_pu,terminal_recovery_rate,fallback_calls,surplus_active_calls,hard_violations
A_full_nonlinear,ramp_drop,high,2.0,OOD,dcsv_cr_mpc,5,5,1.0,0.45798843338726164,2.1552224463408685,0.005306851350912527,1.0,0,0,0
A_full_nonlinear,ramp_drop,high,2.0,known,contract_only_rolling_mpc,5,2,0.4,1.0972039916876202,24.99597569619891,0.01559440697446803,0.4,3,0,0
A_full_nonlinear,ramp_drop,high,2.0,known,dcsv_cr_mpc,5,2,0.4,1.105800798911727,26.293214726784207,0.01595080330564177,0.4,4,0,0
A_full_nonlinear,ramp_drop,high,4.0,OOD,contract_only_rolling_mpc,5,3,0.6,0.5097907313115491,12.445907908094052,0.009383950758340429,0.6,0,0,0
A_full_nonlinear,ramp_drop,high,4.0,OOD,dcsv_cr_mpc,5,3,0.6,0.5036413468257801,12.434281824620715,0.009667952643136229,0.6,0,0,0
A_full_nonlinear,ramp_drop,high,4.0,known,contract_only_rolling_mpc,5,4,0.8,0.5296199817647932,7.437683954623424,0.011331666158361672,0.8,0,0,0
A_full_nonlinear,ramp_drop,high,4.0,known,dcsv_cr_mpc,5,4,0.8,0.5285033573828855,7.3407020325933825,0.011590083317932095,0.8,0,0,0
A_full_nonlinear,ramp_drop,low,2.0,OOD,contract_only_rolling_mpc,5,3,0.6,0.6597497560784574,10.9466177897872,0.014944170569010115,0.6,0,0,0
A_full_nonlinear,ramp_drop,low,2.0,OOD,dcsv_cr_mpc,5,3,0.6,0.6810540647773141,11.336735796071775,0.01600644311717994,0.6,0,0,0
A_full_nonlinear,ramp_drop,low,2.0,known,contract_only_rolling_mpc,5,5,0.8,0.6294772904335354,3.1504075355003662,0.005028214337911499,1.0,0,0,0
A_full_nonlinear,ramp_drop,low,2.0,known,dcsv_cr_mpc,5,5,0.8,0.6363480015302124,3.2529262171107662,0.005630441058477674,1.0,0,0,0
A_full_nonlinear,ramp_drop,low,4.0,OOD,contract_only_rolling_mpc,5,5,0.8,0.522523120171059,3.353883392970509,0.0032197328137781927,1.0,0,0,0
A_full_nonlinear,ramp_drop,low,4.0,OOD,dcsv_cr_mpc,5,5,0.8,0.5120578291813566,3.0637170151281596,0.003529668514269852,1.0,0,0,0
A_full_nonlinear,ramp_drop,low,4.0,known,contract_only_rolling_mpc,5,2,0.4,0.8701102905706544,16.736846478953467,0.022713033602985204,0.4,0,0,0
A_full_nonlinear,ramp_drop,low,4.0,known,dcsv_cr_mpc,5,2,0.4,0.8575287113524006,16.638988024633825,0.022816512330599687,0.4,0,0,0
B_native_ANDES_Kundur,delay_increase,base,2.0,known,contract_only_rolling_mpc,1,1,1.0,0.035700038697092935,1.024281345569793,0.0015000279397330103,1.0,0,0,0
B_native_ANDES_Kundur,delay_increase,base,2.0,known,dcsv_cr_mpc,1,1,1.0,0.0365628940253504,1.4154870722948214,0.002227856851851179,1.0,0,0,0
B_native_ANDES_Kundur,delay_increase,base,4.0,OOD,contract_only_rolling_mpc,2,2,1.0,0.034943625933749334,1.2241515723930851,0.002494174715533994,1.0,0,0,0
