source,episodes,excitation_sufficient_fraction,mean_delay_candidate_width_s,performance_above_contract_fraction,false_optimistic_windows,scored_windows
R2_REGISTERED_EXCITATION_PROTOCOL,40,0.75,0.8359375,0.0,0.0,7120
R5_NATURAL_CLOSED_LOOP_AREA0_PROXY,156,0.4935897435897436,1.5,0.013888888888888888,,22392
