scenario_id,seed,method,summary_frequency_peak_hz,cycle_frequency_peak_hz,cycle_peak_time_s,first_cycle_above_1hz_s,capability_change_time_s,second_capability_change_time_s,profile_peak_pu,profile_rms_pu,fallback_calls,hard_violation,final_soc_min,final_soc_max,terminal_recovery
R5-N-00,40,sg_only_anti_windup_pi,0.008488436947639197,0.007813057527897977,928.1,,1100.0,2400.0,0.010356516997649562,0.003710064128627536,0,False,0.49996914300589235,0.49996970675308366,True
R5-N-00,40,fixed_allocation_anti_windup_pi,0.00850790216417112,0.00789297998906794,927.8000000000001,,1100.0,2400.0,0.010356516997649562,0.003710064128627536,0,False,0.4982281116127441,0.4994467414075066,True
R5-N-00,40,nominal_offset_free_mpc,0.005881764372817636,0.005349544193704008,1451.75,,1100.0,2400.0,0.010356516997649562,0.003710064128627536,0,False,0.4999470827028121,0.4999729948263956,True
R5-N-00,40,contract_only_rolling_mpc,0.0059303709495710675,0.005264100080837407,1248.0,,1100.0,2400.0,0.010356516997649562,0.003710064128627536,0,False,0.4999507730403344,0.49997400629599975,True
R5-N-00,40,model_adaptive_mpc,0.005951349958457481,0.005653878749518764,1780.1000000000001,,1100.0,2400.0,0.010356516997649562,0.003710064128627536,0,False,0.49995593699187024,0.4999854383114111,True
R5-N-00,40,dcsv_cr_mpc,0.006007089139386182,0.0054473341077754265,1248.15,,1100.0,2400.0,0.010356516997649562,0.003710064128627536,0,False,0.5033962988240074,0.5061029086123697,True
R5-N-00,40,true_capability_oracle_mpc,0.0059392294130325,0.005839775969547652,1780.3000000000002,,1100.0,2400.0,0.010356516997649562,0.003710064128627536,0,False,0.49995193182505987,0.49998377852206205,True
R5-N-01,41,sg_only_anti_windup_pi,0.010433530876819447,0.00878632980501845,851.95,,1200.0,2440.0,0.009928415472229802,0.0039672265527243445,0,False,0.49991288562469466,0.49991314403258325,True
R5-N-01,41,fixed_allocation_anti_windup_pi,0.010384891949058556,0.008757367256675747,851.9000000000001,,1200.0,2440.0,0.009928415472229802,0.0039672265527243445,0,False,0.4957629177604005,0.49962939413692636,True
R5-N-01,41,nominal_offset_free_mpc,0.006959724336280899,0.006879548341818552,835.95,,1200.0,2440.0,0.009928415472229802,0.0039672265527243445,0,False,0.4999246357943204,0.49993373651489215,True
R5-N-01,41,contract_only_rolling_mpc,0.007031275689001319,0.0068847354422013,836.0,,1200.0,2440.0,0.009928415472229802,0.0039672265527243445,0,False,0.49991566681253957,0.49993217773995363,True
R5-N-01,41,model_adaptive_mpc,0.0070573982664490975,0.006670894424304512,832.1500000000001,,1200.0,2440.0,0.009928415472229802,0.0039672265527243445,0,False,0.49992382506211963,0.4999392615191921,True
R5-N-01,41,dcsv_cr_mpc,0.006782397169782664,0.006540042764401215,836.1,,1200.0,2440.0,0.009928415472229802,0.0039672265527243445,0,False,0.49762724818818393,0.5072448869103351,True
R5-N-01,41,true_capability_oracle_mpc,0.006999270093654165,0.006790866807302096,836.0500000000001,,1200.0,2440.0,0.009928415472229802,0.0039672265527243445,0,False,0.49991664192300567,0.49992737839255624,True
