scenario_id,plant,mechanism,sg_tension,period_s,condition,evaluation_status,fallback_calls,surplus_active_calls,excitation_fraction,frequency_peak_hz__contract_only_rolling_mpc,frequency_peak_hz__dcsv_cr_mpc,ace_iae_pu_s__contract_only_rolling_mpc,ace_iae_pu_s__dcsv_cr_mpc,tie_rms_pu__contract_only_rolling_mpc,tie_rms_pu__dcsv_cr_mpc,physical_success__contract_only_rolling_mpc,physical_success__dcsv_cr_mpc,attribution,contract_minus_dcsv__frequency_peak_hz,contract_minus_dcsv__ace_iae_pu_s,contract_minus_dcsv__tie_rms_pu
R5-V-A-000,A_full_nonlinear,power_drop,low,2.0,OOD,PHYSICALLY_INFEASIBLE_CERTIFIED,0,0,0.6357615894039735,0.6960172449362986,0.7032648338834837,25.036280170112477,25.560115819388546,0.03151355238554135,0.03277413131068813,False,False,PHYSICAL_INFEASIBILITY_PRECLASSIFIED,-0.007247588947185135,-0.5238356492760694,-0.0012605789251467839
R5-V-A-001,A_full_nonlinear,power_drop,low,2.0,known,PHYSICALLY_INFEASIBLE_CERTIFIED,0,0,0.6026490066225165,0.9106580964703832,0.8905011119768969,25.338132208465584,25.616747348274075,0.031704217783119,0.03244653299166958,False,False,PHYSICAL_INFEASIBILITY_PRECLASSIFIED,0.020156984493486352,-0.2786151398084904,-0.0007423152085505799
R5-V-A-002,A_full_nonlinear,power_drop,low,2.0,known,EVALUATED,0,0,0.0,0.41789268074568936,0.42276936272517895,1.8370064556646202,1.8263032040411,0.0011647493984689994,0.001647206832884031,True,True,INSUFFICIENT_NATURAL_EXCITATION_NO_SURPLUS,-0.004876681979489594,0.01070325162352015,-0.00048245743441503166
R5-V-A-003,A_full_nonlinear,power_drop,low,2.0,known,PHYSICALLY_INFEASIBLE_CERTIFIED,0,0,0.6357615894039735,1.9936815694274257,2.0235856077329446,42.25149860622247,43.015893040251434,0.03639571189089079,0.03697844289032648,False,False,PHYSICAL_INFEASIBILITY_PRECLASSIFIED,-0.02990403830551891,-0.764394434028965,-0.0005827309994356905
R5-V-A-004,A_full_nonlinear,power_drop,low,2.0,OOD,EVALUATED,0,0,0.0,0.3068489118707956,0.30767804723397824,1.0649805445991165,1.0782121437889634,0.003664841228252904,0.004085168724488656,True,True,INSUFFICIENT_NATURAL_EXCITATION_NO_SURPLUS,-0.0008291353631826315,-0.013231599189846843,-0.000420327496235752
R5-V-A-005,A_full_nonlinear,power_drop,low,2.0,OOD,EVALUATED,0,0,0.6754966887417219,1.1524055263520323,1.1516568828099656,6.675745384481261,6.791068142683962,0.0059885177552059556,0.006999016116114538,False,False,CONSERVATIVE_ONLINE_ENVELOPE_NO_SURPLUS,0.0007486435420667181,-0.11532275820270055,-0.0010104983609085828
R5-V-A-006,A_full_nonlinear,power_drop,low,2.0,OOD,EVALUATED,0,0,0.0,0.4207688218842155,0.42675124798444974,1.8295938720908087,1.8450104198386788,0.0011635426375753279,0.0016469591809076763,True,True,INSUFFICIENT_NATURAL_EXCITATION_NO_SURPLUS,-0.0059824261002342505,-0.015416547747870046,-0.0004834165433323485
R5-V-A-007,A_full_nonlinear,power_drop,low,2.0,OOD,EVALUATED,0,0,0.0,0.30444876962391887,0.30893232586886754,1.06877518783035,1.0743425418944061,0.0035512674233793384,0.0037876643525921556,True,True,INSUFFICIENT_NATURAL_EXCITATION_NO_SURPLUS,-0.004483556244948672,-0.005567354064056174,-0.0002363969292128172
R5-V-A-008,A_full_nonlinear,power_drop,low,2.0,known,PHYSICALLY_INFEASIBLE_CERTIFIED,0,0,0.6225165562913907,0.7069054443499623,0.7034617331878451,23.40418947046345,23.931633889389364,0.030461499000727102,0.031807839630484946,False,False,PHYSICAL_INFEASIBILITY_PRECLASSIFIED,0.003443711162117169,-0.5274444189259135,-0.0013463406297578445
R5-V-A-009,A_full_nonlinear,power_drop,low,2.0,known,EVALUATED,0,0,0.0,0.29894035031950494,0.29929323558493603,1.0001454501108316,1.0906205825895867,0.004069715491636634,0.005014749936815252,True,True,INSUFFICIENT_NATURAL_EXCITATION_NO_SURPLUS,-0.000352885265431091,-0.09047513247875516,-0.0009450344451786179
