weight_id,ace_weight,tie_weight,frequency_weight,bess_effort_weight,sg_effort_weight,mean_oracle_ace_gap,mean_oracle_tie_gap,positive_oracle_scenarios,mean_contract_max_bess_pu,hard_violations,fallback_calls
W00,30.0,5.0,12.0,0.04,0.03,-0.45651323528871834,-0.9689878566505585,0,0.019145194652768552,0,0
W01,35.0,10.0,15.0,0.04,0.06,-0.40170578041862914,-0.7176568384143014,0,0.026242119878906813,0,0
W02,35.0,10.0,15.0,0.04,0.1,-0.38011050998920737,-0.7082527477992244,0,0.026619089426262735,0,0
