split,episodes,proposed_success_rate,baseline_success_rate,both_success_episodes,frequency_iae_hz_s_improvement,frequency_iae_hz_s_ci_low,frequency_iae_hz_s_ci_high,ace_iae_pu_s_improvement,ace_iae_pu_s_ci_low,ace_iae_pu_s_ci_high,tie_iae_pu_s_improvement,tie_iae_pu_s_ci_low,tie_iae_pu_s_ci_high,core_metrics_passing
development,200,0.89,0.91,174,0.3179559304435208,0.2884154861195056,0.3464441780326974,0.21827427076824346,0.17765204522718842,0.25878544583765817,0.2502222608975174,0.19213301054419366,0.30705401706505164,3
validation,200,0.88,0.89,174,0.31479096713488364,0.28218921468816655,0.3445458538561217,0.21587515751070874,0.1709112504284705,0.25784709640387987,0.2513404681858332,0.19025859022427075,0.3104290570178979,3
