plant,native_network,converged,initialization_diagnostic_enabled,controller_calls,expected_controller_calls,frequency_area0_initial_response_sign,peak_abs_frequency_hz,power_balance_p99_pu,event_time_s,load_time_s
A_full_nonlinear,False,True,False,39,39,-1.0,0.11631126995028793,3.469446951953614e-18,62.10228165493032,66.65132904814686
B_native_ANDES_Kundur,True,True,True,39,39,-1.0,0.02480010726094939,1.8895086549841623e-08,62.10228165493032,66.65132904814686
