dt_s,peak_abs_frequency_hz,terminal_frequency_norm_hz,duration_s,period_s,physical_steps,controller_calls,expected_controller_calls,controller_updates_entire_horizon,max_power_balance_residual_pu,max_step_energy_residual_mwh,max_integrated_energy_closure_mwh,elapsed_s,peak_relative_error_vs_0p01,terminal_absolute_error_vs_0p01_hz
0.04,0.08851067423497837,0.07288474077572293,30.0,2.0,750,16,16,True,3.469446951953614e-18,1.7751371119562043e-15,1.7192844370406135e-14,0.16829030000371858,0.0033955712375722505,1.9638096096827318e-05
0.02,0.08831644320251007,0.07286065000793326,30.0,2.0,1500,16,16,True,3.469446951953614e-18,1.7762433369853184e-15,3.017378014114058e-14,0.35534440001356415,0.0011936836182531126,4.452671692842247e-06
0.01,0.0882111470013872,0.0728651026796261,30.0,2.0,3000,16,16,True,3.469446951953614e-18,1.7762924648962591e-15,6.12426775958852e-14,0.7662637000030372,0.0,0.0
