design,period_s,spectral_radius,frequency_support_max_hz,ace_support_max_pu,tie_support_pu,sg_mechanical_support_max_pu,sg_command_support_max_pu,frequency_limit_hz,ace_limit_pu,tie_limit_pu,sg_mechanical_limit_pu,minimum_registered_sg_reserve_pu,tail_generator_inf,iterations,constraints_satisfied
stable_ace_pi,2.0,0.903563513808049,1.578442443547595,1.1238408374260904,0.7196701683107063,0.44724987879324374,0.38949408083034964,0.3,0.15,0.08,0.1,0.025,9.706917486734416e-13,226,False
sg_state_feedback_lqr,2.0,0.7075642163241977,1.5452833974313112,0.7501224535233061,0.11293983204797693,0.562323955976596,0.3624073570419471,0.3,0.15,0.08,0.1,0.025,6.447062210802923e-13,74,False
stable_ace_pi,4.0,0.7528013186725407,1.115824800648141,0.7861578567589638,0.40765855442084015,0.3372960947488082,0.3382217433240392,0.3,0.15,0.08,0.1,0.025,9.148001101004613e-13,89,False
sg_state_feedback_lqr,4.0,0.5059174415038021,0.837169757923546,0.45367525002145315,0.10821816758727697,0.2730097254795792,0.14900093321382912,0.3,0.15,0.08,0.1,0.025,8.835443964457031e-13,37,False
