quantity,count,included_in_attempted_decision_denominator,attempted_decision_denominator,raw_solver_invocation_denominator,unresolved_fraction_of_attempted_decisions,unresolved_fraction_of_raw_solver_invocations,fallback_fraction_of_attempted_decisions
primary_accepted_actions,19449,True,20273,21097,0.03512060375869383,0.03374887424752335,0.03512060375869383
restoration_accepted_actions,112,True,20273,21097,0.03512060375869383,0.03374887424752335,0.03512060375869383
backup_actions,712,True,20273,21097,0.03512060375869383,0.03374887424752335,0.03512060375869383
unhandled_actions,0,True,20273,21097,0.03512060375869383,0.03374887424752335,0.03512060375869383
physical_infeasibility_preclassification,1436,False,20273,21097,0.03512060375869383,0.03374887424752335,0.03512060375869383
attempted_optimization_decisions,20273,True,20273,21097,0.03512060375869383,0.03374887424752335,0.03512060375869383
inferred_raw_solver_invocations,21097,False,20273,21097,0.03512060375869383,0.03374887424752335,0.03512060375869383
phase_i_reported_success_only_solver_calls,19561,False,20273,21097,0.03512060375869383,0.03374887424752335,0.03512060375869383
omitted_backup_actions_in_phase_i_denominator,712,False,20273,21097,0.03512060375869383,0.03374887424752335,0.03512060375869383
unresolved_mathematical_infeasibility,712,False,20273,21097,0.03512060375869383,0.03374887424752335,0.03512060375869383
