metric,analysis,penalty_multiplier,resamples,absolute_difference_lower,absolute_difference_median,absolute_difference_upper,relative_improvement_lower,relative_improvement_median,relative_improvement_upper
frequency_peak_hz,both_success,,5000,-0.012153810921892844,-0.006837272675928499,-0.002670106671745648,-0.044615519386282367,-0.023256824278243403,-0.008497668668872322
frequency_peak_hz,failure_aware,1.5,5000,-0.011072573860352526,0.027469224217304772,0.09191682531342747,-0.025092039853766117,0.056347960288785,0.16101657509958436
frequency_peak_hz,failure_aware,2.0,5000,-0.013816095877407286,0.04541659426697969,0.14021440476186942,-0.030585967191419927,0.07803615087279561,0.2031765069873971
frequency_peak_hz,failure_aware,3.0,5000,-0.019415930421996217,0.07894543708280943,0.2405267708638198,-0.03443469984793279,0.10465292765951376,0.25374143795403536
ace_iae_pu_s,both_success,,5000,0.11936028345239011,1.3041851538849365,2.367773139434657,0.04471573406510394,0.367204278353926,0.5362718175258696
ace_iae_pu_s,failure_aware,1.5,5000,0.18951580711263005,1.26479126368226,2.326960687741498,0.047086360870445584,0.25333814599902377,0.4151213720268396
ace_iae_pu_s,failure_aware,2.0,5000,0.24343976039230192,1.4069847515229095,2.619965834858821,0.05275591675340531,0.2452306495234508,0.407056321506908
ace_iae_pu_s,failure_aware,3.0,5000,0.3259954788412746,1.7057076377337348,3.2922553647456723,0.058791881226117546,0.2401158636771488,0.40429772196431496
tie_rms_pu,both_success,,5000,0.0003328909831642389,0.000970610089317134,0.0015947811119986447,0.09084992021091358,0.2264034440087007,0.3191493227776024
tie_rms_pu,failure_aware,1.5,5000,0.0005286590689847736,0.0013644771566357298,0.002389376166065377,0.08401388468690174,0.19484020410940883,0.3087956402989479
tie_rms_pu,failure_aware,2.0,5000,0.0004953521962404972,0.0015508704445726805,0.0030264040599755665,0.06790513096682917,0.19674470758873394,0.3273812921613875
tie_rms_pu,failure_aware,3.0,5000,0.00048193702549461395,0.0019819094187088293,0.004223179490403275,0.05516044776812702,0.1972145920641935,0.3455630937167246
