scenario_id,split,seed,plant,mechanism,sg_tension,period_s,duration_s,nominal_warmup_s,capability_change_time_s,load_event_time_s,timing_relation,load_area,load_sign,initial_soc,known_ood,contract_violation,factor_assignment,condition,control_period_s,capability_mechanism,load_magnitude_pu,probe_eligible,contract_status,materiality_positive,method,physical_success,frequency_peak_hz,ace_iae_pu_s,tie_iae_pu_s,sg_mechanical_mileage_pu,bess_energy_throughput_pu_s,terminal_recovery,hard_violation,command_violation,normal1h,controller_calls,attempted_optimization_calls,solver_failure_calls,fallback_calls,restoration_calls,p99_solve_time_s,full_rolling,certificate_issues,certificate_revocations,probe_active_calls,probe_command_l1_pu_s,certified_surplus_l1_pu_s,ordinary_controller_truth_read,evaluation_only_truth_read,candidate_id
VOI-M1-03,development,213,A_full_nonlinear,power_drop,high,2.0,300.0,60.0,123.65829276631412,123.65829276631412,simultaneous,area1,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,known,2.0,power_drop,0.0558,True,WITHIN_CONTRACT,True,perfect_capability_recourse_oracle,True,0.2385897233582992,1.000152229902558,0.26073175795387693,0.2967920399109582,5.813016284226697,True,False,False,False,151,151,1,0,0,0.22685279999495833,True,0,0,0,0.0,0.10340588120030453,False,True,M1-C00
VOI-M1-04,development,218,A_full_nonlinear,ramp_drop,low,2.0,300.0,60.0,104.32450465012673,90.32450465012673,before,area0,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,known,2.0,ramp_drop,0.0744,True,WITHIN_CONTRACT,True,contract_only_recourse_mpc,True,0.3083945950183669,1.2770817412241464,0.2974907895930409,0.332564107859533,8.764176133414983,True,False,False,False,151,151,1,0,0,0.2258539499998733,True,0,0,0,0.0,1.9507439445447763e-12,False,False,M1-C00
VOI-M1-04,development,218,A_full_nonlinear,ramp_drop,low,2.0,300.0,60.0,104.32450465012673,90.32450465012673,before,area0,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,known,2.0,ramp_drop,0.0744,True,WITHIN_CONTRACT,True,accr_mpc,True,0.3104637187693945,1.2782418968310125,0.29619506889467356,0.3342125956682319,8.708253813378304,True,False,False,False,151,151,0,0,0,0.2681539500008512,True,1,1,3,0.02,8.094376614914001e-13,False,False,M1-C00
VOI-M1-04,development,218,A_full_nonlinear,ramp_drop,low,2.0,300.0,60.0,104.32450465012673,90.32450465012673,before,area0,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,known,2.0,ramp_drop,0.0744,True,WITHIN_CONTRACT,True,perfect_capability_recourse_oracle,True,0.3083301394090979,1.278383504585168,0.2987606446686039,0.3338769607790209,8.78736545403812,True,False,False,False,151,151,1,0,0,0.23468040000079782,True,0,0,0,0.0,0.003077646941807555,False,True,M1-C00
VOI-M1-05,development,219,A_full_nonlinear,ramp_drop,low,2.0,300.0,60.0,100.2742929540174,100.2742929540174,simultaneous,area1,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,known,2.0,ramp_drop,0.0744,True,WITHIN_CONTRACT,True,contract_only_recourse_mpc,True,0.3186919429206697,1.4229173329939726,0.3776017830172777,0.4321390501102137,8.30396504357979,True,False,False,False,151,151,1,0,0,0.30887144999724114,True,0,0,0,0.0,1.1269757390178866e-12,False,False,M1-C00
VOI-M1-05,development,219,A_full_nonlinear,ramp_drop,low,2.0,300.0,60.0,100.2742929540174,100.2742929540174,simultaneous,area1,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,known,2.0,ramp_drop,0.0744,True,WITHIN_CONTRACT,True,accr_mpc,True,0.318645108952803,1.4204359848028005,0.37693395038088723,0.4280744127003219,8.233460853934414,True,False,False,False,151,151,0,0,0,0.27694329999940237,True,1,1,3,0.02,1.4190575887919972e-12,False,False,M1-C00
VOI-M1-05,development,219,A_full_nonlinear,ramp_drop,low,2.0,300.0,60.0,100.2742929540174,100.2742929540174,simultaneous,area1,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,known,2.0,ramp_drop,0.0744,True,WITHIN_CONTRACT,True,perfect_capability_recourse_oracle,True,0.3186825328763691,1.4229157883255799,0.3775702062842249,0.43217433716069664,8.30424794656079,True,False,False,False,151,151,1,0,0,0.2512598499961314,True,0,0,0,0.0,8.848483944907185e-05,False,True,M1-C00
VOI-M1-06,development,224,A_full_nonlinear,ramp_drop,high,2.0,300.0,60.0,126.381136084737,112.381136084737,before,area0,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,known,2.0,ramp_drop,0.0558,True,WITHIN_CONTRACT,False,contract_only_recourse_mpc,True,0.22932556311671487,0.9580385294307122,0.2295802995646637,0.25268718674046203,5.699522054498874,True,False,False,False,151,151,0,0,0,0.236387900000409,True,0,0,0,0.0,1.0809609090325465e-12,False,False,M1-C00
VOI-M1-06,development,224,A_full_nonlinear,ramp_drop,high,2.0,300.0,60.0,126.381136084737,112.381136084737,before,area0,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,known,2.0,ramp_drop,0.0558,True,WITHIN_CONTRACT,False,accr_mpc,True,0.22932912843336897,0.9606997767103409,0.23130084032640474,0.2548915383876914,5.627959378293243,True,False,False,False,151,151,0,0,0,0.23712509999677422,True,1,1,3,0.02,1.2605868691024064e-12,False,False,M1-C00
VOI-M1-06,development,224,A_full_nonlinear,ramp_drop,high,2.0,300.0,60.0,126.381136084737,112.381136084737,before,area0,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,known,2.0,ramp_drop,0.0558,True,WITHIN_CONTRACT,False,perfect_capability_recourse_oracle,True,0.22930324316896075,0.9590838640241997,0.2304586502311372,0.2537048390605235,5.7151491773333865,True,False,False,False,151,151,1,0,0,0.21951960000296822,True,0,0,0,0.0,0.0022218853963925,False,True,M1-C00
VOI-M1-07,development,225,A_full_nonlinear,ramp_drop,high,2.0,300.0,60.0,124.95199929525988,124.95199929525988,simultaneous,area1,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,known,2.0,ramp_drop,0.0558,True,WITHIN_CONTRACT,False,contract_only_recourse_mpc,True,0.23767216604025343,0.9893118368995606,0.28770523730130526,0.30621362907879,5.322948835961826,True,False,False,False,151,151,1,0,0,0.20508495000103721,True,0,0,0,0.0,1.0477280633066818e-12,False,False,M1-C00
VOI-M1-07,development,225,A_full_nonlinear,ramp_drop,high,2.0,300.0,60.0,124.95199929525988,124.95199929525988,simultaneous,area1,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,known,2.0,ramp_drop,0.0558,True,WITHIN_CONTRACT,False,accr_mpc,True,0.23769026102778854,0.9999799697573302,0.2899653863073778,0.3164776400075619,5.266602160531238,True,False,False,False,151,151,0,0,0,0.23514349999823025,True,1,1,3,0.02,9.563006604156784e-13,False,False,M1-C00
VOI-M1-07,development,225,A_full_nonlinear,ramp_drop,high,2.0,300.0,60.0,124.95199929525988,124.95199929525988,simultaneous,area1,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,known,2.0,ramp_drop,0.0558,True,WITHIN_CONTRACT,False,perfect_capability_recourse_oracle,True,0.23770071282839508,0.9896223132074893,0.28773164557467684,0.3063551425943917,5.324137530744164,True,False,False,False,151,151,0,0,0,0.24307749999934458,True,0,0,0,0.0,9.609698958113582e-05,False,True,M1-C00
