point_id,period_s,sg_tension,load_magnitude_pu,power_spread_pu,ramp_spread_pu_per_s,delay_spread_s,noise_std_pu,soc,tie_loading_pu,objective,candidate_count,robust_cost,perfect_information_cost,perfect_information_value,heuristic_value,maximum_safe_probe_upper_value,maximum_exact_probe_value,region,selected_probe_id,no_probe_reason,registered_probe_count,safe_probe_count,evaluated_probe_count,all_safe_probes_evaluated,solver_attempts,solver_failures,elapsed_s
B1_LHS_0000,2.0,low,0.058017062333801384,0.019943338921267508,0.01793953494557916,0.8640511436703168,0.001775804505338217,0.5372238537263774,0.0003855524941987266,balanced,8,3.593196460726815,3.593197102390781,-6.416639659612144e-07,0.03046559032274903,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,180,180,0,False,9,0,2.228006000019377
B1_LHS_0001,2.0,low,0.030546106016530405,0.009107633753714747,0.034710515940804786,1.1669735501212724,0.0006092654796310013,0.3265708816531203,0.016810506261736254,regional_responsibility,8,1.934946945828789,1.9349469470985783,-1.2697893847501973e-09,0.04382839139873482,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,180,180,0,False,9,0,2.2109858999901917
B1_LHS_0002,4.0,medium,0.0703088695558454,0.0064325784338934286,0.004896966334854091,0.28954092259588343,0.0005761032523548046,0.6983701457566165,0.03502251691197246,resource_economy,8,12.086900446908917,12.085634719515342,0.0012657273935747781,0.01730122044279445,-inf,nan,ZERO_VALUE_OBSERVED_NOT_PROVED,,UNEVALUATED_SAFE_PROBES_REMAIN,60,60,0,False,9,0,1.0720590999990236
B1_LHS_0003,2.0,medium,0.0629062309086939,0.018952761388618077,0.034622387648370063,0.34395971221066224,0.0018697696146579973,0.4343158960643215,0.002540746185743181,balanced,8,4.258418958940085,4.25841896025265,-1.3125642794875603e-09,0.01377956434550303,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,180,180,0,False,9,0,2.263587599998573
B1_LHS_0004,4.0,medium,0.06530884659816122,0.03327223131549462,0.030143598508566762,0.21494260967881934,0.0007513342547656318,0.305739868505329,0.02438644439338535,regional_responsibility,8,12.419379902748931,12.419379901868078,8.808527240944386e-10,2.2960856114525446e-06,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,60,60,0,False,9,0,1.0802640999900177
B1_LHS_0005,4.0,medium,0.06783399320510322,0.02421160446831227,0.0224111175718604,0.7251228601683771,0.0010961467314509477,0.5298773060010021,0.037324289525719,resource_economy,8,11.589774929966888,11.586665724811217,0.0031092051556704803,0.02762265310258582,-inf,nan,ZERO_VALUE_OBSERVED_NOT_PROVED,,UNEVALUATED_SAFE_PROBES_REMAIN,60,60,0,False,9,0,1.0533228999993298
B1_LHS_0006,2.0,low,0.06114265452184606,0.01960299115638619,0.02951539913217906,1.2281068612859987,0.000932966636622593,0.6322121986124436,0.006993697622179663,balanced,8,4.1323429235530424,4.132342949571957,-2.601891413434032e-08,0.04569732364206163,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,180,180,0,False,9,0,2.2219801000028383
B1_LHS_0007,2.0,high,0.03468345544161276,0.011753979798768853,0.013296787675316725,1.1914350515661105,0.0012730159239598192,0.6894951702427433,0.019190775540433438,regional_responsibility,8,2.5035205466094497,2.5035205494085058,-2.7990560980128976e-09,0.05276436773771247,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,180,180,0,False,9,0,2.264120899984846
B1_LHS_0008,2.0,medium,0.016183656425729286,0.013920479430851325,0.02651108335638344,1.1235794775847119,0.0015735632592384853,0.4711625004982253,0.03211015642922123,resource_economy,8,1.785590586815882,1.78548329826678,0.00010728854910180274,0.062310719577342376,-inf,nan,ZERO_VALUE_OBSERVED_NOT_PROVED,,UNEVALUATED_SAFE_PROBES_REMAIN,180,180,0,False,9,0,2.2463135000143666
B1_LHS_0009,2.0,low,0.02451210353157629,0.006391356589640404,0.015557512738010548,0.5442925233991809,0.001755113627813475,0.365932256149763,0.01125765380880623,balanced,8,0.8588123392617147,0.8588123721485508,-3.2886836032197664e-08,0.008002070477376905,-inf,nan,ZERO_VALUE_PROVED,,REGISTERED_PERFECT_INFORMATION_VALUE_NONPOSITIVE,180,180,0,False,9,0,2.2264120999898296
