metric,samples,successes,empirical_coverage,one_sided_95_confidence_lower,plant,period_s,horizon_s
power_covered,60,60,1.0,0.9512970866899025,physical_BESS_actuator,0.05 identification sample,28.0
ramp_covered,60,60,1.0,0.9512970866899025,physical_BESS_actuator,0.05 identification sample,28.0
delay_covered,60,60,1.0,0.9512970866899025,physical_BESS_actuator,0.05 identification sample,28.0
false_optimism,60,0,0.0,,physical_BESS_actuator,0.05 identification sample,28.0
