case,truth_contains_contract,detector_status_after_evidence,hard_safety_source,online_envelope_safety_source
within_contract,True,NO_DETECTED_VIOLATION,contract_floor,False
contract_violation,False,DETECTED_CONTRACT_VIOLATION,contract_floor,False
