case,period_s,seed,event_time_s,actual_poi_rmse_pu,command_driven_rmse_pu,actual_poi_bias_norm_pu,command_driven_bias_norm_pu,actual_poi_improves_rmse,samples_scored,uses_true_load_in_update,uses_actual_bess_poi_power
no_event,2.0,0,64.05971544026376,0.0007719743992440107,0.03262263637591351,9.690914394698163e-07,0.0007308731554636906,True,1598,False,True
no_event,4.0,1,63.05495099481545,0.0007728626470126362,0.032131745313173504,2.710165262193015e-05,0.0005405204873528349,True,1648,False,True
load_only,2.0,2,63.95287354232565,0.0008101192742922764,0.03277614448833294,1.5605703928462755e-05,0.003757496655460724,True,1603,False,True
load_only,4.0,3,66.11698698408729,0.0008786269946021264,0.034022013957020106,9.13039985224473e-06,0.004339274340686926,True,1495,False,True
capability_only,2.0,4,62.22471946220438,0.0007476243738169212,0.04928136745194788,2.3828514624940796e-05,0.0031339962678009065,True,1689,False,True
capability_only,4.0,5,63.507019280359856,0.0015603379531621087,0.0496875766302698,1.2806926365533884e-05,0.0017197707011017548,True,1625,False,True
simultaneous,2.0,6,67.33941843515692,0.0011412072491864811,0.05246299192872623,3.39379976017384e-05,0.004286279980014957,True,1434,False,True
simultaneous,4.0,7,67.90582210604616,0.0010888888769653392,0.052899133014692554,3.855955459343734e-05,0.004324987627575962,True,1405,False,True
