load0_pu,load1_pu,admissible,nonempty,closed_loop_spectral_radius,absolute_closed_loop_spectral_radius,invariance_residual,minimum_state_margin_pu,minimum_input_margin_pu,claim_level
0.03,0.024,True,True,0.6793118099297397,0.9705260665111717,2.168404344971009e-19,0.08896323054772495,0.1194061443188935,CONDITIONAL_LOCAL_LINEAR_RPI
0.06,0.048,True,True,0.6793118099297397,0.9705260665111717,2.168404344971009e-19,0.058963230547724954,0.0894061443188935,CONDITIONAL_LOCAL_LINEAR_RPI
