seed,scenario,time_s,issued_total_pu,measured_power_pu,true_power_capability_pu,estimated_power_lower_pu,estimated_power_upper_pu,true_ramp_pu_s,estimated_ramp_lower_pu_s,true_delay_s,delay_candidate_count,true_energy_mwh,energy_lower_mwh,energy_upper_mwh,alarm,joint_covered,load_true_pu,load_estimate_pu
100,headroom_after_load,0.0,0.0002199643483169559,-0.0001222986245446149,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349816305020088,17.50000157969057,32.50000164763425,False,True,0.0014555020476696137,-0.0021707472807843977
100,headroom_after_load,0.05,0.0002380936453837698,-0.0003862202832314107,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349816305020088,17.500006568369226,32.50000685087973,False,True,0.0014511840124717783,0.0042329432882331625
100,headroom_after_load,0.1,0.0002559571024597858,-8.124983815897682e-05,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349816305020088,17.500007617846304,32.500007945495604,False,True,0.001446669510188518,0.0020563003102546874
100,headroom_after_load,0.15000000000000002,0.00027341557927668386,0.00012428233487201347,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349816305020088,17.50000576177798,32.500006165966184,False,True,0.0014419591520111756,0.0013489630743306828
100,headroom_after_load,0.2,0.0002903216248534899,0.0005232750170349677,0.1,0.0,0.1,0.08,0.0,0.2,5,28.34981576904458,17.499997947037585,32.49999867348312,False,True,0.0014370535756468477,0.0019268322091580941
100,headroom_after_load,0.25,0.00030607121796217716,0.0001019739551242542,0.1,0.0,0.1,0.08,0.0,0.2,5,28.34981429560186,17.499996424129055,32.49999721337494,False,True,0.0014319534452320471,0.0005601523598303276
100,headroom_after_load,0.30000000000000004,0.0003201889513553743,-6.872737902053429e-05,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349812109479355,17.4999973118577,32.49999813928546,False,True,0.0014266594512427919,0.0003582081860992893
100,headroom_after_load,0.35000000000000003,0.0003327557459893495,0.00026743825158708845,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349809362169903,17.499993317857527,32.49999430998633,False,True,0.0014211723104011248,8.718998868415472e-05
100,headroom_after_load,0.4,0.00034381228123579467,0.00019045699829488635,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349806157001602,17.49999047351765,32.49999158293881,False,True,0.0014154927655780796,0.00158970161137534
100,headroom_after_load,0.45,0.0003533814375170508,0.00027638420393077636,0.1,0.0,0.1,0.08,0.0,0.2,5,28.3498025670238,17.499986345916035,32.499987625547575,False,True,0.0014096215856931106,0.001005895884932882
100,headroom_after_load,0.5,0.0003614838346747189,0.0004896169837310544,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349798647730196,17.49997903383444,32.49998061499512,False,True,0.0014035595656099907,0.0011566738412853608
100,headroom_after_load,0.55,0.0003681483478496457,0.0001586596992687718,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349794443871943,17.499976664364617,32.49997834323539,False,True,0.0013973075260292013,0.001777875753129443
100,headroom_after_load,0.6000000000000001,0.0003734170396874763,0.0005130891010103017,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349789992742203,17.499969001743633,32.499970996598776,False,True,0.001390866313376822,0.0009101440456802645
100,headroom_after_load,0.65,0.0003773466266413172,0.0004985222100547305,0.1,0.0,0.1,0.08,0.0,0.2,5,28.34978532650727,17.49996155666881,32.49996385853735,False,True,0.0013842367996899378,0.0010164719172610448
100,headroom_after_load,0.7000000000000001,0.0003800087596007451,0.00029768923334564637,0.1,0.0,0.1,0.08,0.0,0.2,5,28.34978047380954,17.49995711089173,32.49995959609128,False,True,0.0013774198824985805,0.0006394723034378003
100,headroom_after_load,0.75,0.00038148937896637905,0.0005591469655876666,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349775460821522,17.499948760429284,32.4999515899778,False,True,0.001370416484704215,0.001243348018204183
100,headroom_after_load,0.8,0.00038188735909839335,0.0003867096283994759,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349770311896307,17.499942985195887,32.49994605289835,False,True,0.0013632275544547962,0.0010694357595474476
100,headroom_after_load,0.8500000000000001,0.0003813126249156913,0.00039327020052226495,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349765049933332,17.499937111985005,32.49994042188173,False,True,0.0013558540650164025,0.0016224419386628745
100,headroom_after_load,0.9,0.0003798838990074359,-2.2552964611651037e-05,0.1,0.0,0.1,0.08,0.0,0.2,5,28.34975969655015,17.499937403294133,32.499940725720286,False,True,0.001348297014641473,0.0016597505745272292
100,headroom_after_load,0.9500000000000001,0.00037772621197969004,-8.401162530629941e-05,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349754272125747,17.499938488444293,32.49994185754357,False,True,0.0013405574264336582,0.0012125491284744382
100,headroom_after_load,1.0,0.00037496828579183447,0.00043664022676777087,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349748795763038,17.499931967532902,32.49993560553574,False,True,0.0013326363482093102,0.001716803913432487
100,headroom_after_load,1.05,0.0003717398826185004,0.0005461998680080233,0.1,0.0,0.1,0.08,0.0,0.2,5,28.34974328520548,17.49992381042615,32.49992778480453,False,True,0.0013245348523556238,0.0012029415001221953
100,headroom_after_load,1.1,0.0003681691982374539,0.000683336624015297,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349737756733084,17.499913605279435,32.499918000488606,False,True,0.0013162540356854522,0.00137493533941344
100,headroom_after_load,1.1500000000000001,0.0003643803677037613,0.00015683632520443235,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349732225056286,17.49991126304041,32.499915754836756,False,True,0.001307795019288818,0.000894869604059821
100,headroom_after_load,1.2000000000000002,0.0003604911412241799,0.0006801855787601757,0.1,0.0,0.1,0.08,0.0,0.2,5,28.34972670322083,17.499901104952315,32.49990601563889,False,True,0.0012991589483811327,0.0011562062709397185
100,headroom_after_load,1.25,0.00035661077913101946,0.00014659439630087861,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349721202532848,17.499898915669217,32.49990391663551,False,True,0.0012903469921481552,0.0011757918533887388
100,headroom_after_load,1.3,0.0003528382063242606,0.0004097952942127593,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349715732510155,17.499892795667808,32.499898049005296,False,True,0.0012813603435877017,0.0015838463187512043
100,headroom_after_load,1.35,0.0003492604582997626,0.0004004021563590757,0.1,0.0,0.1,0.08,0.0,0.2,5,28.34971030086353,17.499886815946237,32.499892315870184,False,True,0.0012722002193481339,0.0017990298142561171
100,headroom_after_load,1.4000000000000001,0.00034595144280843087,0.00013747153960344023,0.1,0.0,0.1,0.08,0.0,0.2,5,28.34970491350967,17.499884762906518,32.4998903474919,False,True,0.0012628678595636423,0.0011841479637054665
100,headroom_after_load,1.4500000000000002,0.0003429710332682413,0.0006109457746284338,0.1,0.0,0.1,0.08,0.0,0.2,5,28.34969957461606,17.499875638865678,32.49988159970017,False,True,0.0012533645276863537,0.0017195334368582064
100,headroom_after_load,1.5,0.0003403645023012066,0.0004709203844834905,0.1,0.0,0.1,0.08,0.0,0.2,5,28.34969428667679,17.4998686060045,32.499874856853886,False,True,0.0012436915103152802,0.001433499957714075
100,headroom_after_load,1.55,0.00033816229624809694,0.00041544313159296,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349689050617215,17.499862401656657,32.49986890835544,False,True,0.001233850117022132,0.0013871695143800604
100,headroom_after_load,1.6,0.00033638014430379965,0.00012695168015946346,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349683865924717,17.49986050572356,32.49986709060515,False,True,0.0012238416801740252,0.0010776660547930454
100,headroom_after_load,1.6500000000000001,0.0003350194891060023,0.00050872639332403,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349678730802047,17.499852908256514,32.499859806435715,False,True,0.0012136675547530984,0.0009632013279098417
100,headroom_after_load,1.7000000000000002,0.00033406821929382656,0.0003707336645278675,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349673642339333,17.49984737161278,32.49985449810718,False,True,0.0012033291181730713,0.0009654170922605588
100,headroom_after_load,1.75,0.00033350167882363813,0.00038915697768154736,0.1,0.0,0.1,0.08,0.0,0.2,5,28.34966859670045,17.49984155982996,32.49984892598551,False,True,0.0011928277700927637,0.0014183388664523013
100,headroom_after_load,1.8,0.0003332839227725376,8.56777914841357e-05,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349663589319263,17.49984028029305,32.49984769921301,False,True,0.001182164932226605,0.0008046592481755517
100,headroom_after_load,1.85,0.0003333691850519183,0.0006964999344436146,0.1,0.0,0.1,0.08,0.0,0.2,5,28.34965861510112,17.499829878561652,32.49983772641899,False,True,0.0011713420481521573,0.0012158435871214397
100,headroom_after_load,1.9000000000000001,0.0003337035199570691,0.0002557016933866343,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349653668625017,17.499826059838632,32.49983406516908,False,True,0.0011603605831146766,0.0016589020536825745
100,headroom_after_load,1.9500000000000002,0.00033422657684232615,7.606224514102868e-05,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349648744341977,17.499824923903073,32.49983297607623,False,True,0.001149222023828742,0.001250305704995619
100,headroom_after_load,2.0,0.0011272789847191391,0.0001733117885930977,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349643836765367,17.499822335614713,32.499830494521404,False,True,0.001137927878276981,0.001098167894561117
100,headroom_after_load,2.0500000000000003,0.0011279619373415915,-2.2698806274303648e-05,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349638940649214,17.499822628807628,32.499830800324766,False,True,0.0011264796755059096,0.0005958302591262013
100,headroom_after_load,2.1,0.0011285240030115685,0.00040448978503471373,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349634051150957,17.49981658804023,32.499825008661176,False,True,0.001114878965418926,0.0009215803346216303
100,headroom_after_load,2.15,0.0011288208758184139,0.00035563373204838085,0.1,0.0,0.1,0.08,0.0,0.2,5,28.34962916397547,17.49981127690325,32.499819916540154,False,True,0.0011031273185664763,0.0007644120724361642
100,headroom_after_load,2.2,0.0011287374767824279,0.0009255388002338385,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349622344685084,17.49979745463921,32.49980666426638,False,True,0.001091226325933431,0.0008064955211739136
100,headroom_after_load,2.25,0.0011265328203744491,0.0007311591464197526,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349612303265076,17.49978653529712,32.499796195206436,False,True,0.0010791775987236863,0.0014245974490072455
100,headroom_after_load,2.3000000000000003,0.001121027046645196,0.0010613354964728325,0.1,0.0,0.1,0.08,0.0,0.2,5,28.34960011072498,17.499770685005952,32.49978099853553,False,True,0.0010669827681420356,0.0015849924986608476
100,headroom_after_load,2.35,0.0011130542672271643,0.0007996006490999553,0.1,0.0,0.1,0.08,0.0,0.2,5,28.3495864820119,17.49975874353867,32.49976954949989,False,True,0.0010546434851733317,0.0015896554102612101
100,headroom_after_load,2.4000000000000004,0.001103143240900599,0.0012425753737193626,0.1,0.0,0.1,0.08,0.0,0.2,5,28.34957189533,17.499740186558775,32.49975175775628,False,True,0.001042161420358967,0.0009750923478953726
100,headroom_after_load,2.45,0.0010916282977560087,0.0009541618656031941,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349556675577407,17.4997259368296,32.4997380956448,False,True,0.0010295382635707097,0.0008463863464299391
100,headroom_after_load,2.5,0.001078725915473369,0.0009808211546834076,0.1,0.0,0.1,0.08,0.0,0.2,5,28.34954105256528,17.499711288962892,32.499724051813836,False,True,0.001016775723781924,0.0012829051805145113
100,headroom_after_load,2.5500000000000003,0.0010645876188821995,0.001078897773408867,0.1,0.0,0.1,0.08,0.0,0.2,5,28.34952519355594,17.499695176391604,32.49970860367848,False,True,0.001003875528836201,0.00121916696944933
100,headroom_after_load,2.6,0.0010493297517826861,0.0009138506205878623,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349509220791656,17.499681528682217,32.49969551876123,False,True,0.000990839425213435,0.0005625120685651679
100,headroom_after_load,2.6500000000000004,0.0010330497419249814,0.0010639800359891047,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349493224398266,17.499665638896733,32.49968028422463,False,True,0.000977669177793382,0.0008143763446332743
100,headroom_after_load,2.7,0.001015837945592121,0.0010597170399563693,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349477271748547,17.499649812776063,32.4996651107275,False,True,0.000964366569616719,0.0012054489341646428
100,headroom_after_load,2.75,0.0009977860845285643,0.0016611881057584496,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349461414149868,17.499625004112595,32.4996413251017,False,True,0.0009509334016436513,0.0009558080309171107
100,headroom_after_load,2.8000000000000003,0.0009789930474758575,0.0010839441742884217,0.1,0.0,0.1,0.08,0.0,0.2,5,28.34944569154663,17.4996088161769,32.499625804709744,False,True,0.0009373714925100909,0.0008417866098393212
100,headroom_after_load,2.85,0.0009595686504359983,0.0012716578062584609,0.1,0.0,0.1,0.08,0.0,0.2,5,28.34943013578703,17.49958982487155,32.49960759655101,False,True,0.0009236826782814412,0.0016199410483651267
100,headroom_after_load,2.9000000000000004,0.0009396358159685398,0.000867439921932846,0.1,0.0,0.1,0.08,0.0,0.2,5,28.34941477286424,17.499576870272953,32.499595176162664,False,True,0.0009098688122040253,0.0014934076076507474
100,headroom_after_load,2.95,0.0009193315100175431,0.0010604498156857978,0.1,0.0,0.1,0.08,0.0,0.2,5,28.34939962442441,17.4995610332088,32.499579992173324,False,True,0.0008959317644541847,0.0014497926327326069
100,headroom_after_load,3.0,0.0008988066786487373,0.0008395630048556371,0.1,0.0,0.1,0.08,0.0,0.2,5,28.34938470875124,17.499548494932142,32.499567970939005,False,True,0.0008818734218850867,0.0014935430045481537
100,headroom_after_load,3.0500000000000003,0.0008782253648162333,0.0011173947144120372,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349370041378247,17.49953180743641,32.49955197158742,False,True,0.0008676956877712759,0.001448653600226735
100,headroom_after_load,3.1,0.0008577631457802749,0.0011495004458519727,0.1,0.0,0.1,0.08,0.0,0.2,5,28.34935563543839,17.499514640464398,32.499535512531786,False,True,0.0008534004815510008,0.0015370067638702917
100,headroom_after_load,3.1500000000000004,0.0008376050074425269,0.0013742749477605957,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349341501831002,17.499494116644986,32.49951583505544,False,True,0.0008389897385663522,0.0012929866136617216
100,headroom_after_load,3.2,0.0008179427574495433,0.0010592663611424958,0.1,0.0,0.1,0.08,0.0,0.2,5,28.3493276492648,17.499478297254885,32.49950066801132,False,True,0.0008244654098012512,0.0010094163078608167
100,headroom_after_load,3.25,0.0007989720708852357,0.0010258423260925964,0.1,0.0,0.1,0.08,0.0,0.2,5,28.34931408422056,17.499462977028987,32.499485979547316,False,True,0.0008098294616173127,0.0006215202788846495
100,headroom_after_load,3.3000000000000003,0.0007808892582351441,0.0011652796210465048,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349300810866236,17.499445574406213,32.499469294558466,False,True,0.0007950838754876367,0.0007504616380459811
100,headroom_after_load,3.35,0.0007638878432829551,0.0014755469014259516,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349287830949333,17.499423538162166,32.49944816702551,False,True,0.0007802306477285443,0.0010074337700352225
100,headroom_after_load,3.4000000000000004,0.0007481550374413463,0.0009802454294407343,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349275143685617,17.499408898893506,32.499434131438036,False,True,0.0007652717892293107,0.0006684053014766008
100,headroom_after_load,3.45,0.000733868195857239,0.0009365350501890305,0.1,0.0,0.1,0.08,0.0,0.2,5,28.34926274565886,17.499394912408288,32.4994207217151,False,True,0.0007502093251799224,0.0011863998124699345
100,headroom_after_load,3.5,0.0007211913388806168,0.000699638971463626,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349250630743047,17.499384463797604,32.49941070397496,False,True,0.0007350452947968982,0.001466895268938727
100,headroom_after_load,3.5500000000000003,0.0007102718197702294,0.0006083285440933726,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349238790055747,17.49937537884324,32.49940199365789,False,True,0.0007197817510472146,0.0016967635456795562
100,headroom_after_load,3.6,0.0007012372156095677,0.0010872938045971357,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349227211949202,17.499359140883197,32.49938642530444,False,True,0.0007044207603703632,0.0011436916317444866
100,headroom_after_load,3.6500000000000004,0.0006941925132223055,0.0011445507442981576,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349215882043783,17.49934204783146,32.49937003712082,False,True,0.0006889644023985898,0.0005377403348367282
100,headroom_after_load,3.7,0.0006892176553990499,0.0009359353956769486,0.1,0.0,0.1,0.08,0.0,0.2,5,28.3492047833068,17.499328070301654,32.499356635984,False,True,0.0006734147696753466,2.012649126114296e-05
100,headroom_after_load,3.75,0.0006863655050383989,0.0008004648304536485,0.1,0.0,0.1,0.08,0.0,0.2,5,28.34919389617815,17.49931611592844,32.49934517457463,False,True,0.0006577739673719929,0.0009549830490692112
100,headroom_after_load,3.8000000000000003,0.0006856602759813323,0.0009203847790920676,0.1,0.0,0.1,0.08,0.0,0.2,5,28.349183198742885,17.49930237063604,32.49933199609841,False,True,0.0006420441130027899,0.0007636023031367418
100,headroom_after_load,3.85,0.0006870964695372794,0.0005550705023370475,0.1,0.0,0.1,0.08,0.0,0.2,5,28.34917266694947,17.49929408105267,32.499324048353536,False,True,0.0006262273361382225,0.0006653010539058491
