period_s,envelope,load_level_pu,solver_status,attempted_optimization_calls,solve_time_s,maximum_constraint_residual,hard_margin_pu,energy_margin_mwh,restoration_used,fallback_used,branch_count,delay_vertex_count,shared_current_action_verified,surplus_loss_branch_verified,current_surplus_norm_pu,horizon_surplus_max_pu,predicted_state_steps,predicted_input_steps,predicted_energy_steps
2.0,contract,0.04,optimal,1,0.2840485000051558,1.9537848684048195e-08,0.037548342646796004,19.921058814218807,False,False,2,2,True,True,4.2866014558688137e-16,1.3286324102042712e-15,6,5,6
2.0,contract,0.08,optimal,1,0.27795570000307634,2.2884319317122148e-08,0.028545511320815117,19.90731971360472,False,False,2,2,True,True,3.7897302971703507e-16,6.903238885639927e-16,6,5,6
2.0,contract,0.1,optimal,1,0.2798380999593064,2.2438214480891006e-13,0.015271837054783768,19.877864674554278,False,False,2,2,True,True,8.517922293398018e-15,6.258247369652764e-15,6,5,6
2.0,online,0.04,optimal,1,0.27022070001112297,1.4184314040135244e-08,0.03764651721068757,19.92205121129606,False,False,2,2,True,True,4.656544458586879e-05,0.0002272975946637143,6,5,6
2.0,online,0.08,optimal,1,0.2528108000406064,2.882703699029907e-13,0.028668244090536737,19.907284297396938,False,False,2,2,True,True,9.052971613415569e-05,0.00044098181957311983,6,5,6
2.0,online,0.1,optimal,1,0.25590300001204014,4.4519695922059897e-13,0.015901717988169195,19.874957347392,False,False,2,2,True,True,0.00043309693755579743,0.0011551957029732377,6,5,6
4.0,contract,0.04,optimal,1,0.24707579996902496,3.379266270568714e-08,0.02994564918321215,19.81400070340342,False,False,2,2,True,True,3.274140917718498e-16,2.3206246796198186e-16,6,5,6
4.0,contract,0.08,optimal,1,0.2632432000245899,1.9734214262712158e-14,0.011132070872257399,19.74785179078521,False,False,2,2,True,True,6.091317039336333e-16,1.1041993946072948e-15,6,5,6
4.0,contract,0.1,optimal,1,0.267295700032264,2.736041378875731e-08,0.0006818421379402306,19.708574927079745,False,False,2,2,True,True,1.5126071424074614e-16,2.7630723907793204e-16,6,5,6
4.0,online,0.04,optimal,1,0.2737178000388667,6.317411455620376e-08,0.031047413703952406,19.80905839625666,False,False,2,2,True,True,1.572916775618298e-05,0.0018053622811916529,6,5,6
4.0,online,0.08,optimal,1,0.27418199996463954,1.9018295808624543e-07,0.013785146575119697,19.745425363884696,False,False,2,2,True,True,2.020331686173233e-05,0.004423086203802365,6,5,6
4.0,online,0.1,optimal,1,0.2559379000449553,5.588837128441167e-08,0.003743706313952176,19.70938887415341,False,False,2,2,True,True,2.8622189242427394e-05,0.005313087987083446,6,5,6
