scenario_id,seed,factor,sg_level,method,reference_method,method_present,reference_present,method_success,reference_success,both_success,method_only_failure,reference_only_failure,both_failure,method_safety_failure,reference_safety_failure
S0_nominal_stochastic,3019,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S0_nominal_stochastic,3019,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S0_nominal_stochastic,3020,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S0_nominal_stochastic,3020,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S0_nominal_stochastic,3020,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S0_nominal_stochastic,3021,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S0_nominal_stochastic,3021,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S0_nominal_stochastic,3021,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S0_nominal_stochastic,3022,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S0_nominal_stochastic,3022,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S0_nominal_stochastic,3022,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S0_nominal_stochastic,3023,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S0_nominal_stochastic,3023,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S0_nominal_stochastic,3023,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S0_nominal_stochastic,3024,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S0_nominal_stochastic,3024,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S0_nominal_stochastic,3024,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S0_nominal_stochastic,3025,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S0_nominal_stochastic,3025,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S0_nominal_stochastic,3025,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S0_nominal_stochastic,3026,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S0_nominal_stochastic,3026,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S0_nominal_stochastic,3026,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S0_nominal_stochastic,3027,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S0_nominal_stochastic,3027,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S0_nominal_stochastic,3027,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S0_nominal_stochastic,3028,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S0_nominal_stochastic,3028,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S0_nominal_stochastic,3028,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S0_nominal_stochastic,3029,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S0_nominal_stochastic,3029,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S0_nominal_stochastic,3029,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3000,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3000,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3000,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3001,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3001,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3001,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3002,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3002,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3002,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3003,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3003,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3003,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3004,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3004,phase_b1_materiality,B,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3004,phase_b1_materiality,C,B5,B0,True,True,True,True,True,False,False,False,False,False
S1_step_neg_002,3005,phase_b1_materiality,A,B5,B0,True,True,True,True,True,False,False,False,False,False
