scenario_id,method,objective_preference,probe_amplitude_pu,evidence_model,physical_success,hard_violation,solver_failure_calls,fallback_calls,probe_windows,power_certified,power_certificate_time_s,frequency_peak_hz,delta_frequency_peak_hz,ace_iae_pu_s,delta_ace_iae_pu_s,tie_iae_pu_s,delta_tie_iae_pu_s,sg_mechanical_mileage_pu,delta_sg_mechanical_mileage_pu,bess_energy_throughput_pu_s,delta_bess_energy_throughput_pu_s
R1_LOW_DUAL_A0.0030_W2_A03F1AD_RESOURCE_ECONOMY_AD04LOW_S8101,dual,resource_economy,0.003,a03f1ad,True,False,0,0,1,False,,0.3999485400407312,9.843741128806593e-05,2.6532720612192513,0.023573390720424747,0.263538236276126,-0.024938046853922757,0.40549932032003144,0.007761599387018536,13.791982536401678,-0.13413015259219563
R1_LOW_DUAL_A0.0030_W2_A03F1AD_RESOURCE_ECONOMY_AD04LOW_S8102,dual,resource_economy,0.003,a03f1ad,True,False,0,0,1,False,,0.40010882507158735,0.00025872244214419915,2.6098674380261415,-0.019831232472685034,0.2656400097951828,-0.02283627333486593,0.40270696260073174,0.004969241667718838,13.905414303974899,-0.020698385018974363
R1_LOW_DUAL_A0.0030_W2_A03F1AD_RESOURCE_ECONOMY_AD04LOW_S8103,dual,resource_economy,0.003,a03f1ad,True,False,0,0,1,False,,0.4000138648665128,0.00016376223706965343,2.6840990580061574,0.054400387507330894,0.2825586528121557,-0.005917630317893052,0.40632284881059555,0.008585127877582643,13.868513725006453,-0.05759896398742015
R1_LOW_DUAL_A0.0030_W2_A03F1AD_RESOURCE_ECONOMY_AD04LOW_S8104,dual,resource_economy,0.003,a03f1ad,True,False,0,0,1,False,,0.3999124341558873,6.233152644413709e-05,2.671236286489894,0.04153761599106742,0.2899885821717347,0.0015122990416859272,0.39680409860729016,-0.0009336223257227494,13.836439922414495,-0.08967276657937795
R1_LOW_DUAL_A0.0030_W2_ALPHA03_AR1_FUTILITY1_RESOURCE_ECONOMY_FUTILITY1,dual,resource_economy,0.003,alpha03_ar1_futility1,True,False,0,0,1,False,,0.39957545923850785,-0.000274643390935303,2.650638970359617,0.02094029986079038,0.2956986463861565,0.0072223632561077555,0.4052335336154362,0.007495812682423275,13.857135771419415,-0.06897691757445834
R1_LOW_DUAL_A0.0030_W2_ALPHA03_AR1_FUTILITY1_RESOURCE_ECONOMY_FUTILITY1_S8101,dual,resource_economy,0.003,alpha03_ar1_futility1,True,False,0,0,1,False,,0.3999485400407312,9.843741128806593e-05,2.6532720612192513,0.023573390720424747,0.263538236276126,-0.024938046853922757,0.40549932032003144,0.007761599387018536,13.791982536401678,-0.13413015259219563
R1_LOW_DUAL_A0.0030_W2_ALPHA03_AR1_FUTILITY1_RESOURCE_ECONOMY_FUTILITY1_S8102,dual,resource_economy,0.003,alpha03_ar1_futility1,True,False,0,0,1,False,,0.40010882507158735,0.00025872244214419915,2.6098674380261415,-0.019831232472685034,0.2656400097951828,-0.02283627333486593,0.40270696260073174,0.004969241667718838,13.905414303974899,-0.020698385018974363
R1_LOW_DUAL_A0.0030_W2_ALPHA03_AR1_FUTILITY1_RESOURCE_ECONOMY_FUTILITY1_S8103,dual,resource_economy,0.003,alpha03_ar1_futility1,True,False,0,0,1,False,,0.4000138648665128,0.00016376223706965343,2.6840990580061574,0.054400387507330894,0.2825586528121557,-0.005917630317893052,0.40632284881059555,0.008585127877582643,13.868513725006453,-0.05759896398742015
R1_LOW_DUAL_A0.0030_W2_ALPHA03_AR1_FUTILITY1_RESOURCE_ECONOMY_FUTILITY1_S8104,dual,resource_economy,0.003,alpha03_ar1_futility1,True,False,0,0,1,False,,0.3999124341558873,6.233152644413709e-05,2.671236286489894,0.04153761599106742,0.2899885821717347,0.0015122990416859272,0.39680409860729016,-0.0009336223257227494,13.836439922414495,-0.08967276657937795
R1_LOW_DUAL_A0.0030_W2_ALPHA03_AR1_FUTILITY1_RESOURCE_ECONOMY_FUTILITY1_S8105,dual,resource_economy,0.003,alpha03_ar1_futility1,True,False,0,0,1,False,,0.39985010262944315,0.0,2.6302372456621033,0.0005385751632767111,0.2897933299349325,0.0013170468048837591,0.40996043930367626,0.012222718370663355,13.916115597575315,-0.009997091418558313
R1_LOW_DUAL_A0.0030_W2_ALPHA03_AR1_FUTILITY_RESOURCE_ECONOMY_FUTILITY_S8101,dual,resource_economy,0.003,alpha03_ar1_futility,True,False,0,0,2,False,,0.3999485400407312,9.843741128806593e-05,2.654637056368785,0.024938385869958335,0.2644001434293337,-0.024076139700715038,0.40710288190052923,0.009365160967516328,13.783543057690194,-0.1425696313036795
R1_LOW_DUAL_A0.0030_W2_ALPHA03_AR1_RESOURCE_ECONOMY_W2_VALID240,dual,resource_economy,0.003,alpha03_ar1,True,False,0,0,2,False,,0.39957545923850785,-0.000274643390935303,2.6519268469419215,0.022228176443094938,0.29630646548853307,0.007830182358484317,0.406699544662407,0.00896182372939408,13.847780034396335,-0.07833265459753846
R1_LOW_DUAL_A0.0030_W2_ALPHA03_AR1_RESOURCE_ECONOMY_W2_VALID240_S8101,dual,resource_economy,0.003,alpha03_ar1,True,False,0,0,2,False,,0.3999485400407312,9.843741128806593e-05,2.654637056368785,0.024938385869958335,0.2644001434293337,-0.024076139700715038,0.40710288190052923,0.009365160967516328,13.783543057690194,-0.1425696313036795
R1_LOW_DUAL_A0.0030_W2_ALPHA03_AR1_RESOURCE_ECONOMY_W2_VALID240_S8102,dual,resource_economy,0.003,alpha03_ar1,True,False,0,0,2,False,,0.40010882507158735,0.00025872244214419915,2.6107817342324333,-0.018916936266393236,0.26597535766418473,-0.02250092546586402,0.40433475340244635,0.006597032469433439,13.896548505701498,-0.029564183292375645
R1_LOW_DUAL_A0.0030_W4_ALPHA03_AR1_RESOURCE_ECONOMY_W4_VALID240,dual,resource_economy,0.003,alpha03_ar1,True,False,0,0,4,False,,0.39957545923850785,-0.000274643390935303,2.657791102541229,0.028092432042402304,0.29857990574574184,0.010103622615693086,0.41256323133441947,0.01482551040140656,13.819999359745546,-0.10611332924832695
R1_LOW_DUAL_A0.0032_W1_ALPHA03_AR1_RESOURCE_ECONOMY_A0032_A3_W1_S8101,dual,resource_economy,0.0032,alpha03_ar1,True,False,0,0,1,False,,0.3999485400407312,9.843741128806593e-05,2.6495114051245263,0.01981273462569977,0.26112370540462765,-0.0273525777254211,0.4009783571106126,0.003240636177599676,13.790270805065486,-0.13584188392838747
R1_LOW_EXPLOIT_ONLY_A0.0030_W2_NONE_RESOURCE_ECONOMY_AD04EXPLOIT,exploit_only,resource_economy,0.003,none,True,False,0,0,2,False,,0.39957545923850785,-0.000274643390935303,2.652332256759695,0.022633586260868643,0.29649292574293756,0.008016642612888814,0.4077087784146061,0.009971057481593215,13.844215632890032,-0.08189705610384124
R1_LOW_EXPLOIT_ONLY_A0.0030_W2_NONE_RESOURCE_ECONOMY_AD04EXPLOIT_S8101,exploit_only,resource_economy,0.003,none,True,False,0,0,2,False,,0.3999485400407312,9.843741128806593e-05,2.655436628697031,0.025737958198204236,0.26488844867659267,-0.02358783445345608,0.4080509566134255,0.010313235680412591,13.780182878060055,-0.14592981093381852
R1_LOW_EXPLOIT_ONLY_A0.0030_W2_NONE_RESOURCE_ECONOMY_AD04EXPLOIT_S8102,exploit_only,resource_economy,0.003,none,True,False,0,0,2,False,,0.40010882507158735,0.00025872244214419915,2.611346849069695,-0.018351821429131387,0.2661366599582941,-0.02233962317175464,0.40512508243576484,0.007387361502751932,13.89341440152577,-0.03269828746810255
R1_LOW_EXPLOIT_ONLY_A0.0030_W2_NONE_RESOURCE_ECONOMY_AD04EXPLOIT_S8103,exploit_only,resource_economy,0.003,none,True,False,0,0,2,False,,0.4000138648665128,0.00016376223706965343,2.685537168364091,0.055838497865264625,0.2831085246896969,-0.005367758440351866,0.4085486624145354,0.010810941481522507,13.857078657124092,-0.06903403186978174
R1_LOW_EXPLOIT_ONLY_A0.0030_W2_NONE_RESOURCE_ECONOMY_AD04EXPLOIT_S8104,exploit_only,resource_economy,0.003,none,True,False,0,0,2,False,,0.3999124341558873,6.233152644413709e-05,2.6722944959339885,0.04259582543516194,0.2901810750425497,0.001704791912500947,0.39918018474679184,0.001442463813778938,13.823166004039582,-0.10294668495429171
R1_LOW_EXPLOIT_ONLY_A0.0030_W2_NONE_RESOURCE_ECONOMY_AD04EXPLOIT_S8105,exploit_only,resource_economy,0.003,none,True,False,0,0,2,False,,0.39985010262944315,0.0,2.6332817469755545,0.0035830764767279533,0.2907728112179525,0.0022965280879037597,0.4118214227273646,0.0140837017943517,13.903199815227323,-0.02291287376655049
