scenario_id,method,plant,condition,domain,evaluation_status,physical_success,hard_violation,fallback_calls,stored_cycle_rows,representative_trace,controller_failure_detail,physical_certificate_detail,trace_storage_path
I6-A-017,dcsv_mpc,A_full_nonlinear,OOD,BRIDGE,EVALUATED,True,False,0,75,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-017,fixed_allocation_pi,A_full_nonlinear,OOD,BRIDGE,EVALUATED,True,False,0,76,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-018,dcsv_mpc,A_full_nonlinear,known,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,False,False,0,76,False,False,True,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-018,fixed_allocation_pi,A_full_nonlinear,known,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,False,False,0,75,False,False,True,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-019,dcsv_mpc,A_full_nonlinear,OOD,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,False,False,0,76,False,False,True,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-019,fixed_allocation_pi,A_full_nonlinear,OOD,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,False,False,0,76,False,False,True,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-020,dcsv_mpc,A_full_nonlinear,OOD,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,False,False,90,151,False,False,True,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-020,fixed_allocation_pi,A_full_nonlinear,OOD,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,False,False,0,150,False,False,True,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-021,dcsv_mpc,A_full_nonlinear,OOD,SUSTAINABLE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-021,fixed_allocation_pi,A_full_nonlinear,OOD,SUSTAINABLE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-022,dcsv_mpc,A_full_nonlinear,OOD,BRIDGE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-022,fixed_allocation_pi,A_full_nonlinear,OOD,BRIDGE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-023,dcsv_mpc,A_full_nonlinear,OOD,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,False,False,1,150,False,False,True,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-023,fixed_allocation_pi,A_full_nonlinear,OOD,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,False,False,0,151,False,False,True,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-024,dcsv_mpc,A_full_nonlinear,OOD,SUSTAINABLE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-024,fixed_allocation_pi,A_full_nonlinear,OOD,SUSTAINABLE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-025,dcsv_mpc,A_full_nonlinear,known,SUSTAINABLE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-025,fixed_allocation_pi,A_full_nonlinear,known,SUSTAINABLE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-026,dcsv_mpc,A_full_nonlinear,known,SUSTAINABLE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-026,fixed_allocation_pi,A_full_nonlinear,known,SUSTAINABLE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
