method,episodes,physical_success_rate,frequency_peak_mean_hz,frequency_peak_max_hz,hard_violations,controller_calls
dcsv_mpc,6,0.8333333333333334,0.37904483591503574,2.239354607056998,0,5404
fixed_allocation_pi,6,0.8333333333333334,0.3761717474993227,2.2074658233824365,0,5403
