scenario_id,J_mat,Tcrit_s,max_counterfactual_loss_gap,f1_split,validation_used_for_threshold_design
A_delay_scarce_01,0.02,36.0,987.3264425128926,legacy_development_seeds_0_9_only,False
A_delay_scarce_02,0.02,36.0,418.4894589425047,legacy_development_seeds_0_9_only,False
A_delay_scarce_03,0.02,40.0,732.0473749904028,legacy_development_seeds_0_9_only,False
A_delay_scarce_04,0.02,64.0,441.04218646196887,legacy_development_seeds_0_9_only,False
A_delay_scarce_05,0.02,36.0,985.026873918001,legacy_development_seeds_0_9_only,False
A_delay_scarce_06,0.02,24.0,1.567426967923347,legacy_development_seeds_0_9_only,False
A_delay_scarce_07,0.02,60.0,585.402704479111,legacy_development_seeds_0_9_only,False
A_delay_scarce_08,0.02,,0.0049093066756759,legacy_development_seeds_0_9_only,False
A_delay_scarce_09,0.02,,0.0,legacy_development_seeds_0_9_only,False
A_delay_critical_00,0.02,,0.0,legacy_development_seeds_0_9_only,False
A_delay_critical_01,0.02,,0.0,legacy_development_seeds_0_9_only,False
A_delay_critical_02,0.02,,0.0,legacy_development_seeds_0_9_only,False
A_delay_critical_03,0.02,28.0,38.90381989642067,legacy_development_seeds_0_9_only,False
A_delay_critical_04,0.02,,0.0001655390872262,legacy_development_seeds_0_9_only,False
A_delay_critical_05,0.02,20.0,0.0866900270760957,legacy_development_seeds_0_9_only,False
A_delay_critical_06,0.02,,0.0,legacy_development_seeds_0_9_only,False
A_delay_critical_07,0.02,40.0,28.144054708534696,legacy_development_seeds_0_9_only,False
A_delay_critical_08,0.02,48.0,0.7921320362949977,legacy_development_seeds_0_9_only,False
A_delay_critical_09,0.02,,4.165167210153071e-06,legacy_development_seeds_0_9_only,False
A_energy_adequate_00,0.02,,0.0,legacy_development_seeds_0_9_only,False
A_energy_adequate_01,0.02,36.0,0.8765339769108083,legacy_development_seeds_0_9_only,False
A_energy_adequate_02,0.02,,0.0057807705149064,legacy_development_seeds_0_9_only,False
A_energy_adequate_03,0.02,24.0,1.1550721929680945,legacy_development_seeds_0_9_only,False
A_energy_adequate_04,0.02,,0.0,legacy_development_seeds_0_9_only,False
A_energy_adequate_05,0.02,36.0,1.11903011075594,legacy_development_seeds_0_9_only,False
A_energy_adequate_06,0.02,20.0,0.9260675002923489,legacy_development_seeds_0_9_only,False
A_energy_adequate_07,0.02,40.0,0.7513214980447493,legacy_development_seeds_0_9_only,False
A_energy_adequate_08,0.02,28.0,1.2502878759563345,legacy_development_seeds_0_9_only,False
A_energy_adequate_09,0.02,20.0,1.2673873718944546,legacy_development_seeds_0_9_only,False
A_energy_scarce_00,0.02,28.0,0.6281444624011856,legacy_development_seeds_0_9_only,False
A_energy_scarce_01,0.02,,0.0057371056290123,legacy_development_seeds_0_9_only,False
A_energy_scarce_02,0.02,36.0,0.8697256925225858,legacy_development_seeds_0_9_only,False
A_energy_scarce_03,0.02,36.0,0.9021799201019776,legacy_development_seeds_0_9_only,False
A_energy_scarce_04,0.02,24.0,0.8974947965164972,legacy_development_seeds_0_9_only,False
A_energy_scarce_05,0.02,,0.0,legacy_development_seeds_0_9_only,False
A_energy_scarce_06,0.02,36.0,0.5500679746093198,legacy_development_seeds_0_9_only,False
A_energy_scarce_07,0.02,36.0,0.8766319300922429,legacy_development_seeds_0_9_only,False
A_energy_scarce_08,0.02,,0.0070808583696083,legacy_development_seeds_0_9_only,False
A_energy_scarce_09,0.02,,0.0,legacy_development_seeds_0_9_only,False
A_energy_critical_00,0.02,20.0,6.467120208972894,legacy_development_seeds_0_9_only,False
A_energy_critical_01,0.02,44.0,0.8377673636974432,legacy_development_seeds_0_9_only,False
A_energy_critical_02,0.02,,0.0064903151599512,legacy_development_seeds_0_9_only,False
A_energy_critical_03,0.02,36.0,2.046933523590013,legacy_development_seeds_0_9_only,False
A_energy_critical_04,0.02,,0.0095817937602437,legacy_development_seeds_0_9_only,False
A_energy_critical_05,0.02,20.0,3.8419318443429775,legacy_development_seeds_0_9_only,False
A_energy_critical_06,0.02,,0.0,legacy_development_seeds_0_9_only,False
A_energy_critical_07,0.02,28.0,2.059613750886668,legacy_development_seeds_0_9_only,False
A_energy_critical_08,0.02,20.0,3.834561363591069,legacy_development_seeds_0_9_only,False
A_energy_critical_09,0.02,36.0,3.702290098914264,legacy_development_seeds_0_9_only,False
A_availability_adequate_00,0.02,20.0,0.0591195099327359,legacy_development_seeds_0_9_only,False
A_availability_adequate_01,0.02,,0.0,legacy_development_seeds_0_9_only,False
A_availability_adequate_02,0.02,36.0,1.3140818256845854,legacy_development_seeds_0_9_only,False
A_availability_adequate_03,0.02,,0.0,legacy_development_seeds_0_9_only,False
A_availability_adequate_04,0.02,28.0,1.0466744990358956,legacy_development_seeds_0_9_only,False
A_availability_adequate_05,0.02,,0.0050723403846787,legacy_development_seeds_0_9_only,False
A_availability_adequate_06,0.02,,0.0,legacy_development_seeds_0_9_only,False
A_availability_adequate_07,0.02,,0.0052972714904492,legacy_development_seeds_0_9_only,False
A_availability_adequate_08,0.02,28.0,0.9761489125873868,legacy_development_seeds_0_9_only,False
A_availability_adequate_09,0.02,36.0,1.349761930930443,legacy_development_seeds_0_9_only,False
A_availability_scarce_00,0.02,36.0,0.9907641985492632,legacy_development_seeds_0_9_only,False
A_availability_scarce_01,0.02,,0.0,legacy_development_seeds_0_9_only,False
A_availability_scarce_02,0.02,28.0,0.8695602546950711,legacy_development_seeds_0_9_only,False
A_availability_scarce_03,0.02,,0.0076775829130907,legacy_development_seeds_0_9_only,False
A_availability_scarce_04,0.02,,0.0,legacy_development_seeds_0_9_only,False
A_availability_scarce_05,0.02,36.0,0.866280781385778,legacy_development_seeds_0_9_only,False
A_availability_scarce_06,0.02,20.0,0.8789006991844854,legacy_development_seeds_0_9_only,False
A_availability_scarce_07,0.02,,0.007284964518566,legacy_development_seeds_0_9_only,False
A_availability_scarce_08,0.02,,0.0,legacy_development_seeds_0_9_only,False
A_availability_scarce_09,0.02,,0.0071450627908118,legacy_development_seeds_0_9_only,False
A_availability_critical_00,0.02,20.0,1.9679855492894025,legacy_development_seeds_0_9_only,False
A_availability_critical_01,0.02,28.0,5.184286086345061,legacy_development_seeds_0_9_only,False
A_availability_critical_02,0.02,36.0,1.7707528933074208,legacy_development_seeds_0_9_only,False
A_availability_critical_03,0.02,,0.0065413130501143,legacy_development_seeds_0_9_only,False
A_availability_critical_04,0.02,28.0,0.8731147810773727,legacy_development_seeds_0_9_only,False
A_availability_critical_05,0.02,36.0,0.8429945323251347,legacy_development_seeds_0_9_only,False
A_availability_critical_06,0.02,,0.0,legacy_development_seeds_0_9_only,False
A_availability_critical_07,0.02,,0.0,legacy_development_seeds_0_9_only,False
A_availability_critical_08,0.02,20.0,3.394368098539662,legacy_development_seeds_0_9_only,False
A_availability_critical_09,0.02,36.0,4.776886957973964,legacy_development_seeds_0_9_only,False
A2_headroom_critical_00,0.02,32.0,1.8877343921389056,legacy_development_seeds_0_9_only,False
A2_headroom_adequate_01,0.02,36.0,1.172377840416461,legacy_development_seeds_0_9_only,False
A2_headroom_scarce_02,0.02,32.0,1.023652643481164,legacy_development_seeds_0_9_only,False
A2_headroom_scarce_03,0.02,,0.0,legacy_development_seeds_0_9_only,False
A2_headroom_adequate_04,0.02,20.0,1.0980353725763257,legacy_development_seeds_0_9_only,False
A2_headroom_adequate_05,0.02,,0.0105771529566782,legacy_development_seeds_0_9_only,False
A2_headroom_adequate_06,0.02,24.0,1.4171507240857448,legacy_development_seeds_0_9_only,False
A2_headroom_critical_07,0.02,24.0,1.378809712165679,legacy_development_seeds_0_9_only,False
A2_headroom_scarce_08,0.02,,0.0,legacy_development_seeds_0_9_only,False
A2_headroom_critical_09,0.02,62.0,0.5069270060711517,legacy_development_seeds_0_9_only,False
A2_ramp_critical_00,0.02,34.0,0.8983663106289408,legacy_development_seeds_0_9_only,False
A2_ramp_critical_01,0.02,20.0,1.2293831511921147,legacy_development_seeds_0_9_only,False
A2_ramp_critical_02,0.02,32.0,2.297213047315399,legacy_development_seeds_0_9_only,False
A2_ramp_scarce_03,0.02,,0.0,legacy_development_seeds_0_9_only,False
A2_ramp_critical_04,0.02,,0.0036116687930456,legacy_development_seeds_0_9_only,False
A2_ramp_adequate_05,0.02,32.0,1.4895944578051263,legacy_development_seeds_0_9_only,False
A2_ramp_scarce_06,0.02,24.0,1.6019282293436508,legacy_development_seeds_0_9_only,False
A2_ramp_critical_07,0.02,,0.0130804027889711,legacy_development_seeds_0_9_only,False
A2_ramp_adequate_08,0.02,,0.0,legacy_development_seeds_0_9_only,False
A2_ramp_scarce_09,0.02,,0.0130714659092201,legacy_development_seeds_0_9_only,False
A2_delay_critical_00,0.02,36.0,33.56247307595545,legacy_development_seeds_0_9_only,False
A2_delay_adequate_01,0.02,,0.0,legacy_development_seeds_0_9_only,False
A2_delay_scarce_02,0.02,,0.0133786999933363,legacy_development_seeds_0_9_only,False
A2_delay_adequate_03,0.02,20.0,0.9599031742882193,legacy_development_seeds_0_9_only,False
A2_delay_scarce_04,0.02,,0.0,legacy_development_seeds_0_9_only,False
A2_delay_scarce_05,0.02,38.0,716.2196446573627,legacy_development_seeds_0_9_only,False
A2_delay_adequate_06,0.02,,0.0,legacy_development_seeds_0_9_only,False
A2_delay_critical_07,0.02,20.0,2.4117361869901464,legacy_development_seeds_0_9_only,False
A2_delay_critical_08,0.02,26.0,4.755062170177127,legacy_development_seeds_0_9_only,False
A2_delay_scarce_09,0.02,20.0,1.5729279645207788,legacy_development_seeds_0_9_only,False
A2_energy_critical_00,0.02,20.0,5.537179696424895,legacy_development_seeds_0_9_only,False
A2_energy_critical_01,0.02,56.0,1.2559499777131735,legacy_development_seeds_0_9_only,False
A2_energy_adequate_02,0.02,24.0,1.000654764398464,legacy_development_seeds_0_9_only,False
A2_energy_scarce_03,0.02,,0.0135750457067438,legacy_development_seeds_0_9_only,False
A2_energy_scarce_04,0.02,22.0,1.4953917818963625,legacy_development_seeds_0_9_only,False
A2_energy_adequate_05,0.02,20.0,1.5322372204309491,legacy_development_seeds_0_9_only,False
A2_energy_adequate_06,0.02,,0.012487282042952,legacy_development_seeds_0_9_only,False
A2_energy_critical_07,0.02,54.0,1.3806852125327884,legacy_development_seeds_0_9_only,False
A2_energy_adequate_08,0.02,,0.0,legacy_development_seeds_0_9_only,False
A2_energy_critical_09,0.02,20.0,4.653999367660029,legacy_development_seeds_0_9_only,False
A2_availability_scarce_00,0.02,,0.0,legacy_development_seeds_0_9_only,False
A2_availability_scarce_01,0.02,44.0,0.5543505883107906,legacy_development_seeds_0_9_only,False
A2_availability_scarce_02,0.02,32.0,1.037438312038094,legacy_development_seeds_0_9_only,False
A2_availability_adequate_03,0.02,,0.0119757906420691,legacy_development_seeds_0_9_only,False
A2_availability_scarce_04,0.02,,0.0,legacy_development_seeds_0_9_only,False
A2_availability_adequate_05,0.02,,0.0104354769302847,legacy_development_seeds_0_9_only,False
A2_availability_scarce_06,0.02,,0.0101563018172594,legacy_development_seeds_0_9_only,False
A2_availability_adequate_07,0.02,,0.0115548399244099,legacy_development_seeds_0_9_only,False
A2_availability_critical_08,0.02,,-5.192977982907969,legacy_development_seeds_0_9_only,False
A2_availability_adequate_09,0.02,,0.0,legacy_development_seeds_0_9_only,False
