split,mechanism,sg_tension,baseline_method,paired_episodes,both_success,only_proposed_fails,only_baseline_fails,both_fail,not_evaluated,baseline_success_rate,oracle_success_rate,success_rate_difference,frequency_iae_hz_s_aggregate_mean_improvement,frequency_iae_hz_s_ci_low,frequency_iae_hz_s_ci_high,ace_iae_pu_s_aggregate_mean_improvement,ace_iae_pu_s_ci_low,ace_iae_pu_s_ci_high,tie_iae_pu_s_aggregate_mean_improvement,tie_iae_pu_s_ci_low,tie_iae_pu_s_ci_high,failure_penalty_2x_improvement,failure_penalty_5x_improvement,failure_penalty_10x_improvement,continuous_metrics_passing,no_success_rate_degradation,cell_materiality_pass
legacy_development,availability,adequate,fixed_allocation_pi,10,10,0,0,0,0,1.0,1.0,0.0,0.35228560403804265,0.2756473853707229,0.40431814226611906,0.28889316732773374,0.2060210312103974,0.3371664175003801,0.3423301445501964,0.2803613653913857,0.37791497849195566,0.1730748236520765,0.1730748236520765,0.1730748236520765,3,True,True
legacy_development,availability,critical,fixed_allocation_pi,10,8,0,2,0,0,0.8,1.0,0.19999999999999996,0.38958471017787544,0.3316194855786223,0.45178966418383953,0.2809672627548554,0.18260293768378336,0.39281531209248177,0.28822589543729815,0.16810242326780767,0.4203412083009257,0.44730533372946735,0.725502226639227,0.8507280596719375,3,True,True
legacy_development,availability,scarce,fixed_allocation_pi,10,10,0,0,0,0,1.0,1.0,0.0,0.36457213077411477,0.29077525311138075,0.42834457762630734,0.2886145961693657,0.2128075457302971,0.36063219481358827,0.28521790425649773,0.2033787530347695,0.37263643663303414,0.2280674484240568,0.2280674484240568,0.2280674484240568,3,True,True
legacy_development,delay,adequate,fixed_allocation_pi,10,6,1,1,2,0,0.7,0.7,0.0,0.13444405039676655,-0.24868886043581684,0.23659572245716776,0.15954727602780105,0.03965241714797019,0.20175373934457153,0.3634317154926371,0.2426645897820645,0.3855647742765421,-0.15515249143596144,-0.06263488614277923,-0.031414274282103305,2,True,True
legacy_development,delay,critical,fixed_allocation_pi,10,6,1,0,3,0,0.7,0.6,-0.09999999999999998,0.3721899375659584,-0.09018670835912079,0.4052438785031548,0.49972592787317516,0.03504443454556405,0.5340110125433147,0.7564287601035722,0.24702337889042014,0.7918580000881628,-0.22854054408068003,-0.28629913384742656,-0.3088186814318885,2,False,False
legacy_development,delay,scarce,fixed_allocation_pi,10,4,0,3,3,0,0.4,0.7,0.29999999999999993,0.3512760433168375,-0.003012404751682629,0.46280353487118,0.3171613314455721,0.06999317902446156,0.4312792936940666,0.39556472448392166,0.29241162338489346,0.4645657330650984,0.3478808262682933,0.43783835672266025,0.46869383155137834,2,True,True
legacy_development,energy,adequate,fixed_allocation_pi,10,10,0,0,0,0,1.0,1.0,0.0,0.43669747156591565,0.3555894921552576,0.5099517530614305,0.35092349663865485,0.292448735586981,0.41034030639269864,0.37978380799747624,0.3424598132681942,0.42011427661942935,0.24702262406416642,0.24702262406416642,0.24702262406416642,3,True,True
legacy_development,energy,critical,fixed_allocation_pi,10,7,3,0,0,0,1.0,0.7,-0.30000000000000004,0.40216519004314766,0.28905573020866765,0.48708069914327656,0.37108622677029646,0.2707358664561903,0.4510696471530983,0.42174684541696894,0.3427684448503313,0.4837982244148651,-0.8987692920480854,-3.266674116269166,-7.213182156637636,3,False,False
legacy_development,energy,scarce,fixed_allocation_pi,10,10,0,0,0,0,1.0,1.0,0.0,0.35293540111239063,0.2840129199077192,0.4208844002591335,0.28188057663442934,0.2296065914440593,0.34897727175941673,0.3155476588296344,0.26354307712324815,0.3812973022684404,0.14802984738766067,0.14802984738766067,0.14802984738766067,3,True,True
legacy_development,headroom,adequate,fixed_allocation_pi,10,10,0,0,0,0,1.0,1.0,0.0,0.41402077613440535,0.3388936932358624,0.46540474403066756,0.3276588742467935,0.2721937664264767,0.36376334232908164,0.36948118808446617,0.31330216899338503,0.39308426256909795,0.2535098883244641,0.2535098883244641,0.2535098883244641,3,True,True
legacy_development,headroom,critical,fixed_allocation_pi,10,10,0,0,0,0,1.0,1.0,0.0,0.3390008996296413,0.2856046217601925,0.4289913805403827,0.2321334271109976,0.15962503267737557,0.3679318574547483,0.20687961727133508,0.11213820694446162,0.377130664427377,0.3254846587097806,0.3254846587097806,0.3254846587097806,3,True,True
legacy_development,headroom,scarce,fixed_allocation_pi,10,10,0,0,0,0,1.0,1.0,0.0,0.3761833577164233,0.3253336319699968,0.4239168215474828,0.297462683613798,0.25003156372162494,0.34914792582419313,0.32484076622790703,0.2702546768003261,0.3804666560238704,0.20282282150040631,0.20282282150040631,0.20282282150040631,3,True,True
legacy_development,ramp,adequate,fixed_allocation_pi,10,10,0,0,0,0,1.0,1.0,0.0,0.41546930228715184,0.37101817169069456,0.45575930295393424,0.34937511730672277,0.32794456489178864,0.3701706816737044,0.40011944276135614,0.3870653456659179,0.4159699673380128,0.24505811430291868,0.24505811430291868,0.24505811430291868,3,True,True
legacy_development,ramp,critical,fixed_allocation_pi,10,10,0,0,0,0,1.0,1.0,0.0,0.47974964136115583,0.43657211091457093,0.5024124327921021,0.4613896551876294,0.38316053633850655,0.5104519924698573,0.5087951692033352,0.4325419547803021,0.5499491450539045,0.36942222151183723,0.36942222151183723,0.36942222151183723,3,True,True
legacy_development,ramp,scarce,fixed_allocation_pi,10,10,0,0,0,0,1.0,1.0,0.0,0.33753349806412214,0.28168239027246,0.40578283174527174,0.28163428987095573,0.24083238419240174,0.33253786591303125,0.31663704451111896,0.2828828633133863,0.3545347132944783,0.1496607645942789,0.1496607645942789,0.1496607645942789,3,True,True
legacy_validation,availability,adequate,fixed_allocation_pi,10,10,0,0,0,0,1.0,1.0,0.0,0.34393214702114117,0.2269495597285295,0.44995398989085134,0.28661282900685814,0.1965481908491849,0.3638334766572391,0.35443459530318955,0.30160347710818475,0.39511380595884127,0.132761844864835,0.132761844864835,0.132761844864835,3,True,True
legacy_validation,availability,critical,fixed_allocation_pi,10,9,0,1,0,0,0.9,1.0,0.09999999999999998,0.30926803751380705,0.27460857676774986,0.368852104202721,0.15849572959362357,0.12380360320417727,0.2585227090329009,0.14729439661273058,0.10924272703850146,0.26873779458838454,0.3902216911742957,0.6452380432492153,0.7909499582262188,3,True,True
legacy_validation,availability,scarce,fixed_allocation_pi,10,10,0,0,0,0,1.0,1.0,0.0,0.3504560828325973,0.2820834865586731,0.4327175713202444,0.31914791320541525,0.2764990983536855,0.3762528079326737,0.3517643517634613,0.3193777191411238,0.3999734677997389,0.16145133713418702,0.16145133713418702,0.16145133713418702,3,True,True
legacy_validation,delay,adequate,fixed_allocation_pi,10,3,1,1,5,0,0.4,0.4,0.0,-0.20478696562446097,-0.20478696562446097,-0.20478696562446097,0.0693740852323278,0.0693740852323278,0.0693740852323278,0.22956392643440637,0.22956392643440637,0.22956392643440637,0.027861803909496663,0.011685897600820061,0.005939080651168549,1,True,False
legacy_validation,delay,critical,fixed_allocation_pi,10,3,1,1,5,0,0.4,0.4,0.0,-0.2783205503018549,-0.6832174703937373,-0.04990759266881706,0.0933934693237769,0.06623024940734212,0.1273606152154222,0.30399358155778844,0.27591050894650937,0.32882233246260895,-0.07025931453956513,-0.02831485111746357,-0.014192966449197764,1,True,False
legacy_validation,delay,scarce,fixed_allocation_pi,10,7,1,0,2,0,0.8,0.7,-0.10000000000000009,0.14278694905903877,-0.4568669229991662,0.24254035594790857,0.25039606051554497,0.05249709437628584,0.2979719350758796,0.38412599120380275,0.2396530437589347,0.4154301555420469,-0.27420730440767427,-0.3924363741759833,-0.44256216241528046,2,False,False
legacy_validation,energy,adequate,fixed_allocation_pi,10,10,0,0,0,0,1.0,1.0,0.0,0.39141083544997857,0.3051785150343319,0.4575797853358305,0.3099702563776351,0.24701765131189923,0.366133354122221,0.3591538652814896,0.29690447043807505,0.4050846173967802,0.216887870150405,0.216887870150405,0.216887870150405,3,True,True
legacy_validation,energy,critical,fixed_allocation_pi,10,10,0,0,0,0,1.0,1.0,0.0,0.4337068327074446,0.32443588731983974,0.499969199238842,0.39821554166713724,0.30083061866846444,0.4622690050722822,0.44389369485064367,0.35828499599365765,0.49909465422709787,0.2618697453903892,0.2618697453903892,0.2618697453903892,3,True,True
legacy_validation,energy,scarce,fixed_allocation_pi,10,10,0,0,0,0,1.0,1.0,0.0,0.3815784968146366,0.34156227278088436,0.4220187519866983,0.29129152692898586,0.2453829889972669,0.34543638621936357,0.3045027905160941,0.25580403173535216,0.3619014748512308,0.21289509812553942,0.21289509812553942,0.21289509812553942,3,True,True
legacy_validation,headroom,adequate,fixed_allocation_pi,10,10,0,0,0,0,1.0,1.0,0.0,0.4115320682939456,0.3345416127548747,0.49001235635997226,0.33802142403198543,0.25823475354089953,0.4098409275581746,0.380893449608363,0.30994067089986477,0.4334607397604352,0.19870218676750662,0.19870218676750662,0.19870218676750662,3,True,True
legacy_validation,headroom,critical,fixed_allocation_pi,10,10,0,0,0,0,1.0,1.0,0.0,0.397991659003076,0.32880260905424696,0.4823079428937589,0.3029299161573107,0.19837097367334344,0.43567697229921043,0.3026887849804406,0.16773679987237322,0.4658341968518258,0.3415243072736981,0.3415243072736981,0.3415243072736981,3,True,True
legacy_validation,headroom,scarce,fixed_allocation_pi,10,10,0,0,0,0,1.0,1.0,0.0,0.35940438408836317,0.28840575913909305,0.43446993783534066,0.2944223277551393,0.2272625355926086,0.3612226442867362,0.3352049203913694,0.2924283771195447,0.39098452590235816,0.15799853085465632,0.15799853085465632,0.15799853085465632,3,True,True
legacy_validation,ramp,adequate,fixed_allocation_pi,10,10,0,0,0,0,1.0,1.0,0.0,0.3531565650973457,0.2383457866030173,0.4434074450623884,0.3068799877714967,0.22366971315902234,0.36597188701615346,0.38162897463897527,0.29135502576667427,0.4273988570264234,0.19193328370627405,0.19193328370627405,0.19193328370627405,3,True,True
legacy_validation,ramp,critical,fixed_allocation_pi,10,10,0,0,0,0,1.0,1.0,0.0,0.4783390288214522,0.45162461707905843,0.49507075602879147,0.4887716305811667,0.42912283349229824,0.5197349407109336,0.5399482390391306,0.4841723742992044,0.5697829697387459,0.3939704103771017,0.3939704103771017,0.3939704103771017,3,True,True
legacy_validation,ramp,scarce,fixed_allocation_pi,10,10,0,0,0,0,1.0,1.0,0.0,0.3450774178922398,0.22859323170144952,0.4365085978719564,0.2869870383393126,0.2008734006842418,0.3638172632186331,0.3442655516604447,0.2732166896185131,0.4083011128775669,0.1830323110939066,0.1830323110939066,0.1830323110939066,3,True,True
