check,passed,objective,primal_residual,solve_time_s,iterations,first_action_norm,transcription
independent_slsqp_initial_guess_-1,True,9.440046482556017,9.681144774731365e-12,0.3101472999987891,20,0.06949371150919875,nonlinear_multiple_shooting
independent_slsqp_initial_guess_0,True,9.44004647354212,5.147882120581926e-12,0.3270542999962345,21,0.06948198150418775,nonlinear_multiple_shooting
independent_slsqp_initial_guess_1,True,9.441323318184411,1.4015455462867976e-11,0.2985006000089925,19,0.07013578044206482,nonlinear_multiple_shooting
multi_initial_objective_spread,True,0.0001352583004617298,0.0,0.0,0,,qualification
