mechanism,sg_tension,episodes,baseline_success_rate,oracle_success_rate,success_rate_difference,frequency_iae_improvement,frequency_iae_ci_low,frequency_iae_ci_high,ace_iae_improvement,ace_iae_ci_low,ace_iae_ci_high,tie_iae_improvement,tie_iae_ci_low,tie_iae_ci_high,continuous_metrics_passing,cell_materiality_pass
headroom,adequate,5,1.0,1.0,0.0,0.007364168594507059,-0.005921890500742322,0.02361267405554812,0.008193770994959437,-0.00014645125890532778,0.016746548641070183,0.022262877205727616,0.008036532170964672,0.03818187620876466,0,False
headroom,scarce,5,1.0,1.0,0.0,0.004988917047490826,-0.024303138597572715,0.034504685740290864,0.014117888849753624,-0.014977774678674116,0.04448789546507049,0.022482531583819743,-0.00493318143237742,0.053089966227773226,0,False
ramp,adequate,5,1.0,1.0,0.0,-0.0019990913494356555,-0.011949274504998275,0.005271395159821668,0.0008210467304399227,-0.007365042890606022,0.0081972965826278,0.004089919444147716,-0.0027573305648402936,0.01083508994370408,0,False
ramp,scarce,5,1.0,1.0,0.0,-0.01180177565661844,-0.02502778469410615,0.0011224010762480585,-0.002650282144257332,-0.013631377838086383,0.005621130371513683,-0.0016323809718630233,-0.012913739889437875,0.0075296922279228795,0,False
