scenario_id,sg_level,attempted_pairs,both_success_pairs,method_only_failures,reference_only_failures,scenario_balanced_absolute_freq_iae_effect,ratio_of_aggregate_means_freq_improvement,bootstrap_relative_effect_ci_low,bootstrap_relative_effect_ci_high,success_first_eligible
coincident_communication_load,adequate,10,0,10,0,,,,,False
coincident_communication_load,critical,10,10,0,0,0.08932533161503466,0.28803464186096817,0.21643344521917526,0.348465757840592,True
coincident_communication_load,scarce,10,10,0,0,0.10668098491892324,0.3524439841516286,0.3263575501543202,0.37779531013877493,True
load_only_step,adequate,10,9,1,0,0.1259325648085862,0.6683357500496837,0.6587808193215242,0.7353882982934932,False
load_only_step,critical,10,5,5,0,0.13140875971786517,0.7191151436935175,0.7005082265704246,0.7754877494118024,False
load_only_step,scarce,10,7,3,0,0.13786001837860798,0.7059018560131625,0.6922737229402944,0.7502156672293893,False
