candidate_id,certificate_validity_s,voi_margin,scenario_count,worthwhile_scenarios,best_aggregate_improvement,ace_aggregate_improvement,tie_aggregate_improvement,candidate_reduction_mean,false_optimism_rate,low_probe_rate,low_max_relative_metric_change,frequency_delta_max_hz,hard_violations,fallback_calls,probe_command_l1_pu_s,m1_pass
R1-C00,20.0,0.001,16,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
R1-C01,40.0,0.003,16,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
