estimator,joint_truth_coverage,no_change_false_alarm_rate,mechanisms_passing_timing,mean_final_normalized_width,plant_b_mechanisms_passing_timing,plant_a_b_direction_consistent,passive_gate_pass
glr_set_reset,1.0,0.0,0,1.0,0,True,False
imm_interval,1.0,0.0,0,1.0,0,True,False
set_membership,0.9613285714285715,0.0,0,1.0,0,True,False
