horizon_steps,scenario_count,high_scenario_count,hard_violations,fallback_calls,p99_solve_fraction_max,oracle_ace_iae_pu_s_aggregate_improvement,oracle_ace_iae_pu_s_improvement_period_2s,oracle_ace_iae_pu_s_improvement_period_4s,oracle_tie_iae_pu_s_aggregate_improvement,oracle_tie_iae_pu_s_improvement_period_2s,oracle_tie_iae_pu_s_improvement_period_4s,oracle_materiality_pass
3,16,8,0,0,0.0397871750010381,0.0029465320450065744,0.004496122545213647,0.0019152720381704698,0.017685168418529774,0.028187164449277165,0.009268983379801773,False
4,16,8,0,0,0.04770537499825875,0.000503475646554845,0.00021367650658170233,0.0006953247589025251,0.01647378945709265,0.026446949221990427,0.008340702351685072,False
6,16,8,0,0,0.06036730000050735,-5.17063680765e-05,-0.0011640888341202208,0.0006893164965944043,0.015702608931278696,0.022164321345846998,0.010365020714875077,False
