split,mechanism,sg_tension,baseline_method,paired_episodes,both_success,only_proposed_fails,only_baseline_fails,both_fail,not_evaluated,baseline_success_rate,oracle_success_rate,success_rate_difference,frequency_iae_hz_s_aggregate_mean_improvement,frequency_iae_hz_s_ci_low,frequency_iae_hz_s_ci_high,ace_iae_pu_s_aggregate_mean_improvement,ace_iae_pu_s_ci_low,ace_iae_pu_s_ci_high,tie_iae_pu_s_aggregate_mean_improvement,tie_iae_pu_s_ci_low,tie_iae_pu_s_ci_high,failure_penalty_2x_improvement,failure_penalty_5x_improvement,failure_penalty_10x_improvement,continuous_metrics_passing,no_success_rate_degradation,cell_materiality_pass,phase_g_status
legacy_validation,delay,adequate,fixed_allocation_pi,10,3,1,1,5,0,0.4,0.4,0.0,-0.2047869656244609,-0.2047869656244609,-0.2047869656244609,0.0693740852323278,0.0693740852323278,0.0693740852323278,0.2295639264344063,0.2295639264344063,0.2295639264344063,0.0278618039094966,0.01168589760082,0.0059390806511685,1,True,False,IMPLEMENTATION_UNCERTAINTY_MATERIALITY_NOT_ESTABLISHED
legacy_validation,delay,critical,fixed_allocation_pi,10,3,1,1,5,0,0.4,0.4,0.0,-0.2783205503018549,-0.6832174703937373,-0.049907592668817,0.0933934693237769,0.0662302494073421,0.1273606152154222,0.3039935815577884,0.2759105089465093,0.3288223324626089,-0.0702593145395651,-0.0283148511174635,-0.0141929664491977,1,True,False,IMPLEMENTATION_UNCERTAINTY_MATERIALITY_NOT_ESTABLISHED
legacy_validation,delay,scarce,fixed_allocation_pi,10,7,1,0,2,0,0.8,0.7,-0.1,0.1427869490590387,-0.4568669229991662,0.2425403559479085,0.2503960605155449,0.0524970943762858,0.2979719350758796,0.3841259912038027,0.2396530437589347,0.4154301555420469,-0.2742073044076742,-0.3924363741759833,-0.4425621624152804,2,False,False,IMPLEMENTATION_UNCERTAINTY_MATERIALITY_NOT_ESTABLISHED
