call,bridge_remaining_s,domain
0,22.500000000000007,BRIDGE
1,20.500000000000007,BRIDGE
2,18.500000000000007,BRIDGE
3,16.500000000000007,BRIDGE
4,14.500000000000007,BRIDGE
