dependency,repository_present,repository_sha256,phase_g_package_path,phase_g_package_present,full_g2_replay_from_phase_g_zip_only
scripts/phase_e/run_e3_materiality.py,True,c3a07ef0c7f38ac183311bb32c71c102c112fe2cd9122207ba16d4372be0fee8,06_SOURCE/scripts/phase_e/run_e3_materiality.py,False,False
scripts/phase_f/run_f3_model_sets.py,True,7ba9ec53c248e23ca53874fc894c9abc3a6ed69a5e0e54a61fed53c3023a6c64,06_SOURCE/scripts/phase_f/run_f3_model_sets.py,False,False
