metric,pairs,improvement,ci_lower,ci_upper,passes_8pct_and_positive_ci
frequency_iae_hz_s,16,0.04699535065157501,0.01700412946757713,0.07590703040729414,False
ace_iae_pu_s,16,-0.26284656158460185,-0.565198051845857,0.007344850876304577,False
tie_iae_pu_s,16,-0.271108106007826,-0.5556196229005455,-0.005418331033740191,False
