set,split,plant,period_s,horizon_steps,horizon_s,samples,successes,empirical_coverage,confidence,finite_sample_lower_bound,empirical_target,lower_bound_target,local_only,passed
GLOBAL_PREDICTION,validation,A,4.0,4,16.0,222,222,1.0,0.95,0.986596350239866,0.95,0.95,False,True
LOCAL_TERMINAL_MODEL,validation,A,4.0,4,16.0,198,197,0.9949494949494948,0.95,0.9762664128085132,0.95,0.95,True,True
LOCAL_PERSISTENT_LOAD,validation,A,4.0,4,16.0,198,198,1.0,0.95,0.9849839218112392,0.95,0.95,True,True
GLOBAL_PREDICTION,validation,A,4.0,6,24.0,210,210,1.0,0.95,0.9858358768052234,0.95,0.95,False,True
LOCAL_TERMINAL_MODEL,validation,A,4.0,6,24.0,174,174,1.0,0.95,0.9829305109306458,0.95,0.95,True,True
LOCAL_PERSISTENT_LOAD,validation,A,4.0,6,24.0,174,174,1.0,0.95,0.9829305109306458,0.95,0.95,True,True
GLOBAL_PREDICTION,validation,B,2.0,1,2.0,320,319,0.996875,0.95,0.985261862190579,0.95,0.95,False,True
LOCAL_TERMINAL_MODEL,validation,B,2.0,1,2.0,308,306,0.9935064935064936,0.95,0.9797011941192112,0.95,0.95,True,True
LOCAL_PERSISTENT_LOAD,validation,B,2.0,1,2.0,308,308,1.0,0.95,0.9903207449912949,0.95,0.95,True,True
GLOBAL_PREDICTION,validation,B,2.0,2,4.0,316,314,0.9936708860759492,0.95,0.9802115931534632,0.95,0.95,False,True
LOCAL_TERMINAL_MODEL,validation,B,2.0,2,4.0,304,302,0.993421052631579,0.95,0.9794359923980378,0.95,0.95,True,True
LOCAL_PERSISTENT_LOAD,validation,B,2.0,2,4.0,304,304,1.0,0.95,0.9901940128490738,0.95,0.95,True,True
GLOBAL_PREDICTION,validation,B,2.0,4,8.0,308,305,0.9902597402597404,0.95,0.9750194684977116,0.95,0.95,False,True
LOCAL_TERMINAL_MODEL,validation,B,2.0,4,8.0,292,292,1.0,0.95,0.9897930905897512,0.95,0.95,True,True
LOCAL_PERSISTENT_LOAD,validation,B,2.0,4,8.0,292,292,1.0,0.95,0.9897930905897512,0.95,0.95,True,True
GLOBAL_PREDICTION,validation,B,2.0,6,12.0,300,300,1.0,0.95,0.9900639180555424,0.95,0.95,False,True
LOCAL_TERMINAL_MODEL,validation,B,2.0,6,12.0,276,276,1.0,0.95,0.9892045907834554,0.95,0.95,True,True
LOCAL_PERSISTENT_LOAD,validation,B,2.0,6,12.0,276,276,1.0,0.95,0.9892045907834554,0.95,0.95,True,True
