load0_pu,load1_pu,soc,deficit0_pu,deficit1_pu,handoff_time_s,required_energy_mwh,available_energy_mwh,power_margin_pu,ramp_margin_pu_per_s,energy_margin_mwh,certified,claim_level
0.145,0.135,0.5,0.024999999999999994,0.015000000000000013,12.499999999999996,0.09064327485380118,40.0,0.020000000000000004,0.023,39.909356725146196,True,FINITE_HORIZON_BRIDGE_TO_SLOW_RESERVE
0.165,0.145,0.5,0.04500000000000001,0.024999999999999994,22.500000000000007,0.26096491228070184,40.0,-1.3877787807814457e-17,0.023,39.7390350877193,True,FINITE_HORIZON_BRIDGE_TO_SLOW_RESERVE
0.17,0.155,0.35,0.05000000000000002,0.035,25.000000000000007,0.3479532163742691,24.999999999999996,-0.005000000000000018,0.023,24.652046783625728,False,NO_BRIDGE_CERTIFICATE
0.2,0.18,0.5,0.08000000000000002,0.06,40.00000000000001,0.8801169590643276,40.0,-0.03500000000000002,0.023,39.119883040935676,False,NO_BRIDGE_CERTIFICATE
