split,seed,plant,scenario,sg,method,failure_class
final_known,1024,A,energy_low,scarce,O3_clairvoyant_ceiling,not_evaluated
final_known,1024,B,energy_low,scarce,O3_clairvoyant_ceiling,not_evaluated
final_known,1025,A,service_disabled,critical,O3_clairvoyant_ceiling,not_evaluated
final_known,1025,B,service_disabled,critical,O3_clairvoyant_ceiling,not_evaluated
final_known,1026,A,nominal,adequate,O3_clairvoyant_ceiling,not_evaluated
final_known,1026,B,nominal,adequate,fixed_allocation,frequency_or_ace_failure
final_known,1026,B,nominal,adequate,nominal_mpc,frequency_or_ace_failure
final_known,1026,B,nominal,adequate,rls_adaptive_mpc,frequency_or_ace_failure
final_known,1026,B,nominal,adequate,O2_current_capability_nmpc,frequency_or_ace_failure
final_known,1026,B,nominal,adequate,O3_clairvoyant_ceiling,not_evaluated
final_known,1027,A,headroom,scarce,O3_clairvoyant_ceiling,not_evaluated
final_known,1027,B,headroom,scarce,O3_clairvoyant_ceiling,not_evaluated
final_known,1028,A,ramp,critical,O3_clairvoyant_ceiling,not_evaluated
final_known,1028,B,ramp,critical,O2_current_capability_nmpc,frequency_or_ace_failure
final_known,1028,B,ramp,critical,O3_clairvoyant_ceiling,not_evaluated
final_known,1029,A,delay,adequate,O3_clairvoyant_ceiling,not_evaluated
final_known,1029,B,delay,adequate,O2_current_capability_nmpc,frequency_or_ace_failure
final_known,1029,B,delay,adequate,O3_clairvoyant_ceiling,not_evaluated
final_ood,2000,A,gradual_drift,critical,O3_clairvoyant_ceiling,not_evaluated
final_ood,2000,B,gradual_drift,critical,O2_current_capability_nmpc,frequency_or_ace_failure
final_ood,2000,B,gradual_drift,critical,O3_clairvoyant_ceiling,not_evaluated
final_ood,2001,A,unknown_three_stage,adequate,O3_clairvoyant_ceiling,not_evaluated
final_ood,2001,B,unknown_three_stage,adequate,fixed_allocation,frequency_or_ace_failure
final_ood,2001,B,unknown_three_stage,adequate,nominal_mpc,frequency_or_ace_failure
final_ood,2001,B,unknown_three_stage,adequate,rls_adaptive_mpc,frequency_or_ace_failure
final_ood,2001,B,unknown_three_stage,adequate,O2_current_capability_nmpc,frequency_or_ace_failure
final_ood,2001,B,unknown_three_stage,adequate,O3_clairvoyant_ceiling,not_evaluated
final_ood,2002,A,current_limit_q,scarce,O3_clairvoyant_ceiling,not_evaluated
final_ood,2002,B,current_limit_q,scarce,fixed_allocation,frequency_or_ace_failure
final_ood,2002,B,current_limit_q,scarce,nominal_mpc,frequency_or_ace_failure
final_ood,2002,B,current_limit_q,scarce,rls_adaptive_mpc,frequency_or_ace_failure
final_ood,2002,B,current_limit_q,scarce,O2_current_capability_nmpc,frequency_or_ace_failure
final_ood,2002,B,current_limit_q,scarce,O3_clairvoyant_ceiling,not_evaluated
final_ood,2003,A,multiple_switches,critical,O3_clairvoyant_ceiling,not_evaluated
final_ood,2003,B,multiple_switches,critical,fixed_allocation,frequency_or_ace_failure
final_ood,2003,B,multiple_switches,critical,nominal_mpc,frequency_or_ace_failure
final_ood,2003,B,multiple_switches,critical,rls_adaptive_mpc,frequency_or_ace_failure
final_ood,2003,B,multiple_switches,critical,O2_current_capability_nmpc,frequency_or_ace_failure
final_ood,2003,B,multiple_switches,critical,O3_clairvoyant_ceiling,not_evaluated
final_ood,2004,A,asymmetric,adequate,O3_clairvoyant_ceiling,not_evaluated
final_ood,2004,B,asymmetric,adequate,O3_clairvoyant_ceiling,not_evaluated
final_ood,2005,A,compound_headroom_delay,scarce,O3_clairvoyant_ceiling,not_evaluated
final_ood,2005,B,compound_headroom_delay,scarce,O3_clairvoyant_ceiling,not_evaluated
final_ood,2006,A,gradual_drift,critical,O3_clairvoyant_ceiling,not_evaluated
final_ood,2006,B,gradual_drift,critical,fixed_allocation,frequency_or_ace_failure
final_ood,2006,B,gradual_drift,critical,nominal_mpc,frequency_or_ace_failure
final_ood,2006,B,gradual_drift,critical,rls_adaptive_mpc,frequency_or_ace_failure
final_ood,2006,B,gradual_drift,critical,O2_current_capability_nmpc,frequency_or_ace_failure
