split,seed,plant,scenario,sg,method,failure_class,scientific_success,frequency_iae,frequency_rms_hz,ace_iae,tie_iae,max_abs_frequency_hz,max_abs_ace_pu,bess_energy_change_mwh,ibr_mileage_pu,sg_mileage_pu,solver_success,wall_mean_s,wall_p99_s,fallback_fraction,mean_ibr_responsibility
final_known,1011,B,delay,adequate,O2_current_capability_nmpc,frequency_or_ace_failure,False,687.8311809846266,3.0912382188865486,506.54021154025725,26.125098703737358,6.254420792189766,4.882252140793561,-0.45756611095015387,0.2701891579981213,0.5323107429694212,1.0,0.017609294444749443,0.04636804899113483,0.0,
final_known,1023,B,delay,adequate,O2_current_capability_nmpc,frequency_or_ace_failure,False,687.8311809846266,3.0912382188865486,506.54021154025725,26.125098703737358,6.254420792189766,4.882252140793561,-0.45756611095015387,0.2701891579981213,0.5323107429694212,1.0,0.018933811110198602,0.05003483898835836,0.0,
final_ood,2003,B,multiple_switches,critical,O2_current_capability_nmpc,frequency_or_ace_failure,False,442.78219537115393,2.249884170282651,326.34685333288957,18.348176580671815,5.816030306596988,4.55668953137618,-0.5780215362765588,0.5239915779863207,1.4115362806255825,1.0,0.025129848888253845,0.09064866199230891,0.0,
final_ood,2027,B,multiple_switches,critical,O2_current_capability_nmpc,frequency_or_ace_failure,False,442.78219537115393,2.249884170282651,326.34685333288957,18.348176580671815,5.816030306596988,4.55668953137618,-0.5780215362765588,0.5239915779863207,1.4115362806255825,1.0,0.026165124443812398,0.09099501900243923,0.0,
final_ood,2039,B,multiple_switches,critical,O2_current_capability_nmpc,frequency_or_ace_failure,False,442.78219537115393,2.249884170282651,326.34685333288957,18.348176580671815,5.816030306596988,4.55668953137618,-0.5780215362765588,0.5239915779863207,1.4115362806255825,1.0,0.02747012111067306,0.10590641400209279,0.0,
final_ood,2015,B,multiple_switches,critical,O2_current_capability_nmpc,frequency_or_ace_failure,False,442.77619696166613,2.2498544487940992,326.3429479584537,18.347993855245615,5.816030306596263,4.556923273304878,0.09577685418548754,0.5239182263801879,1.4115591235368599,1.0,0.025536193333229876,0.08871746299453662,0.0,
final_known,1002,B,nominal,adequate,O2_current_capability_nmpc,frequency_or_ace_failure,False,676.7631049367575,2.806596969346118,494.43352071833294,27.610139702041444,5.502793789870421,4.261451837117547,-0.4447820032077061,0.2077408135685188,0.4656685434193112,1.0,0.01665576111020831,0.04030704999080626,0.0,
final_known,1014,B,nominal,adequate,O2_current_capability_nmpc,frequency_or_ace_failure,False,676.7631049367575,2.806596969346118,494.43352071833294,27.610139702041444,5.502793789870421,4.261451837117547,-0.4447820032077061,0.2077408135685188,0.4656685434193112,1.0,0.016033658888611375,0.039854118998628105,0.0,
final_known,1026,B,nominal,adequate,O2_current_capability_nmpc,frequency_or_ace_failure,False,676.7631049367575,2.806596969346118,494.43352071833294,27.610139702041444,5.502793789870421,4.261451837117547,-0.4447820032077061,0.2077408135685188,0.4656685434193112,1.0,0.01886739444388594,0.05023050499687088,0.0,
final_known,1002,B,nominal,adequate,fixed_allocation,frequency_or_ace_failure,False,673.4561696179256,2.8006058353588283,491.78865445961287,27.590731341747805,5.502130841718379,4.260913523218089,-0.4704557178070061,0.21218998370594142,0.4656138976494729,1.0,3.3733341196137996e-06,5.431997706182301e-06,0.0,
final_known,1002,B,nominal,adequate,nominal_mpc,frequency_or_ace_failure,False,673.4561696179256,2.8006058353588283,491.78865445961287,27.590731341747805,5.502130841718379,4.260913523218089,-0.4704557178070061,0.21218998370594142,0.4656138976494729,1.0,3.466666385065764e-06,5.286007944960146e-06,0.0,
final_known,1002,B,nominal,adequate,rls_adaptive_mpc,frequency_or_ace_failure,False,673.4561696179256,2.8006058353588283,491.78865445961287,27.590731341747805,5.502130841718379,4.260913523218089,-0.4704557178070061,0.21218998370594142,0.4656138976494729,1.0,2.123444557784953e-05,6.155499504529871e-05,0.0,
final_known,1014,B,nominal,adequate,fixed_allocation,frequency_or_ace_failure,False,673.4561696179256,2.8006058353588283,491.78865445961287,27.590731341747805,5.502130841718379,4.260913523218089,-0.4704557178070061,0.21218998370594142,0.4656138976494729,1.0,3.3799997052281266e-06,8.83200584212318e-06,0.0,
final_known,1014,B,nominal,adequate,nominal_mpc,frequency_or_ace_failure,False,673.4561696179256,2.8006058353588283,491.78865445961287,27.590731341747805,5.502130841718379,4.260913523218089,-0.4704557178070061,0.21218998370594142,0.4656138976494729,1.0,3.257777199097392e-06,4.9329939065501095e-06,0.0,
final_known,1014,B,nominal,adequate,rls_adaptive_mpc,frequency_or_ace_failure,False,673.4561696179256,2.8006058353588283,491.78865445961287,27.590731341747805,5.502130841718379,4.260913523218089,-0.4704557178070061,0.21218998370594142,0.4656138976494729,1.0,2.2304444347456513e-05,4.799899761565024e-05,0.0,
final_known,1026,B,nominal,adequate,fixed_allocation,frequency_or_ace_failure,False,673.4561696179256,2.8006058353588283,491.78865445961287,27.590731341747805,5.502130841718379,4.260913523218089,-0.4704557178070061,0.21218998370594142,0.4656138976494729,1.0,3.743333056465619e-06,8.209002699004484e-06,0.0,
final_known,1026,B,nominal,adequate,nominal_mpc,frequency_or_ace_failure,False,673.4561696179256,2.8006058353588283,491.78865445961287,27.590731341747805,5.502130841718379,4.260913523218089,-0.4704557178070061,0.21218998370594142,0.4656138976494729,1.0,3.8144440623000265e-06,9.535999997751778e-06,0.0,
final_known,1026,B,nominal,adequate,rls_adaptive_mpc,frequency_or_ace_failure,False,673.4561696179256,2.8006058353588283,491.78865445961287,27.590731341747805,5.502130841718379,4.260913523218089,-0.4704557178070061,0.21218998370594142,0.4656138976494729,1.0,2.2821110097639678e-05,4.6982000640127794e-05,0.0,
final_known,1010,B,ramp,critical,O2_current_capability_nmpc,frequency_or_ace_failure,False,663.0386282036866,2.7823688412061083,483.45620959297884,27.532166358900703,5.500008566792713,4.259190235978449,-0.3156417812705854,0.20774081356852003,0.46566855293255294,1.0,0.017577864444239012,0.05487744499347171,0.0,
final_known,1022,B,ramp,critical,O2_current_capability_nmpc,frequency_or_ace_failure,False,663.0386282036866,2.7823688412061083,483.45620959297884,27.532166358900703,5.500008566792713,4.259190235978449,-0.4522408521599033,0.20774081356852003,0.46566855293255294,1.0,0.01969250777700735,0.07773456199254723,0.0,
final_known,1010,B,ramp,critical,fixed_allocation,frequency_or_ace_failure,False,654.2661502021425,2.767237845231936,476.4395259456064,27.48023656789043,5.498209590942978,4.257729467588463,-0.2910073648171476,0.2123647371831256,0.46561389764948313,1.0,3.3288894984353748e-06,5.0520061631686964e-06,0.0,
final_known,1010,B,ramp,critical,nominal_mpc,frequency_or_ace_failure,False,654.2661502021425,2.767237845231936,476.4395259456064,27.48023656789043,5.498209590942978,4.257729467588463,-0.2910073648171476,0.2123647371831256,0.46561389764948313,1.0,3.6111114443176323e-06,9.188010153593495e-06,0.0,
final_known,1022,B,ramp,critical,fixed_allocation,frequency_or_ace_failure,False,654.2661502021425,2.767237845231936,476.4395259456064,27.48023656789043,5.498209590942978,4.257729467588463,-0.47337919372058934,0.2123647371831256,0.46561389764948313,1.0,3.3944445830355916e-06,4.955007025273517e-06,0.0,
final_known,1022,B,ramp,critical,nominal_mpc,frequency_or_ace_failure,False,654.2661502021425,2.767237845231936,476.4395259456064,27.48023656789043,5.498209590942978,4.257729467588463,-0.47337919372058934,0.2123647371831256,0.46561389764948313,1.0,3.933333856467572e-06,1.4733002317370841e-05,0.0,
final_known,1010,B,ramp,critical,rls_adaptive_mpc,frequency_or_ace_failure,False,654.136834357041,2.767022557667348,476.3360970654246,27.479448774870143,5.4981837498028385,4.25770848458267,-0.29128255819721005,0.2123647371831257,0.46561389764948313,1.0,2.120888869588574e-05,3.9039990078890695e-05,0.0,
final_known,1022,B,ramp,critical,rls_adaptive_mpc,frequency_or_ace_failure,False,654.136834357041,2.767022557667348,476.3360970654246,27.479448774870143,5.4981837498028385,4.25770848458267,-0.4730493395660744,0.2123647371831257,0.46561389764948313,1.0,2.4346667244875184e-05,5.1585011242423206e-05,0.0,
final_known,1011,B,delay,adequate,fixed_allocation,frequency_or_ace_failure,False,449.8866679361299,1.9611377926446922,324.0799429395833,21.813509337948794,4.671739697157147,3.6193830479045994,-2.22828755321099,0.4748582114049237,0.8832218695752709,1.0,3.4433336825006538e-06,7.842999912099912e-06,0.0,
final_known,1011,B,delay,adequate,nominal_mpc,frequency_or_ace_failure,False,449.8866679361299,1.9611377926446922,324.0799429395833,21.813509337948794,4.671739697157147,3.6193830479045994,-2.22828755321099,0.4748582114049237,0.8832218695752709,1.0,3.4666673551934463e-06,5.961998540442434e-06,0.0,
final_known,1023,B,delay,adequate,fixed_allocation,frequency_or_ace_failure,False,449.8866679361299,1.9611377926446922,324.0799429395833,21.813509337948794,4.671739697157147,3.6193830479045994,-2.22828755321099,0.4748582114049237,0.8832218695752709,1.0,3.874444357481682e-06,9.029994398588313e-06,0.0,
final_known,1023,B,delay,adequate,nominal_mpc,frequency_or_ace_failure,False,449.8866679361299,1.9611377926446922,324.0799429395833,21.813509337948794,4.671739697157147,3.6193830479045994,-2.22828755321099,0.4748582114049237,0.8832218695752709,1.0,3.978888142026133e-06,9.16099874302744e-06,0.0,
