method,mechanism,episodes,physical_success_rate,frequency_iae,ace_iae,timing_evaluated,mean_information_gain,mean_probe_energy_mwh,mean_probe_mileage_pu,backup_feasible_rate,suppression_rate,p_update_before_tcrit
fixed_micro_probe,availability,40,0.95,1.6313377898768437,0.8821605253660426,19,0.0,0.23194444444444,0.5980000000000001,0.9043478260869564,0.11385869565217391,0.0
fixed_micro_probe,delay,40,0.025,31.089522452101146,18.431885047934333,25,0.0,0.15999999999999873,0.43600000000000005,0.8894927536231885,0.38659420289855073,0.0
fixed_micro_probe,energy,40,0.975,1.9312140404742002,1.0559764258528004,25,0.0,0.2247222222222182,0.5860000000000001,0.8857789855072463,0.1408514492753623,0.0
fixed_micro_probe,headroom,40,1.0,1.7445149597807235,0.9637607105315288,22,0.0,0.2363888888888844,0.616,0.9112318840579711,0.09628623188405797,0.0
fixed_micro_probe,ramp,40,1.0,1.814733646541639,0.965068141698851,26,0.0,0.22555555555555143,0.5920000000000001,0.8859601449275363,0.13731884057971017,0.0
no_probe,availability,40,0.95,1.181657346280096,0.5877191532173779,19,0.0,0.0,0.0,1.0,1.0,0.0
no_probe,delay,40,0.575,10.492053519627694,6.150304320316217,25,0.0,0.0,0.0,1.0,1.0,0.0
no_probe,energy,40,0.975,1.2849761902751284,0.6368291804762571,25,0.0,0.0,0.0,1.0,1.0,0.0
no_probe,headroom,40,1.0,1.1411413720367922,0.5620189189662937,22,0.0,0.0,0.0,1.0,1.0,0.0
no_probe,ramp,40,1.0,1.2860851592094669,0.6379972930691605,26,0.0,0.0,0.0,1.0,1.0,0.0
optimized_probe,availability,40,0.95,3.5754237868719514,1.9536471458503217,19,0.30275,0.6588888888888789,1.6640000000000001,0.6977355072463768,0.3714673913043478,0.2631578947368421
optimized_probe,delay,40,0.075,38.05215392713336,22.63906438503991,25,0.242,0.2966666666666676,0.74,0.6448369565217391,0.7172101449275362,0.56
optimized_probe,energy,40,0.975,5.006598178851998,2.9251365566441923,25,0.0,0.6355555555555463,1.6440000000000001,0.7168478260869565,0.3928442028985507,0.0
optimized_probe,headroom,40,1.0,5.375765956647739,3.1068711744776882,22,0.0,0.6544444444444352,1.7080000000000002,0.7425724637681159,0.3744565217391304,0.0
optimized_probe,ramp,40,1.0,3.5324589782018663,1.9514959631701914,26,0.27675,0.5799999999999927,1.5000000000000002,0.6485507246376812,0.4459239130434782,0.5769230769230769
